Comuna,population,cases
Antartica,137.0,59.0
Cabo de Hornos,1983.0,370.0
Laguna Blanca,264.0,24.0
Natales,23782.0,5602.0
Porvenir,7323.0,1267.0
Primavera,694.0,65.0
Punta Arenas,141984.0,25188.0
Rio Verde,211.0,17.0
San Gregorio,681.0,74.0
Timaukel,282.0,42.0
Torres del Paine,1021.0,22.0
