city,population,cases
Araguanã/MA,15675.0,810
Araguanã/TO,5856.0,584
Araguapaz/GO,7795.0,716
Araguari/MG,118361.0,19659
Araguatins/TO,36573.0,2554
Araguaçu/TO,8418.0,961
Araguaína/TO,186245.0,37474
Araioses/MA,47095.0,686
Aral Moreira/MS,12511.0,560
Aramari/BA,11519.0,681
Arambaré/RS,3544.0,230
Arame/MA,32825.0,1563
Aramina/SP,5689.0,367
Arandu/SP,6373.0,657
Arantina/MG,2779.0,249
Arapeí/SP,2452.0,270
Arapiraca/AL,234309.0,31132
Arapoema/TO,6590.0,523
Araponga/MG,8467.0,689
Arapongas/PR,126545.0,14355
Araporã/MG,6992.0,2063
Arapoti/PR,28480.0,3257
Araputanga/MT,17078.0,2164
Arapuá/MG,2836.0,289
Arapuã/PR,2951.0,318
Araquari/SC,40890.0,4362
Arara/PB,13613.0,1046
Araranguá/SC,69493.0,11277
Araraquara/SP,240542.0,24692
Araras/SP,136739.0,18433
Ararendá/CE,10983.0,1424
Arari/MA,30014.0,1077
Araricá/RS,5840.0,1035
Araripe/CE,21707.0,1379
Araripina/PE,85301.0,7786
Araruama/RJ,136109.0,7440
Araruna/PB,20610.0,718
Araruna/PR,14029.0,2175
Arataca/BA,10904.0,791
Aratiba/RS,6145.0,456
Aratuba/CE,11759.0,1680
Aratuípe/BA,8848.0,492
Araucária/PR,148522.0,29053
Arauá/SE,9840.0,1292
Araxá/MG,108403.0,15057
Araçagi/PB,16857.0,1748
Araçariguama/SP,23343.0,2164
Araçatuba/SP,199210.0,30494
Araçaí/MG,2360.0,104
Araçoiaba da Serra/SP,35389.0,3092
Araçoiaba/PE,20936.0,698
Araçu/GO,3450.0,516
Araçuaí/MG,36715.0,2062
Araçás/BA,12237.0,718
Araújos/MG,9523.0,947
Arceburgo/MG,10990.0,1283
Arco-Íris/SP,1755.0,165
Arcos/MG,40658.0,6323
Arcoverde/PE,75295.0,7284
Areado/MG,15288.0,1239
Areal/RJ,12763.0,1656
Arealva/SP,8665.0,1010
Areia Branca/RN,28156.0,2998
Areia Branca/SE,18825.0,2104
Areia de Baraúnas/PB,2105.0,222
Areia/PB,22493.0,2052
Areial/PB,7054.0,397
Areias/SP,3906.0,367
Areiópolis/SP,11186.0,1410
Arenápolis/MT,9399.0,1917
Arenópolis/GO,2462.0,408
Argirita/MG,2681.0,283
Aricanduva/MG,5305.0,162
Arinos/MG,17850.0,1353
Aripuanã/MT,23067.0,3261
Ariquemes/RO,111148.0,22685
Ariranha do Ivaí/PR,2026.0,179
Ariranha/SP,9851.0,1013
Armazém/SC,8843.0,1464
Armação dos Búzios/RJ,35060.0,5706
Arneiroz/CE,7848.0,668
Aroazes/PI,5819.0,604
Aroeiras do Itaim/PI,2551.0,172
Aroeiras/PB,19081.0,2007
Arraial do Cabo/RJ,30827.0,924
Arraial/PI,4713.0,170
Arraias/TO,10502.0,1134
Arroio Grande/RS,18185.0,2130
Arroio Trinta/SC,3547.0,626
Arroio do Meio/RS,21121.0,3200
Arroio do Padre/RS,2966.0,258
Arroio do Sal/RS,10483.0,1201
Arroio do Tigre/RS,13452.0,1268
Arroio dos Ratos/RS,14201.0,1166
Artur Nogueira/SP,56247.0,5570
Aruanã/GO,10340.0,785
Arujá/SP,92453.0,8509
Arvoredo/SC,2228.0,357
Arvorezinha/RS,10422.0,902
Arês/RN,14526.0,1142
Ascurra/SC,8021.0,1338
Aspásia/SP,1815.0,212
Assaré/CE,23537.0,2361
Assaí/PR,14792.0,1554
Assis Brasil/AC,7649.0,1827
Assis Chateaubriand/PR,33306.0,5285
Assis/SP,105768.0,12290
Assunção do Piauí/PI,7879.0,345
Assunção/PB,4067.0,423
Astolfo Dutra/MG,14358.0,1451
Astorga/PR,26304.0,3618
Atalaia do Norte/AM,20868.0,2842
Atalaia/AL,47540.0,1255
Atalaia/PR,3871.0,447
Atalanta/SC,3179.0,514
Ataléia/MG,12496.0,1200
Atibaia/SP,145378.0,12705
Atilio Vivacqua/ES,12270.0,1721
Augustinópolis/TO,18870.0,1849
Augusto Corrêa/PA,46937.0,2036
Augusto Pestana/RS,6545.0,918
Augusto de Lima/MG,4833.0,315
Aurelino Leal/BA,11079.0,1055
Auriflama/SP,15316.0,2119
Aurilândia/GO,3000.0,376
Aurora do Pará/PA,32200.0,1813
Aurora do Tocantins/TO,3809.0,299
Aurora/CE,24567.0,1905
Aurora/SC,5687.0,913
Autazes/AM,41005.0,2907
Avanhandava/SP,14063.0,1228
Avaré/SP,91792.0,11782
Avaí/SP,5467.0,492
Aveiro/PA,16421.0,849
Avelino Lopes/PI,11361.0,488
Avelinópolis/GO,2401.0,347
Axixá do Tocantins/TO,9817.0,1052
Axixá/MA,12234.0,192
Açailândia/MA,113783.0,5820
Açu/RN,58743.0,8329
Açucena/MG,9270.0,808
Babaçulândia/TO,10668.0,885
Bacabal/MA,105094.0,5631
Bacabeira/MA,17446.0,398
Bacuri/MA,18726.0,629
Bacurituba/MA,5696.0,117
Bady Bassitt/SP,18013.0,4163
Baependi/MG,19249.0,1694
Bagre/PA,31967.0,947
Bagé/RS,121518.0,11618
Baianópolis/BA,13979.0,940
Baixa Grande do Ribeiro/PI,11751.0,2668
Baixa Grande/BA,20431.0,1011
Baixio/CE,6318.0,716
Baixo Guandu/ES,31263.0,3937
Baião/PA,49454.0,819
Balbinos/SP,6127.0,371
Baldim/MG,7780.0,674
Baliza/GO,5418.0,513
Balneário Arroio do Silva/SC,13782.0,2195
Balneário Barra do Sul/SC,11271.0,1583
Balneário Camboriú/SC,149227.0,27919
Balneário Gaivota/SC,11537.0,1395
Balneário Pinhal/RS,14645.0,1146
Balneário Piçarras/SC,24385.0,5480
Balneário Rincão/SC,13129.0,1523
Balsa Nova/PR,13238.0,1737
Balsas/MA,96951.0,13872
Bambuí/MG,23964.0,2110
Banabuiú/CE,18313.0,2329
Bananal/SP,11039.0,1134
Bananeiras/PB,21220.0,1585
Bandeira do Sul/MG,5808.0,691
Bandeira/MG,4738.0,478
Bandeirante/SC,2618.0,434
Bandeirantes do Tocantins/TO,3631.0,522
Bandeirantes/MS,7281.0,644
Bandeirantes/PR,31061.0,5360
Bannach/PA,3239.0,655
Banzaê/BA,13251.0,1195
Baraúna/PB,5033.0,716
Baraúna/RN,29112.0,1709
Barbacena/MG,139061.0,9464
Barbalha/CE,61662.0,7092
Barbosa Ferraz/PR,11287.0,1336
Barbosa/SP,7532.0,772
Barcarena/PA,129333.0,11992
Barcelona/RN,3989.0,202
Barcelos/AM,27772.0,4491
Bariri/SP,35844.0,3204
Barra Bonita/SC,1625.0,202
Barra Bonita/SP,36125.0,4857
Barra D'Alcântara/PI,3953.0,154
Barra Funda/RS,2563.0,625
Barra Longa/MG,4905.0,432
Barra Mansa/RJ,185237.0,32143
Barra Velha/SC,30539.0,5024
Barra da Estiva/BA,20198.0,2833
Barra de Guabiraba/PE,14632.0,448
Barra de Santa Rosa/PB,15607.0,1724
Barra de Santana/PB,8338.0,701
Barra de Santo Antônio/AL,16201.0,466
Barra de São Francisco/ES,45301.0,5405
Barra de São Miguel/AL,8434.0,640
Barra de São Miguel/PB,6095.0,678
Barra do Bugres/MT,35642.0,3690
Barra do Chapéu/SP,5794.0,448
Barra do Choça/BA,30831.0,2303
Barra do Corda/MA,88895.0,5830
Barra do Garças/MT,61702.0,10573
Barra do Guarita/RS,3266.0,116
Barra do Jacaré/PR,2781.0,270
Barra do Mendes/BA,13128.0,836
Barra do Ouro/TO,4673.0,167
Barra do Piraí/RJ,101139.0,7602
Barra do Quaraí/RS,4238.0,621
Barra do Ribeiro/RS,13618.0,1143
Barra do Rio Azul/RS,1621.0,118
Barra do Rocha/BA,5515.0,412
Barra do Turvo/SP,7606.0,735
Barra dos Coqueiros/SE,31439.0,7059
Barra/BA,54225.0,2272
Barracão/PR,10347.0,1349
Barracão/RS,5237.0,542
Barras/PI,47298.0,5257
Barreira/CE,22715.0,1602
Barreiras do Piauí/PI,3356.0,113
Barreiras/BA,158432.0,19958
Barreirinha/AM,32919.0,2438
Barreirinhas/MA,63891.0,2657
Barreiros/PE,42866.0,812
Barretos/SP,123546.0,17781
Barrinha/SP,33537.0,1711
Barro Alto/BA,15171.0,929
Barro Alto/GO,11643.0,1719
Barro Duro/PI,7022.0,708
Barro Preto/BA,5312.0,653
Barro/CE,22834.0,1904
Barrocas/BA,16225.0,910
Barrolândia/TO,5669.0,801
Barroquinha/CE,15069.0,1340
Barros Cassal/RS,11167.0,857
Barroso/MG,20981.0,2106
Barueri/SP,279704.0,34966
Barão de Antonina/SP,3525.0,518
Barão de Cocais/MG,33232.0,4907
Barão de Cotegipe/RS,6616.0,822
Barão de Grajaú/MA,19026.0,479
Barão de Melgaço/MT,8165.0,498
Barão de Monte Alto/MG,5311.0,344
Barão do Triunfo/RS,7550.0,501
Barão/RS,6232.0,762
Bastos/SP,20952.0,2090
Bataguassu/MS,23620.0,3486
Batalha/AL,18440.0,1133
Batalha/PI,26951.0,1323
Batatais/SP,63438.0,6401
Batayporã/MS,11368.0,1099
Baturité/CE,36127.0,4226
Bauru/SP,381706.0,53356
Bayeux/PB,97519.0,8518
Baía Formosa/RN,9373.0,518
Baía da Traição/PB,9197.0,1325
