#city,population,cases
Chase-Nebraska,3840,151728
Chatham-Georgia,289463,8588832
Chatham-North Carolina,75748,1722462
Chattahoochee-Georgia,10551,1431918
Chattooga-Georgia,24843,994927
Chautauqua-Kansas,3230,90033
Chautauqua-New York,126032,2593454
Chaves-New Mexico,64711,3114994
Cheatham-Tennessee,41101,1529217
Cheboygan-Michigan,25365,511279
Chelan-Washington,77574,2495925
Chemung-New York,82622,2372351
Chenango-New York,46730,986581
Cherokee-Alabama,26294,689961
Cherokee-Georgia,265274,10297063
Cherokee-Iowa,11190,530376
Cherokee-Kansas,19681,872014
Cherokee-North Carolina,29073,877643
Cherokee-Oklahoma,49019,1948465
Cherokee-South Carolina,57316,2013297
Cherokee-Texas,52875,1564726
Cherry-Nebraska,5781,114623
Chesapeake city-Virginia,247011,6717198
Cheshire-New Hampshire,76228,1064039
Chester-Pennsylvania,526759,12450887
Chester-South Carolina,32232,1416612
Chester-Tennessee,17432,769158
Chesterfield-South Carolina,45606,1617602
Chesterfield-Virginia,358245,9058161
Cheyenne-Colorado,1795,42422
Cheyenne-Kansas,2600,121720
Cheyenne-Nebraska,9111,303810
Chickasaw-Iowa,11834,425904
Chickasaw-Mississippi,16951,776156
Chicot-Arkansas,9924,647591
Childress-Texas,7143,452648
Chilton-Alabama,44397,1582834
Chippewa-Michigan,36958,1622776
Chippewa-Minnesota,11758,510458
Chippewa-Wisconsin,64737,2558350
Chisago-Minnesota,56794,1912195
Chittenden-Vermont,164306,2217974
Choctaw-Alabama,12418,249918
Choctaw-Mississippi,8063,280728
Choctaw-Oklahoma,14646,571121
Chouteau-Montana,5699,163703
Chowan-North Carolina,13815,501073
Christian-Illinois,32075,1238694
Christian-Kentucky,71478,2333702
Christian-Missouri,90655,3183122
Churchill-Nevada,25363,686877
Cibola-New Mexico,26354,1216615
Cimarron-Oklahoma,2145,67529
Citrus-Florida,153010,4013337
Clackamas-Oregon,421596,5806329
Claiborne-Louisiana,15508,533712
Claiborne-Mississippi,8911,393775
Claiborne-Tennessee,32023,1029466
Clallam-Washington,78067,522607
Clare-Michigan,30771,694229
Clarendon-South Carolina,33415,1205851
Clarion-Pennsylvania,38305,959712
Clark-Arkansas,22103,736391
Clark-Idaho,852,22150
Clark-Illinois,15268,600381
Clark-Indiana,119266,4410148
Clark-Kansas,1963,88477
Clark-Kentucky,36463,960432
Clark-Missouri,6830,217512
Clark-Nevada,2315963,87697569
Clark-Ohio,133593,4552903
Clark-South Dakota,3802,142644
Clark-Washington,496865,7947903
Clark-Wisconsin,34720,1249916
Clarke-Alabama,23291,1259092
Clarke-Georgia,127795,5326652
Clarke-Iowa,9353,352473
Clarke-Mississippi,15299,670654
Clarke-Virginia,14622,291052
Clatsop-Oregon,40423,371088
Clay-Alabama,13112,574582
Clay-Arkansas,14375,620119
Clay-Florida,221770,6975353
Clay-Georgia,2866,95106
Clay-Illinois,13079,527799
Clay-Indiana,26246,896742
Clay-Iowa,15976,707006
Clay-Kansas,8025,276693
Clay-Kentucky,19631,944092
Clay-Minnesota,64690,2719538
Clay-Mississippi,19352,704323
Clay-Missouri,253463,3535890
Clay-Nebraska,6216,240904
Clay-North Carolina,11505,276601
Clay-South Dakota,14246,670342
Clay-Tennessee,7629,377471
Clay-Texas,10550,334227
Clay-West Virginia,8341,166824
Clayton-Georgia,292646,9208525
Clayton-Iowa,17321,577826
Clear Creek-Colorado,9586,150593
Clearfield-Pennsylvania,78612,2406681
Clearwater-Idaho,8846,355897
Clearwater-Minnesota,9017,276435
Cleburne-Alabama,14967,531907
Cleburne-Arkansas,24935,734736
Clermont-Ohio,207449,6335618
Cleveland-Arkansas,7957,331057
Cleveland-North Carolina,99035,3874833
Cleveland-Oklahoma,287066,10366772
Clinch-Georgia,6582,363450
Clinton-Illinois,37398,1985505
Clinton-Indiana,32206,1460256
Clinton-Iowa,46392,1850664
Clinton-Kentucky,10110,471793
Clinton-Michigan,79753,2209208
Clinton-Missouri,20553,657957
Clinton-New York,79778,1310191
Clinton-Ohio,41921,1211591
Clinton-Pennsylvania,37957,1053612
Cloud-Kansas,8642,334579
Coahoma-Mississippi,21564,1081381
Coal-Oklahoma,5587,233706
Cobb-Georgia,762944,26806368
Cochise-Arizona,127450,3890483
Cochran-Texas,2897,103550
Cocke-Tennessee,36225,1522514
Coconino-Arizona,142481,6060772
Codington-South Dakota,28186,1503670
Coffee-Alabama,53230,2033160
Coffee-Georgia,43218,2045122
Coffee-Tennessee,57632,2348815
Coffey-Kansas,8158,256111
Coke-Texas,3323,159474
Colbert-Alabama,55411,2257703
Cole-Missouri,76191,3300364
Coleman-Texas,8100,238236
Coles-Illinois,50383,1981200
Colfax-Nebraska,10587,655688
Colfax-New Mexico,11927,293888
Colleton-South Carolina,37481,1278798
Collier-Florida,392973,13227990
Collin-Texas,1072069,29542259
Collingsworth-Texas,2877,96635
Colonial Heights city-Virginia,17205,532041
Colorado-Texas,21610,597337
Colquitt-Georgia,45542,1858859
Columbia-Arkansas,23331,813156
Columbia-Florida,72654,3301824
Columbia-Georgia,160377,5780372
Columbia-New York,59534,1252133
Columbia-Oregon,52876,590356
Columbia-Pennsylvania,64842,1769999
Columbia-Washington,4048,48257
Columbia-Wisconsin,57668,1966024
Columbiana-Ohio,101118,3091191
Columbus-North Carolina,54754,2227200
Colusa-California,21558,756694
Comal-Texas,164812,3931529
Comanche-Kansas,1690,55841
Comanche-Oklahoma,121099,4471395
Comanche-Texas,13750,507443
Concho-Texas,2827,146283
Concordia-Louisiana,18914,712652
Conecuh-Alabama,11851,448936
Conejos-Colorado,8143,191664
Contra Costa-California,1152333,23782786
Converse-Wyoming,13804,374815
Conway-Arkansas,21037,737957
Cook-Georgia,17291,720908
Cook-Illinois,5108284,191446778
Cook-Minnesota,5417,50593
Cooke-Texas,41393,1193893
Cooper-Missouri,17102,675310
Coos-New Hampshire,31174,545504
Coos-Oregon,64711,689793
Coosa-Alabama,10650,354288
Copiah-Mississippi,27933,1151958
Corson-South Dakota,4031,174745
Cortland-New York,47173,1157757
