ID,LATITUDE,LONGITUDE,Mun/UF,MUNICIPIO,UF,Valor
1824,-21.19,-42.61,MIRAI - MG,MIRAI,MG,92249.2403085746
1825,-14.74,-44.4,MIRAVANIA - MG,MIRAVANIA,MG,24394.4950976148
1826,-20.33,-44.05,MOEDA - MG,MOEDA,MG,25649.6622697419
1827,-19.84,-45.41,MOEMA - MG,MOEMA,MG,40425.1435074328
1828,-18.32,-44.11,MONJOLOS - MG,MONJOLOS,MG,18417.2774408742
1829,-21.75,-45.54,MONSENHOR PAULO - MG,MONSENHOR PAULO,MG,45912.7237568379
1830,-14.42,-44.36,MONTALVANIA - MG,MONTALVANIA,MG,102709.455706187
1831,-18.87,-48.88,MONTE ALEGRE DE MINAS - MG,MONTE ALEGRE DE MINAS,MG,126974.78960243
1832,-15.15,-42.87,MONTE AZUL - MG,MONTE AZUL,MG,144229.745945176
1833,-21.32,-46.36,MONTE BELO - MG,MONTE BELO,MG,89250.6634977904
1834,-18.72,-47.49,MONTE CARMELO - MG,MONTE CARMELO,MG,277435.090563539
1835,-16.86,-41.25,MONTE FORMOSO - MG,MONTE FORMOSO,MG,28372.1545290175
1836,-21.19,-46.98,MONTE SANTO DE MINAS - MG,MONTE SANTO DE MINAS,MG,129579.75105079
1837,-22.43,-46.57,MONTE SIAO - MG,MONTE SIAO,MG,111724.474188164
1838,-16.73,-43.86,MONTES CLAROS - MG,MONTES CLAROS,MG,1808843.04946768
1839,-15.17,-42.49,MONTEZUMA - MG,MONTEZUMA,MG,40530.4870873266
1840,-18.6,-45.35,MORADA NOVA DE MINAS - MG,MORADA NOVA DE MINAS,MG,43100.7831893938
1841,-18.54,-44.6,MORRO DA GARCA - MG,MORRO DA GARCA,MG,19038.7334637854
1842,-19.21,-43.37,MORRO DO PILAR - MG,MORRO DO PILAR,MG,26279.6705655164
1843,-22.61,-46.36,MUNHOZ - MG,MUNHOZ,MG,38461.8465072576
1844,-21.13,-42.36,MURIAE - MG,MURIAE,MG,575548.965345986
1845,-19.8,-41.43,MUTUM - MG,MUTUM,MG,169906.336440366
1846,-21.37,-46.52,MUZAMBINHO - MG,MUZAMBINHO,MG,118092.724930687
1847,-18.45,-42.24,NACIP RAYDAN - MG,NACIP RAYDAN,MG,25060.7029094684
1848,-17.83,-40.35,NANUQUE - MG,NANUQUE,MG,265468.451553334
1849,-19.23,-42.32,NAQUE - MG,NAQUE,MG,35889.5016773599
1850,-16.5,-46.49,NATALANDIA - MG,NATALANDIA,MG,19769.9488784018
1851,-22.12,-45.51,NATERCIA - MG,NATERCIA,MG,28821.9840592574
1852,-21.21,-44.61,NAZARENO - MG,NAZARENO,MG,48185.4385789488
1853,-21.23,-45.23,NEPOMUCENO - MG,NEPOMUCENO,MG,156957.696132278
