"Município(Res)";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"Total"
"150430 Maracanã";1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;4
"150440 Marapanim";0;1;0;0;0;0;0;0;0;2;0;2;1;1;2;0;0;9
"150442 Marituba";0;0;2;3;5;6;5;10;11;9;5;15;12;11;10;11;18;133
"150445 Medicilândia";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2
"150460 Mocajuba";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2
"150470 Moju";0;0;0;0;0;0;0;0;2;1;2;0;0;3;5;1;1;15
"150480 Monte Alegre";0;0;0;0;0;1;0;0;1;1;0;1;0;2;1;0;0;7
"150490 Muaná";0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;3
"150497 Nova Ipixuna";0;0;0;0;0;1;0;0;0;0;0;1;2;2;0;1;1;8
"150500 Nova Timboteua";0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;4
"150503 Novo Progresso";0;0;0;0;0;0;0;0;0;2;1;1;4;0;4;8;3;23
"150506 Novo Repartimento";0;0;0;1;0;0;2;0;0;0;4;1;2;2;2;3;0;17
"150510 Óbidos";0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;2;1;11
"150520 Oeiras do Pará";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"150530 Oriximiná";0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;4
"150540 Ourém";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"150543 Ourilândia do Norte";0;0;0;0;0;0;1;0;1;0;1;1;0;2;2;2;3;13
"150548 Pacajá";0;0;0;0;0;0;0;0;1;0;2;3;1;1;1;0;3;12
"150549 Palestina do Pará";0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;2;1;6
"150550 Paragominas";0;1;0;0;0;1;1;1;1;1;6;2;4;5;6;7;9;45
"150553 Parauapebas";0;0;4;1;3;7;2;5;5;5;4;14;10;6;10;9;13;98
"150560 Peixe-Boi";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2
"150563 Piçarra";0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;3
"150565 Placas";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"150570 Ponta de Pedras";0;0;0;0;0;0;0;0;0;0;1;1;0;1;2;0;2;7
"150580 Portel";0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;3
"150590 Porto de Moz";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"150600 Prainha";0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2
"150610 Primavera";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2
"150611 Quatipuru";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2
"150613 Redenção";0;2;3;2;1;3;3;2;3;9;3;5;4;4;12;9;7;72
"150616 Rio Maria";0;0;0;0;0;1;0;0;0;2;0;1;0;0;2;1;1;8
"150618 Rondon do Pará";0;0;0;1;0;2;0;1;1;1;2;3;5;3;4;2;0;25
"150619 Rurópolis";0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;3
"150620 Salinópolis";0;0;0;0;0;0;0;0;0;1;0;1;2;0;2;2;2;10
"150630 Salvaterra";0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;6
"150635 Santa Bárbara do Pará";0;0;0;1;0;0;0;0;0;0;1;4;0;1;1;1;3;12
"150650 Santa Isabel do Pará";0;0;0;1;0;0;3;1;1;2;2;1;2;4;0;2;3;22
"150655 Santa Luzia do Pará";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"150658 Santa Maria das Barreiras";0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;0;6
"150660 Santa Maria do Pará";0;0;0;0;0;0;1;0;0;0;1;0;2;1;2;1;0;8
"150670 Santana do Araguaia";0;0;0;0;1;0;0;0;1;3;1;3;0;3;5;5;0;22
"150680 Santarém";1;0;7;4;6;6;3;4;7;8;7;6;10;12;10;20;8;119
"150690 Santarém Novo";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;3
"150700 Santo Antônio do Tauá";0;0;0;0;1;1;0;2;1;0;2;2;0;1;0;0;1;11
"150710 São Caetano de Odivelas";0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;1;5
"150715 São Domingos do Araguaia";1;0;0;0;1;2;0;1;1;0;0;1;0;0;0;0;2;9
"150720 São Domingos do Capim";0;0;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;5
"150730 São Félix do Xingu";0;1;0;1;0;1;1;0;0;1;2;2;2;5;2;2;1;21
"150740 São Francisco do Pará";0;0;0;0;0;0;1;1;0;0;1;0;0;1;1;1;0;6
"150745 São Geraldo do Araguaia";0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;1;3;8
"150747 São João de Pirabas";0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;6
"150750 São João do Araguaia";0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2
"150760 São Miguel do Guamá";0;0;0;0;0;0;0;1;2;1;2;4;2;1;2;2;3;20
"150770 São Sebastião da Boa Vista";0;0;0;0;0;0;0;0;0;0;1;3;1;0;1;1;1;8
"150775 Sapucaia";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;3
"150780 Senador José Porfírio";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2
"150790 Soure";1;0;0;0;1;1;0;0;0;0;0;0;1;1;0;3;1;9
"150795 Tailândia";0;0;1;0;0;1;1;1;0;3;5;3;2;1;10;5;9;42
"150796 Terra Alta";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2
"150797 Terra Santa";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2
"150800 Tomé-Açu";0;0;0;1;0;0;2;0;0;0;0;2;1;2;1;2;4;15
"150803 Tracuateua";0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;3
"150805 Trairão";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;4
"150808 Tucumã";0;0;0;0;0;0;0;1;0;1;0;0;3;0;5;0;3;13
"150810 Tucuruí";0;0;0;2;0;1;1;2;2;8;7;4;4;6;6;5;8;56
"150812 Ulianópolis";0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;4;8
"150815 Uruará";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"150820 Vigia";1;0;0;0;0;0;1;0;1;0;0;0;0;1;3;1;2;10
"150830 Viseu";0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;0;3;9
"150840 Xinguara";0;0;0;0;0;0;0;1;3;1;0;0;0;0;1;3;3;12
"150000 Município ignorado - PA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"160020 Calçoene";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"160021 Cutias";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
