#county,population,cases
Elbert-Georgia,19335,3198
Elk-Kansas,2507,273
Elk-Pennsylvania,29607,3873
Elkhart-Indiana,206161,35477
Elko-Nevada,53006,8383
Elliott-Kentucky,7372,1296
Ellis-Kansas,28671,4456
Ellis-Oklahoma,3830,437
Ellis-Texas,191760,32538
Ellsworth-Kansas,6034,1358
Elmore-Alabama,82158,14910
Elmore-Idaho,27448,3822
Emanuel-Georgia,22507,4388
Emery-Utah,10147,1373
Emmet-Iowa,9095,1638
Emmet-Michigan,33342,3224
Emmons-North Dakota,3187,532
Emporia city-Virginia,5257,858
Erath-Texas,43224,6184
Erie-New York,917241,104339
Erie-Ohio,73719,10493
Erie-Pennsylvania,268426,27409
Escambia-Alabama,36281,6696
Escambia-Florida,322364,53064
Esmeralda-Nevada,886,58
Essex-Massachusetts,791263,110662
Essex-New Jersey,800501,105492
Essex-New York,36891,2186
Essex-Vermont,6123,448
Essex-Virginia,10943,1197
Estill-Kentucky,14109,2160
Etowah-Alabama,102371,19714
Eureka-Nevada,2065,196
Evangeline-Louisiana,33276,5713
Evans-Georgia,10638,1602
Fairbanks North Star Borough-Alaska,95651,14274
Fairfax-Virginia,1150847,90083
Fairfax city-Virginia,23429,641
Fairfield-Connecticut,942426,111386
Fairfield-Ohio,159709,21994
Fairfield-South Carolina,22059,3232
Fall River-South Dakota,6708,934
Fallon-Montana,2826,428
Falls-Texas,17275,2586
Falls Church city-Virginia,14631,536
Fannin-Georgia,26521,3715
Fannin-Texas,35913,4874
Faribault-Minnesota,13601,2122
Faulk-South Dakota,2306,394
Faulkner-Arkansas,126919,19297
Fauquier-Virginia,71361,6720
Fayette-Alabama,16241,2881
Fayette-Georgia,115821,12965
Fayette-Illinois,21264,4270
Fayette-Indiana,22892,4144
Fayette-Iowa,19258,2540
Fayette-Kentucky,324735,50674
Fayette-Ohio,28579,4168
Fayette-Pennsylvania,128126,16744
Fayette-Tennessee,41620,7208
Fayette-Texas,25547,3574
Fayette-West Virginia,42062,5834
Fentress-Tennessee,18787,3563
Fergus-Montana,11104,1511
Ferry-Washington,7759,724
Fillmore-Minnesota,21135,2293
Fillmore-Nebraska,5519,690
Finney-Kansas,35917,7187
Fisher-Texas,3784,410
Flagler-Florida,118451,14184
Flathead-Montana,105851,18151
Fleming-Kentucky,14603,2084
Florence-South Carolina,137588,26281
Florence-Wisconsin,4298,600
Floyd-Georgia,98604,18146
Floyd-Indiana,78936,10949
Floyd-Iowa,15480,2172
Floyd-Kentucky,34974,6845
Floyd-Texas,5672,1141
Floyd-Virginia,15777,1360
Fluvanna-Virginia,27422,2534
Foard-Texas,1135,180
Fond du Lac-Wisconsin,102902,17482
Ford-Illinois,12949,2415
Ford-Kansas,33094,7011
Forest-Pennsylvania,6965,1552
Forest-Wisconsin,8960,1465
Forrest-Mississippi,75009,13398
Forsyth-Georgia,250847,33715
Forsyth-North Carolina,383843,50506
Fort Bend-Texas,839706,98044
Foster-North Dakota,3165,636
Fountain-Indiana,16511,3305
Franklin-Alabama,31507,5924
Franklin-Arkansas,17897,2695
Franklin-Florida,12201,2212
Franklin-Georgia,23504,3921
Franklin-Idaho,14215,1530
Franklin-Illinois,38060,7256
Franklin-Indiana,22761,2632
Franklin-Iowa,9971,1638
Franklin-Kansas,25703,3713
Franklin-Kentucky,51118,6742
Franklin-Louisiana,19723,4616
Franklin-Maine,29986,2036
Franklin-Massachusetts,70267,3339
Franklin-Mississippi,7657,1189
Franklin-Missouri,104469,14157
Franklin-Nebraska,2940,306
Franklin-New York,49965,4081
Franklin-North Carolina,71859,9643
Franklin-Ohio,1324624,161300
Franklin-Pennsylvania,155637,20843
Franklin-Tennessee,42485,7813
Franklin-Texas,10821,1300
Franklin-Vermont,49685,2903
Franklin-Virginia,56167,5800
Franklin-Washington,97075,19728
Franklin city-Virginia,7833,1581
Frederick-Maryland,265161,23611
Frederick-Virginia,91119,11185
Fredericksburg city-Virginia,29492,2990
Freeborn-Minnesota,30364,4772
Freestone-Texas,19874,2711
Fremont-Colorado,47867,7936
Fremont-Idaho,13218,1450
Fremont-Iowa,6729,837
Fremont-Wyoming,39317,8108
Fresno-California,1000918,143365
Frio-Texas,20379,3868
Frontier-Nebraska,2587,353
Fulton-Arkansas,12381,1669
Fulton-Georgia,1077402,130633
Fulton-Illinois,33690,5167
Fulton-Indiana,20018,3025
Fulton-Kentucky,5952,724
Fulton-New York,52812,6113
Fulton-Ohio,41889,5844
Fulton-Pennsylvania,14501,2086
Furnas-Nebraska,4653,621
Gadsden-Florida,45277,8557
Gage-Nebraska,21431,2498
Gaines-Texas,21996,2113
Galax city-Virginia,6296,1483
Gallatin-Illinois,4793,784
Gallatin-Kentucky,8779,1197
Gallatin-Montana,116806,19284
Gallia-Ohio,29802,4024
Galveston-Texas,345089,63145
Garden-Nebraska,1847,155
Garfield-Colorado,60366,7597
Garfield-Montana,1268,116
Garfield-Nebraska,1956,252
Garfield-Oklahoma,60869,9849
Garfield-Utah,5050,634
Garfield-Washington,2290,231
Garland-Arkansas,99789,15796
Garrard-Kentucky,17719,2724
Garrett-Maryland,28852,2917
Garvin-Oklahoma,27691,4659
Garza-Texas,6222,701
Gasconade-Missouri,14566,2153
Gaston-North Carolina,226568,39114
Gates-North Carolina,11464,1054
Geary-Kansas,32218,4664
Geauga-Ohio,93271,8699
Gem-Idaho,18703,2626
Genesee-Michigan,404794,49645
Genesee-New York,56994,6764
Geneva-Alabama,26411,4557
Gentry-Missouri,6484,1274
George-Mississippi,24425,4899
Georgetown-South Carolina,63353,9514
Gibson-Indiana,33825,6452
Gibson-Tennessee,49159,10532
Gila-Arizona,54303,9266
Gilchrist-Florida,18885,3111
Giles-Tennessee,29530,5943
Giles-Virginia,16663,2169
Gillespie-Texas,26960,3495
Gilliam-Oregon,1975,148
Gilmer-Georgia,31978,4569
Gilmer-West Virginia,7811,1303
Gilpin-Colorado,6235,412
Glacier-Montana,13594,1987
Glades-Florida,14198,1405
Gladwin-Michigan,25424,3085
Glascock-Georgia,2984,414
Glasscock-Texas,1439,152
Glenn-California,28283,4272
Gloucester-New Jersey,293245,37470
Gloucester-Virginia,37459,3766
Glynn-Georgia,85568,15265
Gogebic-Michigan,13842,1754
Golden Valley-Montana,827,73
Golden Valley-North Dakota,1737,328
Goliad-Texas,7626,699
Gonzales-Texas,20948,3525
Goochland-Virginia,24431,1939
Goodhue-Minnesota,46318,5955
Gooding-Idaho,15618,2178
Gordon-Georgia,58780,11198
Goshen-Wyoming,13235,2064
Gosper-Nebraska,1986,231
Gove-Kansas,2621,459
Grady-Georgia,24491,3593
Grady-Oklahoma,55906,7911
Grafton-New Hampshire,90691,5551
Graham-Arizona,39211,7197
Graham-Kansas,2389,319
Graham-North Carolina,8474,1303
Grainger-Tennessee,23565,4262
Grand-Colorado,15794,2093
Grand-Utah,9796,1357
Grand Forks-North Dakota,69481,12518
Grand Isle-Vermont,7169,320
Grand Traverse-Michigan,93592,8455
Granite-Montana,3317,335
Grant-Arkansas,18449,2851
Grant-Indiana,65225,10217
Grant-Kansas,7077,1197
Grant-Kentucky,25387,4168
Grant-Louisiana,22254,3785
Grant-Minnesota,6026,755
Grant-Nebraska,630,65
Grant-New Mexico,27007,2257
Grant-North Dakota,2215,302
Grant-Oklahoma,4372,690
Grant-Oregon,7180,965
Grant-South Dakota,7000,1300
Grant-Washington,99377,16432
Grant-West Virginia,11510,2045
Grant-Wisconsin,51021,7333
Granville-North Carolina,60486,7764
Gratiot-Michigan,40283,8257
Graves-Kentucky,36818,7089
Gray-Kansas,5954,817
Gray-Texas,21658,3435
Grays Harbor-Washington,75950,8175
Grayson-Kentucky,26480,4558
Grayson-Texas,138318,15935
Grayson-Virginia,15493,1995
Greeley-Kansas,1196,147
Greeley-Nebraska,2319,265
Green-Kentucky,10995,2399
Green-Wisconsin,36603,4418
Green Lake-Wisconsin,18908,2940
Greenbrier-West Virginia,34319,4692
Greene-Alabama,7990,1252
Greene-Arkansas,45597,9927
Greene-Georgia,18837,2666
Greene-Illinois,12702,2037
Greene-Indiana,32203,4203
Greene-Iowa,8795,1138
Greene-Mississippi,13477,2148
Greene-Missouri,294997,44242
Greene-New York,47177,4280
Greene-North Carolina,20928,3241
Greene-Ohio,170122,21822
Greene-Pennsylvania,35621,4530
Greene-Tennessee,69571,13270
Greene-Virginia,20131,2143
Greenlee-Arizona,9341,1023
Greensville-Virginia,11280,1856
Greenup-Kentucky,34865,6153
Greenville-South Carolina,532486,102925
Greenwood-Kansas,5868,957
Greenwood-South Carolina,71074,11993
Greer-Oklahoma,5704,739
Gregg-Texas,124229,19020
Gregory-South Dakota,4219,690
Grenada-Mississippi,20610,3680
Griggs-North Dakota,2207,361
Grimes-Texas,29614,5106
Grundy-Illinois,50993,7290
Grundy-Iowa,12217,1679
Grundy-Missouri,9595,1550
Grundy-Tennessee,13485,2768
Guadalupe-New Mexico,4275,854
Guadalupe-Texas,170608,23824
Guernsey-Ohio,38779,5554
Guilford-North Carolina,540521,66140
Gulf-Florida,13534,2955
Gunnison-Colorado,17593,1794
Guthrie-Iowa,10737,1541
Gwinnett-Georgia,942627,131313
Haakon-South Dakota,1861,317
Habersham-Georgia,46047,7403
Haines Borough-Alaska,2614,221
Hale-Alabama,14670,3077
Hale-Texas,32754,7782
Halifax-North Carolina,49479,7682
Halifax-Virginia,33633,3737
Hall-Georgia,206591,37564
Hall-Nebraska,61028,9641
Hall-Texas,2939,533
Hamblen-Tennessee,65110,12839
Hamilton-Florida,14521,2686
Hamilton-Illinois,8084,1328
Hamilton-Indiana,344238,45852
Hamilton-Iowa,14716,2285
Hamilton-Kansas,2425,268
Hamilton-Nebraska,9237,1246
Hamilton-New York,4345,429
Hamilton-Ohio,817985,103546
Hamilton-Tennessee,371662,62975
Hamilton-Texas,8557,1282
Hamlin-South Dakota,6234,1004
Hampden-Massachusetts,463986,64171
Hampshire-Massachusetts,161401,11402
Hampshire-West Virginia,23190,3000
Hampton-South Carolina,18053,3062
Hampton city-Virginia,135464,14700
Hancock-Georgia,8494,1124
Hancock-Illinois,17422,2715
Hancock-Indiana,79553,11570
Hancock-Iowa,10507,1848
Hancock-Kentucky,8742,1365
Hancock-Maine,55088,2518
Hancock-Mississippi,48000,7685
Hancock-Ohio,75407,9381
Hancock-Tennessee,6493,1183
Hancock-West Virginia,28571,3978
Hand-South Dakota,3127,391
Hanover-Virginia,108262,11397
Hansford-Texas,5279,1105
Hanson-South Dakota,3489,432
Haralson-Georgia,30383,3764
Hardee-Florida,26822,6003
Hardeman-Tennessee,24836,5057
Hardeman-Texas,4011,449
Hardin-Illinois,3808,587
Hardin-Iowa,16575,2664
Hardin-Kentucky,111309,17536
Hardin-Ohio,31469,4018
Hardin-Tennessee,25583,5469
Hardin-Texas,58305,10258
Harding-New Mexico,638,41
Harding-South Dakota,1311,153
Hardy-West Virginia,13633,2299
Harford-Maryland,256805,20050
Harlan-Kentucky,25566,5248
Harlan-Nebraska,3311,262
Harmon-Oklahoma,2557,360
Harnett-North Carolina,137058,17957
Harney-Oregon,7373,1068
Harper-Kansas,5336,893
Harper-Oklahoma,3611,484
Harris-Georgia,36080,3676
Harris-Texas,4738253,567578
Harrison-Indiana,40682,6389
Harrison-Iowa,13928,2153
Harrison-Kentucky,18920,3165
Harrison-Mississippi,208801,34022
Harrison-Missouri,8321,1100
Harrison-Ohio,15014,1751
Harrison-Texas,66386,9043
Harrison-West Virginia,66870,10438
Harrisonburg city-Virginia,53204,8073
Hart-Georgia,26406,3492
Hart-Kentucky,19013,3429
Hartford-Connecticut,889226,96666
Hartley-Texas,5443,833
Harvey-Kansas,34291,4833
Haskell-Kansas,3923,530
Haskell-Oklahoma,12652,1829
Haskell-Texas,5754,592
Hawkins-Tennessee,56775,10040
Hayes-Nebraska,916,71
Hays-Texas,241365,32418
Haywood-North Carolina,62972,7209
Haywood-Tennessee,17002,3784
Heard-Georgia,11973,1460
Hemphill-Texas,3777,687
Hempstead-Arkansas,21253,2891
Henderson-Illinois,6535,693
Henderson-Kentucky,44740,7823
Henderson-North Carolina,118445,14818
Henderson-Tennessee,28076,5649
Henderson-Texas,83792,9614
Hendricks-Indiana,173251,23626
Hendry-Florida,42813,7888
Hennepin-Minnesota,1268408,150445
Henrico-Virginia,333766,33522
Henry-Alabama,17223,3097
Henry-Georgia,239139,37545
Henry-Illinois,48411,6561
Henry-Indiana,48033,8101
Henry-Iowa,19697,3791
Henry-Kentucky,16067,2492
Henry-Missouri,22076,3185
Henry-Ohio,26904,3548
Henry-Tennessee,32056,5417
Henry-Virginia,50309,6224
Herkimer-New York,60945,6542
Hernando-Florida,198792,28203
Hertford-North Carolina,23108,2758
Hettinger-North Dakota,2438,452
Hickman-Kentucky,4364,544
Hickman-Tennessee,25387,4525
Hickory-Missouri,9586,1083
Hidalgo-New Mexico,4106,551
Hidalgo-Texas,875200,113691
Highland-Ohio,43304,5836
Highland-Virginia,2200,168
Highlands-Florida,106639,15716
Hill-Montana,16358,3034
Hill-Texas,37006,5731
Hillsborough-Florida,1497957,237669
Hillsborough-New Hampshire,418735,44018
Hillsdale-Michigan,45658,5871
Hinds-Mississippi,227966,31778
Hinsdale-Colorado,808,54
Hitchcock-Nebraska,2773,323
Hocking-Ohio,28095,3470
Hockley-Texas,22921,4151
Hodgeman-Kansas,1779,228
Hoke-North Carolina,55830,6975
Holmes-Florida,19594,3779
Holmes-Mississippi,16726,2662
Holmes-Ohio,44004,3508
Holt-Missouri,4232,605
Holt-Nebraska,9956,1145
Honolulu-Hawaii,963826,56621
Hood-Texas,63527,9463
Hood River-Oregon,23280,1868
Hooker-Nebraska,647,76
Hopewell city-Virginia,22375,3618
Hopkins-Kentucky,44662,7818
Hopkins-Texas,37170,5246
Horry-South Carolina,365449,61079
Hot Spring-Arkansas,33787,7476
Hot Springs-Wyoming,4425,844
Houghton-Michigan,35126,3776
Houston-Alabama,106580,17232
Houston-Georgia,160110,24643
Houston-Minnesota,18632,2264
Houston-Tennessee,8292,1808
Houston-Texas,22835,2820
Howard-Arkansas,13109,2379
Howard-Indiana,82732,14531
Howard-Iowa,9176,1264
Howard-Maryland,328200,22306
Howard-Missouri,10001,1390
Howard-Nebraska,6488,692
Howard-Texas,36540,5723
Howell-Missouri,40262,5643
Hubbard-Minnesota,21783,2803
Hudson-New Jersey,671666,96548
Hudspeth-Texas,4906,579
Huerfano-Colorado,6883,596
Hughes-Oklahoma,13126,1658
Hughes-South Dakota,17336,2829
Humboldt-California,134977,9042
Humboldt-Iowa,9473,1618
Humboldt-Nevada,16962,2351
Humphreys-Mississippi,7827,1287
Humphreys-Tennessee,18590,3141
Hunt-Texas,99807,10684
Hunterdon-New Jersey,124797,11705
Huntingdon-Pennsylvania,44590,6534
Huntington-Indiana,36395,6280
Huron-Michigan,30653,4620
Huron-Ohio,57979,8102
Hutchinson-South Dakota,7282,1029
Hutchinson-Texas,20677,3511
Hyde-North Carolina,4843,820
Hyde-South Dakota,1281,157
Iberia-Louisiana,68991,12340
Iberville-Louisiana,32070,5773
Ida-Iowa,6833,1169
Imperial-California,180267,35503
Independence-Arkansas,37757,6199
Indian River-Florida,162518,21956
Indiana-Pennsylvania,83664,8450
Ingham-Michigan,290609,29858
Inyo-California,18046,1918
Ionia-Michigan,64553,11306
Iosco-Michigan,25140,2768
Iowa-Wisconsin,23640,2662
Iredell-North Carolina,185770,28148
Irion-Texas,1564,186
Iron-Michigan,11066,1362
Iron-Missouri,10098,1350
Iron-Utah,56814,8779
Iron-Wisconsin,5698,845
Iroquois-Illinois,26711,4161
Irwin-Georgia,9387,1427
Isabella-Michigan,69504,8449
Isanti-Minnesota,41429,5514
Island-Washington,86014,3704
Isle of Wight-Virginia,37725,4324
Issaquena-Mississippi,1220,193
Itasca-Minnesota,45268,5901
Itawamba-Mississippi,23261,4584
Izard-Arkansas,13613,2481
Jack-Texas,9056,868
Jackson-Alabama,51582,9737
Jackson-Arkansas,16636,4120
Jackson-Colorado,1389,101
Jackson-Florida,46085,10002
Jackson-Georgia,76199,14565
Jackson-Illinois,56675,8051
Jackson-Indiana,44222,6887
Jackson-Iowa,19205,2710
Jackson-Kansas,13171,1926
Jackson-Kentucky,13340,2529
Jackson-Louisiana,15574,2743
Jackson-Michigan,156920,24791
Jackson-Minnesota,9768,1431
Jackson-Mississippi,143802,24289
Jackson-Missouri,705925,54918
Jackson-North Carolina,44033,5480
Jackson-Ohio,32493,4872
Jackson-Oklahoma,24305,3808
Jackson-Oregon,221844,22526
Jackson-South Dakota,3321,375
Jackson-Tennessee,11864,2047
Jackson-Texas,14854,2752
Jackson-West Virginia,28453,3731
Jackson-Wisconsin,20630,3255
James City-Virginia,77612,6814
Jasper-Georgia,14483,2097
Jasper-Illinois,9465,1598
Jasper-Indiana,33440,5160
Jasper-Iowa,37148,5721
Jasper-Mississippi,16332,3276
Jasper-Missouri,121648,13575
Jasper-South Carolina,31588,3898
Jasper-Texas,35375,3974
Jay-Indiana,20416,2778
Jeff Davis-Georgia,15213,2912
Jeff Davis-Texas,2220,205
Jefferson-Alabama,655342,113837
Jefferson-Arkansas,65377,12256
Jefferson-Colorado,583283,60330
Jefferson-Florida,14543,2435
Jefferson-Georgia,15267,2649
Jefferson-Idaho,30581,3829
Jefferson-Illinois,37235,6455
Jefferson-Indiana,32110,5026
Jefferson-Iowa,18347,1973
Jefferson-Kansas,19032,2532
Jefferson-Kentucky,767452,116662
Jefferson-Louisiana,432346,69014
Jefferson-Mississippi,6997,943
Jefferson-Missouri,226543,31570
Jefferson-Montana,12360,1581
Jefferson-Nebraska,7099,793
Jefferson-New York,108095,8438
Jefferson-Ohio,64939,8353
Jefferson-Oklahoma,5949,920
Jefferson-Oregon,24856,3575
Jefferson-Pennsylvania,43108,4575
Jefferson-Tennessee,55307,9746
Jefferson-Texas,250127,31305
Jefferson-Washington,32700,1016
Jefferson-West Virginia,57486,6555
Jefferson-Wisconsin,85038,11545
Jefferson Davis-Louisiana,31208,4665
Jefferson Davis-Mississippi,10890,1706
Jenkins-Georgia,8746,1186
Jennings-Indiana,27515,3816
Jerauld-South Dakota,1985,299
Jerome-Idaho,24578,4115
Jersey-Illinois,21616,3335
Jessamine-Kentucky,54057,7888
Jewell-Kansas,2833,383
Jim Hogg-Texas,5184,898
Jim Wells-Texas,40452,7055
Jo Daviess-Illinois,21239,2140
Johnson-Arkansas,26513,4535
Johnson-Georgia,9667,1540
Johnson-Illinois,12358,2232
Johnson-Indiana,160607,24775
Johnson-Iowa,153740,17809
Johnson-Kansas,607220,76453
Johnson-Kentucky,22002,3628
Johnson-Missouri,54219,6970
Johnson-Nebraska,5057,687
Johnson-Tennessee,17849,3473
Johnson-Texas,179575,27440
Johnson-Wyoming,8588,1135
Johnston-North Carolina,216246,31680
Johnston-Oklahoma,10824,1915
Jones-Georgia,28787,3385
Jones-Iowa,20617,3655
Jones-Mississippi,67993,13759
Jones-North Carolina,9250,1292
Jones-South Dakota,938,137
Jones-Texas,19875,3175
Joplin-Missouri,50386,8626
Josephine-Oregon,88053,9193
Juab-Utah,12122,1889
Judith Basin-Montana,1994,139
Juneau-Wisconsin,26908,4078
Juneau City and Borough-Alaska,31849,3515
Juniata-Pennsylvania,24619,2747
Kalamazoo-Michigan,265988,28528
Kalawao-Hawaii,87,1
Kalkaska-Michigan,18003,1664
Kanabec-Minnesota,16416,1843
Kanawha-West Virginia,176253,23296
Kandiyohi-Minnesota,43130,8115
Kane-Illinois,531010,67810
Kane-Utah,7914,916
Kankakee-Illinois,108594,17738
Kansas City-Missouri,486404,62328
Karnes-Texas,15562,3978
Kauai-Hawaii,71851,2436
Kaufman-Texas,143198,23382
Kay-Oklahoma,43274,7044
Kearney-Nebraska,6652,814
Kearny-Kansas,3745,713
Keith-Nebraska,7983,900
Kemper-Mississippi,9521,1412
Kenai Peninsula Borough-Alaska,59414,9850
Kendall-Illinois,130638,16770
Kendall-Texas,48523,5015
Kenedy-Texas,379,60
Kennebec-Maine,122955,9141
Kenosha-Wisconsin,169671,23438
Kent-Delaware,183643,24864
Kent-Maryland,19192,1643
Kent-Michigan,658708,89258
Kent-Rhode Island,164646,22129
Kent-Texas,786,122
Kenton-Kentucky,167949,24017
Keokuk-Iowa,10085,1376
Kern-California,901362,143272
Kerr-Texas,52869,6451
Kershaw-South Carolina,67472,11757
Ketchikan Gateway Borough-Alaska,13747,1566
Kewaunee-Wisconsin,20386,3460
Keweenaw-Michigan,2119,233
Keya Paha-Nebraska,759,68
Kidder-North Dakota,2458,347
Kimball-Nebraska,3495,520
Kimble-Texas,4396,439
King-Texas,283,16
King-Washington,2274315,157650
King George-Virginia,27381,2518
King William-Virginia,17641,1849
King and Queen-Virginia,6942,602
Kingfisher-Oklahoma,15806,2544
Kingman-Kansas,6974,1091
Kings-California,152692,32093
Kingsbury-South Dakota,4987,905
Kinney-Texas,3670,508
Kiowa-Colorado,1458,134
Kiowa-Kansas,2456,338
Kiowa-Oklahoma,8741,1117
Kit Carson-Colorado,7121,909
Kitsap-Washington,272787,15944
Kittitas-Washington,49204,4782
Kittson-Minnesota,4214,587
Klamath-Oregon,68739,7582
Kleberg-Texas,30338,4266
Klickitat-Washington,22697,1828
Knott-Kentucky,14512,2345
Knox-Illinois,49053,7158
Knox-Indiana,36522,6193
Knox-Kentucky,31022,7039
Knox-Maine,39951,1776
Knox-Missouri,3940,506
Knox-Nebraska,8304,1026
Knox-Ohio,62423,7476
Knox-Tennessee,475609,77105
Knox-Texas,3683,334
Kodiak Island Borough-Alaska,12992,2319
Koochiching-Minnesota,12059,1368
Kootenai-Idaho,170628,26450
Kosciusko-Indiana,78988,12073
Kossuth-Iowa,14680,2694
Kusilvak Census Area-Alaska,8328,1929
La Crosse-Wisconsin,118502,16838
La Paz-Arizona,21480,3083
La Plata-Colorado,56564,5529
La Salle-Texas,7500,1201
LaGrange-Indiana,40119,3505
LaMoure-North Dakota,4033,649
LaPorte-Indiana,109663,14945
LaSalle-Illinois,107571,14921
LaSalle-Louisiana,15021,2695
Labette-Kansas,19586,3464
Lac qui Parle-Minnesota,6527,942
Lackawanna-Pennsylvania,208989,21993
Laclede-Missouri,35895,5221
Lafayette-Arkansas,6596,838
Lafayette-Florida,8482,2175
Lafayette-Louisiana,246518,38326
Lafayette-Mississippi,54408,8443
Lafayette-Missouri,33006,4534
Lafayette-Wisconsin,16646,2043
Lafourche-Louisiana,97596,17725
Lake-California,64479,6500
Lake-Colorado,7987,978
Lake-Florida,375492,53476
Lake-Illinois,693593,79360
Lake-Indiana,487536,65703
Lake-Michigan,11587,901
Lake-Minnesota,10639,1057
Lake-Montana,30986,3667
Lake-Ohio,229569,26274
Lake-Oregon,7949,877
Lake-South Dakota,12488,1541
Lake-Tennessee,6988,2004
Lake of the Woods-Minnesota,3754,445
Lamar-Alabama,13764,2130
Lamar-Georgia,19261,3374
Lamar-Mississippi,64165,10452
Lamar-Texas,49905,8661
Lamb-Texas,12710,2943
Lamoille-Vermont,25341,1176
Lampasas-Texas,21789,3478
Lancaster-Nebraska,320650,40903
Lancaster-Pennsylvania,546192,68521
Lancaster-South Carolina,100926,15643
Lancaster-Virginia,10618,1043
Lander-Nevada,5514,766
Lane-Kansas,1518,164
Lane-Oregon,382986,26791
Langlade-Wisconsin,19119,3024
Lanier-Georgia,10737,1462
Lapeer-Michigan,87635,11626
Laramie-Wyoming,100595,15041
Larimer-Colorado,360428,37010
Larue-Kentucky,14431,2350
Las Animas-Colorado,14420,1715
Lassen-California,30016,7418
Latah-Idaho,40830,4324
Latimer-Oklahoma,10132,1451
Lauderdale-Alabama,93368,14038
Lauderdale-Mississippi,73751,11933
Lauderdale-Tennessee,25451,5178
Laurel-Kentucky,61238,12665
Laurens-Georgia,47512,9026
Laurens-South Carolina,67883,11300
Lavaca-Texas,20216,3137
Lawrence-Alabama,32857,4243
Lawrence-Arkansas,16410,3220
Lawrence-Illinois,15467,3262
Lawrence-Indiana,45496,7363
Lawrence-Kentucky,15436,2531
Lawrence-Mississippi,12480,2110
Lawrence-Missouri,38175,5129
Lawrence-Ohio,59091,9556
Lawrence-Pennsylvania,85083,10278
Lawrence-South Dakota,26221,4210
Lawrence-Tennessee,44432,9410
Le Flore-Oklahoma,49935,7885
Le Sueur-Minnesota,28741,3762
Lea-New Mexico,71830,14110
Leake-Mississippi,22741,4072
Leavenworth-Kansas,82246,10147
Lebanon-Pennsylvania,141663,19846
Lee-Alabama,166831,23066
Lee-Arkansas,8513,2071
Lee-Florida,790767,123425
Lee-Georgia,30234,4636
Lee-Illinois,33647,4743
Lee-Iowa,33480,5610
Lee-Kentucky,7268,1702
Lee-Mississippi,85466,15398
Lee-North Carolina,62353,9267
Lee-South Carolina,16701,2492
Lee-Texas,17397,2889
Lee-Virginia,23238,3578
Leelanau-Michigan,21743,1567
Leflore-Mississippi,27854,4621
Lehigh-Pennsylvania,370802,47262
Lemhi-Idaho,8054,783
Lenawee-Michigan,97808,13763
Lenoir-North Carolina,55720,9334
Leon-Florida,295460,49917
Leon-Texas,17493,2429
Leslie-Kentucky,9637,2116
Letcher-Kentucky,21213,3737
Levy-Florida,42214,6889
Lewis-Idaho,3838,720
Lewis-Kentucky,13262,2436
Lewis-Missouri,9810,1630
Lewis-New York,26187,3487
Lewis-Tennessee,12363,2496
Lewis-Washington,82109,9499
Lewis-West Virginia,15805,2863
Lewis and Clark-Montana,70229,10065
Lexington-South Carolina,303946,53476
Lexington city-Virginia,7279,1534
Liberty-Florida,8364,1802
Liberty-Georgia,63004,7455
Liberty-Montana,2369,248
Liberty-Texas,91547,12565
Licking-Ohio,178100,23172
Limestone-Alabama,102228,15159
Limestone-Texas,23340,3603
Lincoln-Arkansas,12944,3633
Lincoln-Colorado,5680,1274
Lincoln-Georgia,8031,1167
Lincoln-Idaho,5358,650
Lincoln-Kansas,2986,334
Lincoln-Kentucky,24466,4184
Lincoln-Louisiana,46552,6984
Lincoln-Maine,34775,1686
Lincoln-Minnesota,5568,745
Lincoln-Mississippi,33936,5412
Lincoln-Missouri,60119,9035
Lincoln-Montana,20343,3144
Lincoln-Nebraska,34347,5164
Lincoln-Nevada,5159,514
Lincoln-New Mexico,19939,2769
Lincoln-North Carolina,88097,14597
Lincoln-Oklahoma,35045,4769
Lincoln-Oregon,50583,3081
Lincoln-South Dakota,63019,10052
Lincoln-Tennessee,34540,6572
Lincoln-Washington,11090,1300
Lincoln-West Virginia,20043,2623
Lincoln-Wisconsin,27566,4169
Lincoln-Wyoming,20253,2559
Linn-Iowa,227854,28700
Linn-Kansas,9654,1564
Linn-Missouri,11830,1823
Linn-Oregon,131054,12273
Lipscomb-Texas,3111,379
Litchfield-Connecticut,179610,16767
Little River-Arkansas,12180,1988
Live Oak-Texas,12324,1758
Livingston-Illinois,35414,5922
Livingston-Kentucky,9041,1356
Livingston-Louisiana,143737,24290
Livingston-Michigan,192335,21878
Livingston-Missouri,14413,2547
Livingston-New York,62398,5573
Llano-Texas,21958,2554
Logan-Arkansas,21410,3565
Logan-Colorado,21974,4548
Logan-Illinois,28383,4908
Logan-Kansas,2732,396
Logan-Kentucky,27416,4981
Logan-Nebraska,747,95
Logan-North Dakota,1880,315
Logan-Ohio,45326,5598
Logan-Oklahoma,48777,5975
Logan-West Virginia,31688,5132
Long-Georgia,20171,1716
Lonoke-Arkansas,73921,11776
Lorain-Ohio,312172,34632
Los Alamos-New Mexico,19462,751
Los Angeles-California,9943046,1474114
Loudon-Tennessee,54910,8971
Loudoun-Virginia,422784,33414
Louisa-Iowa,11011,1698
Louisa-Virginia,38132,3073
Loup-Nebraska,650,58
Love-Oklahoma,10230,1970
Loving-Texas,181,8
Lowndes-Alabama,9641,1730
Lowndes-Georgia,118268,21043
Lowndes-Mississippi,58309,10873
