#county,population,cases
Attala-Mississippi,18004,3299
Audrain-Missouri,24835,3673
Audubon-Iowa,5481,645
Auglaize-Ohio,45680,6578
Augusta-Virginia,76544,9981
Aurora-South Dakota,2730,537
Austin-Texas,29972,3413
Autauga-Alabama,56145,9865
Avery-North Carolina,17571,2673
Avoyelles-Louisiana,39966,7020
Baca-Colorado,3555,413
Bacon-Georgia,11036,2479
Bailey-Texas,6697,994
Baker-Florida,29566,5948
Baker-Georgia,2971,367
Baker-Oregon,16284,1963
Baldwin-Alabama,229287,36965
Baldwin-Georgia,45099,6602
Ballard-Kentucky,7769,649
Baltimore-Maryland,826017,75213
Baltimore city-Maryland,586131,60484
Bamberg-South Carolina,13906,2116
Bandera-Texas,23861,2258
Banks-Georgia,19352,2718
Banner-Nebraska,786,52
Bannock-Idaho,88795,12636
Baraga-Michigan,8164,1226
Barber-Kansas,4358,480
Barbour-Alabama,24589,3550
Barbour-West Virginia,16444,2547
Barnes-North Dakota,10402,1742
Barnstable-Massachusetts,213164,17242
Barnwell-South Carolina,20805,3844
Barren-Kentucky,44300,7775
Barron-Wisconsin,45090,8097
Barrow-Georgia,85588,14477
Barry-Michigan,62061,7417
Barry-Missouri,35818,4226
Bartholomew-Indiana,84447,11395
Barton-Kansas,25658,3742
Barton-Missouri,11592,1768
Bartow-Georgia,109426,20292
Bastrop-Texas,91601,14150
Bates-Missouri,16242,2255
Bath-Kentucky,12481,1535
Bath-Virginia,4119,445
Baxter-Arkansas,42242,5750
Bay-Florida,171322,31453
Bay-Michigan,102387,14015
Bayfield-Wisconsin,15242,1577
Baylor-Texas,3518,538
Beadle-South Dakota,18513,3203
Bear Lake-Idaho,6143,635
Beaufort-North Carolina,47073,6900
Beaufort-South Carolina,195656,26863
Beauregard-Louisiana,37881,6010
Beaver-Oklahoma,5207,550
Beaver-Pennsylvania,162575,20842
Beaver-Utah,6761,1010
Beaverhead-Montana,9483,1381
Becker-Minnesota,34456,5128
Beckham-Oklahoma,21468,3382
Bedford-Pennsylvania,47817,6398
Bedford-Tennessee,50179,8969
Bedford-Virginia,79811,9603
Bee-Texas,32513,5268
Belknap-New Hampshire,61551,5803
Bell-Kentucky,25482,5708
Bell-Texas,369927,38359
Belmont-Ohio,65932,8966
Beltrami-Minnesota,47442,6219
Ben Hill-Georgia,16614,3199
Benewah-Idaho,9430,1101
Bennett-South Dakota,3399,452
Bennington-Vermont,35338,2871
Benson-North Dakota,6762,1255
Bent-Colorado,5356,1656
Benton-Arkansas,288774,41414
Benton-Indiana,8741,1500
Benton-Iowa,25414,3524
Benton-Minnesota,40958,7299
Benton-Mississippi,8351,1470
Benton-Missouri,19627,2582
Benton-Oregon,93239,5245
Benton-Tennessee,16131,2731
Benton-Washington,206426,30401
Benzie-Michigan,17852,1583
Bergen-New Jersey,930394,118198
Berkeley-South Carolina,235987,30643
Berkeley-West Virginia,122125,17644
Berks-Pennsylvania,421017,56487
Berkshire-Massachusetts,124571,8412
Bernalillo-New Mexico,681666,73479
Berrien-Georgia,19408,3456
Berrien-Michigan,153025,18692
Bertie-North Carolina,18712,2430
Bethel Census Area-Alaska,18437,5565
Bexar-Texas,2026823,316402
Bibb-Alabama,22136,4208
Bibb-Georgia,152737,25126
Bienville-Louisiana,12983,2468
Big Horn-Montana,13063,2957
Big Horn-Wyoming,11575,1942
Big Stone-Minnesota,4923,776
Billings-North Dakota,890,88
Bingham-Idaho,47202,6421
Black Hawk-Iowa,130786,20150
