#municipalities,population,cases
Araguatins/TO,36573,2554
Araguaçu/TO,8418,961
Araguaína/TO,186245,37474
Araioses/MA,47095,686
Aral Moreira/MS,12511,560
Aramari/BA,11519,681
Arambaré/RS,3544,230
Arame/MA,32825,1563
Aramina/SP,5689,367
Arandu/SP,6373,657
Arantina/MG,2779,249
Arapeí/SP,2452,270
Arapiraca/AL,234309,31132
Arapoema/TO,6590,523
Araponga/MG,8467,689
Arapongas/PR,126545,14355
Araporã/MG,6992,2063
Arapoti/PR,28480,3257
Araputanga/MT,17078,2164
Arapuá/MG,2836,289
Arapuã/PR,2951,318
Araquari/SC,40890,4362
Arara/PB,13613,1046
Araranguá/SC,69493,11277
Araraquara/SP,240542,24692
Araras/SP,136739,18433
Ararendá/CE,10983,1424
Arari/MA,30014,1077
Araricá/RS,5840,1035
Araripe/CE,21707,1379
Araripina/PE,85301,7786
Araruama/RJ,136109,7440
Araruna/PB,20610,718
Araruna/PR,14029,2175
Arataca/BA,10904,791
Aratiba/RS,6145,456
Aratuba/CE,11759,1680
Aratuípe/BA,8848,492
Araucária/PR,148522,29053
Arauá/SE,9840,1292
Araxá/MG,108403,15057
Araçagi/PB,16857,1748
Araçariguama/SP,23343,2164
Araçatuba/SP,199210,30494
Araçaí/MG,2360,104
Araçoiaba da Serra/SP,35389,3092
Araçoiaba/PE,20936,698
Araçu/GO,3450,516
Araçuaí/MG,36715,2062
Araçás/BA,12237,718
Araújos/MG,9523,947
Arceburgo/MG,10990,1283
Arco-Íris/SP,1755,165
Arcos/MG,40658,6323
Arcoverde/PE,75295,7284
Areado/MG,15288,1239
Areal/RJ,12763,1656
Arealva/SP,8665,1010
Areia Branca/RN,28156,2998
Areia Branca/SE,18825,2104
Areia de Baraúnas/PB,2105,222
Areia/PB,22493,2052
Areial/PB,7054,397
Areias/SP,3906,367
Areiópolis/SP,11186,1410
Arenápolis/MT,9399,1917
Arenópolis/GO,2462,408
Argirita/MG,2681,283
Aricanduva/MG,5305,162
Arinos/MG,17850,1353
Aripuanã/MT,23067,3261
Ariquemes/RO,111148,22685
Ariranha do Ivaí/PR,2026,179
Ariranha/SP,9851,1013
Armazém/SC,8843,1464
Armação dos Búzios/RJ,35060,5706
Arneiroz/CE,7848,668
Aroazes/PI,5819,604
Aroeiras do Itaim/PI,2551,172
Aroeiras/PB,19081,2007
Arraial do Cabo/RJ,30827,924
Arraial/PI,4713,170
Arraias/TO,10502,1134
Arroio Grande/RS,18185,2130
Arroio Trinta/SC,3547,626
Arroio do Meio/RS,21121,3200
Arroio do Padre/RS,2966,258
Arroio do Sal/RS,10483,1201
Arroio do Tigre/RS,13452,1268
Arroio dos Ratos/RS,14201,1166
Artur Nogueira/SP,56247,5570
Aruanã/GO,10340,785
Arujá/SP,92453,8509
Arvoredo/SC,2228,357
Arvorezinha/RS,10422,902
Arês/RN,14526,1142
Ascurra/SC,8021,1338
Aspásia/SP,1815,212
Assaré/CE,23537,2361
Assaí/PR,14792,1554
Assis Brasil/AC,7649,1827
Assis Chateaubriand/PR,33306,5285
Assis/SP,105768,12290
Assunção do Piauí/PI,7879,345
Assunção/PB,4067,423
Astolfo Dutra/MG,14358,1451
Astorga/PR,26304,3618
Atalaia do Norte/AM,20868,2842
Atalaia/AL,47540,1255
Atalaia/PR,3871,447
Atalanta/SC,3179,514
Ataléia/MG,12496,1200
Atibaia/SP,145378,12705
Atilio Vivacqua/ES,12270,1721
Augustinópolis/TO,18870,1849
Augusto Corrêa/PA,46937,2036
Augusto Pestana/RS,6545,918
Augusto de Lima/MG,4833,315
Aurelino Leal/BA,11079,1055
Auriflama/SP,15316,2119
Aurilândia/GO,3000,376
Aurora do Pará/PA,32200,1813
Aurora do Tocantins/TO,3809,299
Aurora/CE,24567,1905
Aurora/SC,5687,913
Autazes/AM,41005,2907
Avanhandava/SP,14063,1228
Avaré/SP,91792,11782
Avaí/SP,5467,492
Aveiro/PA,16421,849
Avelino Lopes/PI,11361,488
Avelinópolis/GO,2401,347
Axixá do Tocantins/TO,9817,1052
Axixá/MA,12234,192
Açailândia/MA,113783,5820
Açu/RN,58743,8329
Açucena/MG,9270,808
Babaçulândia/TO,10668,885
Bacabal/MA,105094,5631
Bacabeira/MA,17446,398
Bacuri/MA,18726,629
Bacurituba/MA,5696,117
Bady Bassitt/SP,18013,4163
Baependi/MG,19249,1694
Bagre/PA,31967,947
Bagé/RS,121518,11618
Baianópolis/BA,13979,940
Baixa Grande do Ribeiro/PI,11751,2668
Baixa Grande/BA,20431,1011
Baixio/CE,6318,716
Baixo Guandu/ES,31263,3937
Baião/PA,49454,819
Balbinos/SP,6127,371
Baldim/MG,7780,674
Baliza/GO,5418,513
Balneário Arroio do Silva/SC,13782,2195
Balneário Barra do Sul/SC,11271,1583
Balneário Camboriú/SC,149227,27919
Balneário Gaivota/SC,11537,1395
Balneário Pinhal/RS,14645,1146
Balneário Piçarras/SC,24385,5480
Balneário Rincão/SC,13129,1523
Balsa Nova/PR,13238,1737
Balsas/MA,96951,13872
Bambuí/MG,23964,2110
Banabuiú/CE,18313,2329
Bananal/SP,11039,1134
Bananeiras/PB,21220,1585
Bandeira do Sul/MG,5808,691
Bandeira/MG,4738,478
Bandeirante/SC,2618,434
Bandeirantes do Tocantins/TO,3631,522
Bandeirantes/MS,7281,644
Bandeirantes/PR,31061,5360
Bannach/PA,3239,655
Banzaê/BA,13251,1195
Baraúna/PB,5033,716
Baraúna/RN,29112,1709
Barbacena/MG,139061,9464
Barbalha/CE,61662,7092
Barbosa Ferraz/PR,11287,1336
Barbosa/SP,7532,772
Barcarena/PA,129333,11992
Barcelona/RN,3989,202
Barcelos/AM,27772,4491
Bariri/SP,35844,3204
Barra Bonita/SC,1625,202
Barra Bonita/SP,36125,4857
Barra D'Alcântara/PI,3953,154
Barra Funda/RS,2563,625
Barra Longa/MG,4905,432
Barra Mansa/RJ,185237,32143
Barra Velha/SC,30539,5024
Barra da Estiva/BA,20198,2833
Barra de Guabiraba/PE,14632,448
Barra de Santa Rosa/PB,15607,1724
Barra de Santana/PB,8338,701
Barra de Santo Antônio/AL,16201,466
Barra de São Francisco/ES,45301,5405
Barra de São Miguel/AL,8434,640
Barra de São Miguel/PB,6095,678
Barra do Bugres/MT,35642,3690
Barra do Chapéu/SP,5794,448
Barra do Choça/BA,30831,2303
Barra do Corda/MA,88895,5830
Barra do Garças/MT,61702,10573
Barra do Guarita/RS,3266,116
Barra do Jacaré/PR,2781,270
Barra do Mendes/BA,13128,836
Barra do Ouro/TO,4673,167
Barra do Piraí/RJ,101139,7602
Barra do Quaraí/RS,4238,621
Barra do Ribeiro/RS,13618,1143
Barra do Rio Azul/RS,1621,118
Barra do Rocha/BA,5515,412
Barra do Turvo/SP,7606,735
Barra dos Coqueiros/SE,31439,7059
Barra/BA,54225,2272
Barracão/PR,10347,1349
Barracão/RS,5237,542
Barras/PI,47298,5257
Barreira/CE,22715,1602
Barreiras do Piauí/PI,3356,113
Barreiras/BA,158432,19958
Barreirinha/AM,32919,2438
Barreirinhas/MA,63891,2657
Barreiros/PE,42866,812
Barretos/SP,123546,17781
Barrinha/SP,33537,1711
Barro Alto/BA,15171,929
Barro Alto/GO,11643,1719
Barro Duro/PI,7022,708
Barro Preto/BA,5312,653
Barro/CE,22834,1904
Barrocas/BA,16225,910
Barrolândia/TO,5669,801
Barroquinha/CE,15069,1340
Barros Cassal/RS,11167,857
Barroso/MG,20981,2106
Barueri/SP,279704,34966
Barão de Antonina/SP,3525,518
Barão de Cocais/MG,33232,4907
Barão de Cotegipe/RS,6616,822
Barão de Grajaú/MA,19026,479
Barão de Melgaço/MT,8165,498
Barão de Monte Alto/MG,5311,344
Barão do Triunfo/RS,7550,501
Barão/RS,6232,762
Bastos/SP,20952,2090
Bataguassu/MS,23620,3486
Batalha/AL,18440,1133
Batalha/PI,26951,1323
Batatais/SP,63438,6401
Batayporã/MS,11368,1099
Baturité/CE,36127,4226
Bauru/SP,381706,53356
Bayeux/PB,97519,8518
Baía Formosa/RN,9373,518
Baía da Traição/PB,9197,1325
Bebedouro/SP,77612,4581
Beberibe/CE,54315,5697
Bela Cruz/CE,32851,3524
Bela Vista da Caroba/PR,3404,199
Bela Vista de Goiás/GO,31004,3669
Bela Vista de Minas/MG,10269,1014
Bela Vista do Maranhão/MA,11347,226
Bela Vista do Paraíso/PR,15400,2167
Bela Vista do Piauí/PI,4044,284
Bela Vista do Toldo/SC,6386,90
Bela Vista/MS,24842,1131
Belford Roxo/RJ,515239,23820
Belmiro Braga/MG,3422,219
Belmonte/BA,23540,1233
Belmonte/SC,2712,342
Belo Campo/BA,17013,987
Belo Horizonte/MG,2530701,285563
Belo Jardim/PE,76930,4560
Belo Monte/AL,6717,555
Belo Oriente/MG,27277,2780
Belo Vale/MG,7723,1059
Belterra/PA,17944,1661
Belágua/MA,7586,413
Belém de Maria/PE,12169,306
Belém do Brejo do Cruz/PB,7356,544
Belém do Piauí/PI,3607,490
Belém do São Francisco/PE,20730,1024
Belém/AL,4226,128
Belém/PA,1506420,106377
Belém/PB,17733,2430
Beneditinos/PI,10479,1322
Benedito Leite/MA,5643,316
Benedito Novo/SC,11896,1095
Benevides/PA,64780,4139
Benjamin Constant do Sul/RS,1924,189
Benjamin Constant/AM,44873,2716
Bento Fernandes/RN,5552,184
Bento Gonçalves/RS,123090,22111
Bento de Abreu/SP,3028,363
Bequimão/MA,21317,283
Berilo/MG,11813,153
Berizal/MG,4792,251
Bernardino Batista/PB,3571,308
Bernardino de Campos/SP,11168,912
Bernardo Sayão/TO,4439,651
Bernardo do Mearim/MA,6102,322
Bertioga/SP,66154,6184
Bertolínia/PI,5512,911
Bertópolis/MG,4609,489
Beruri/AM,20503,2294
Betim/MG,450024,32257
Betânia do Piauí/PI,6214,180
Betânia/PE,12811,514
Bezerros/PE,60960,4010
Bias Fortes/MG,3282,119
Bicas/MG,14612,1544
Biguaçu/SC,70471,11736
Bilac/SP,8197,958
Biquinhas/MG,2482,176
Birigui/SP,126094,18125
Biritiba Mirim/SP,33265,1551
Biritinga/BA,15989,609
Bituruna/PR,16411,1434
Blumenau/SC,366418,60686
Boa Esperança do Iguaçu/PR,2437,189
Boa Esperança do Sul/SP,15111,1745
Boa Esperança/ES,15146,1777
Boa Esperança/MG,40308,4999
Boa Esperança/PR,3991,494
Boa Hora/PI,6848,596
Boa Nova/BA,12039,1037
Boa Ventura de São Roque/PR,6343,568
Boa Ventura/PB,5248,769
Boa Viagem/CE,54680,4293
Boa Vista da Aparecida/PR,7524,1114
Boa Vista das Missões/RS,2087,257
Boa Vista do Buricá/RS,6712,909
Boa Vista do Cadeado/RS,2466,219
Boa Vista do Gurupi/MA,8494,15
Boa Vista do Incra/RS,2628,314
