#municipalities,population,cases
Feliz/RS,13728,2409
Felício dos Santos/MG,4656,231
Fernandes Pinheiro/PR,5561,581
Fernandes Tourinho/MG,3500,121
Fernando Falcão/MA,10559,849
Fernando Pedroza/RN,3081,464
Fernando Prestes/SP,5805,886
Fernando de Noronha/PE,3140,319
Fernandópolis/SP,69680,12707
Fernão/SP,1739,235
Ferraz de Vasconcelos/SP,198661,10405
Ferreira Gomes/AP,8151,1562
Ferreiros/PE,12216,1049
Ferros/MG,9576,485
Fervedouro/MG,11100,1283
Figueira/PR,7625,914
Figueirão/MS,3066,190
Figueirópolis D'Oeste/MT,3411,341
Figueirópolis/TO,5222,927
Filadélfia/BA,16314,1064
Filadélfia/TO,8892,671
Firmino Alves/BA,5641,426
Firminópolis/GO,13604,1440
Flexeiras/AL,12823,683
Flor da Serra do Sul/PR,4583,627
Flor do Sertão/SC,1575,190
Flora Rica/SP,1397,130
Floraí/PR,4883,656
Floreal/SP,2884,261
Flores da Cunha/RS,31352,5564
Flores de Goiás/GO,17415,238
Flores do Piauí/PI,4461,186
Flores/PE,22612,1143
Floresta Azul/BA,10525,841
Floresta do Araguaia/PA,20742,1242
Floresta do Piauí/PI,2561,99
Floresta/PE,33488,2010
Floresta/PR,6926,1146
Florestal/MG,7602,288
Florestópolis/PR,10360,1440
Floriano Peixoto/RS,1709,200
Floriano/PI,60111,9013
Florianópolis/SC,516524,82274
Florânia/RN,9772,1548
Florínea/SP,2631,386
Flórida Paulista/SP,14936,1283
Flórida/PR,2709,316
Fonte Boa/AM,16409,1608
Fontoura Xavier/RS,10181,1055
Formiga/MG,67956,11371
Formigueiro/RS,6569,582
Formosa da Serra Negra/MA,19425,1385
Formosa do Oeste/PR,6345,708
Formosa do Rio Preto/BA,26111,1501
Formosa do Sul/SC,2481,436
Formosa/GO,125705,11186
Formoso do Araguaia/TO,18358,3391
Formoso/GO,4098,555
Formoso/MG,9810,251
Forquetinha/RS,2389,219
Forquilha/CE,24680,1808
Forquilhinha/SC,27621,6619
Fortaleza de Minas/MG,4460,308
Fortaleza dos Nogueiras/MA,12662,1350
Fortaleza dos Valos/RS,4252,649
Fortaleza/CE,2703391,257802
Fortim/CE,16776,2319
Fortuna de Minas/MG,2986,126
Fortuna/MA,17812,1554
Foz do Iguaçu/PR,257971,44196
Foz do Jordão/PR,4466,572
Fraiburgo/SC,36723,4997
Franca/SP,358539,38514
Francinópolis/PI,5345,74
Francisco Alves/PR,5942,501
Francisco Ayres/PI,4300,279
Francisco Badaró/MG,10311,146
Francisco Beltrão/PR,93308,16323
Francisco Dantas/RN,2801,561
Francisco Dumont/MG,5268,186
Francisco Macedo/PI,3216,491
Francisco Morato/SP,179372,12021
Francisco Santos/PI,9423,515
Francisco Sá/MG,26459,1030
Franciscópolis/MG,5287,314
Franco da Rocha/SP,158438,13141
Frecheirinha/CE,14195,3097
Frederico Westphalen/RS,31675,5417
Frei Gaspar/MG,5858,618
Frei Inocêncio/MG,9716,824
Frei Lagonegro/MG,3496,172
Frei Martinho/PB,2989,341
Frei Miguelinho/PE,15633,1330
Frei Paulo/SE,15688,1713
Frei Rogério/SC,1918,366
Fronteira dos Vales/MG,4542,341
Fronteira/MG,18866,2278
Fronteiras/PI,11690,942
Fruta de Leite/MG,5232,148
Frutal/MG,60508,9294
Frutuoso Gomes/RN,4015,1057
Fundão/ES,22379,2849
Funilândia/MG,4434,353
Fátima do Sul/MS,19152,2818
Fátima/BA,17801,1227
Fátima/TO,3824,682
Fênix/PR,4734,430
Gabriel Monteiro/SP,2776,325
Gado Bravo/PB,8292,866
Galiléia/MG,6764,560
Galinhos/RN,2903,313
Galvão/SC,2711,469
Gameleira de Goiás/GO,3923,555
Gameleira/PE,31578,574
Gameleiras/MG,5084,315
Gandu/BA,32778,3057
Garanhuns/PE,141347,14720
Gararu/SE,11599,670
Garibaldi/RS,35794,5888
Garopaba/SC,24070,3526
Garrafão do Norte/PA,26155,1456
Garruchos/RS,2851,138
Garuva/SC,18816,2297
Garça/SP,44429,5487
Gaspar/SC,71925,9007
Gastão Vidigal/SP,4911,205
Gaurama/RS,5447,576
Gavião Peixoto/SP,4841,1343
Gavião/BA,4417,412
Gaúcha do Norte/MT,7913,1176
Geminiano/PI,5477,419
General Carneiro/MT,5726,841
General Carneiro/PR,13661,550
General Câmara/RS,8339,818
General Maynard/SE,3421,377
General Salgado/SP,10855,1115
General Sampaio/CE,7767,554
Gentil/RS,1619,187
Gentio do Ouro/BA,11284,609
Getulina/SP,11485,1155
Getúlio Vargas/RS,16158,2795
Gilbués/PI,10698,685
Girau do Ponciano/AL,41549,1900
Giruá/RS,15729,1990
Glaucilândia/MG,3177,185
Glicério/SP,4842,586
Glorinha/RS,8304,791
Glória D'Oeste/MT,2990,393
Glória de Dourados/MS,9934,1238
Glória do Goitá/PE,30847,1195
Glória/BA,15247,1211
Godofredo Viana/MA,12104,172
Godoy Moreira/PR,2850,227
Goiabeira/MG,3402,264
Goiana/PE,80345,7671
Goiandira/GO,5650,432
Goianinha/RN,27004,2910
Goianira/GO,46278,4275
Goianorte/TO,5136,368
Goianá/MG,4014,325
Goianápolis/GO,11217,1537
Goianésia do Pará/PA,41678,1910
Goianésia/GO,72045,12149
Goiatins/TO,13169,1139
Goiatuba/GO,34307,6480
Goioerê/PR,28734,2084
Goioxim/PR,6997,420
Goiás/GO,22122,2266
Goiânia/GO,1555626,201142
Gongogi/BA,6852,761
Gonzaga/MG,6184,400
Gonçalves Dias/MA,17953,1162
Gonçalves/MG,4360,350
Gouveia/MG,11811,703
Gouvelândia/GO,6076,674
Governador Archer/MA,10931,709
Governador Celso Ramos/SC,14739,2858
Governador Dix-Sept Rosado/RN,13115,1419
Governador Edison Lobão/MA,18740,982
Governador Eugênio Barros/MA,14703,1811
Governador Jorge Teixeira/RO,7130,628
Governador Lindenberg/ES,13047,2278
Governador Luiz Rocha/MA,7878,321
Governador Mangabeira/BA,20800,1228
Governador Newton Bello/MA,10121,808
Governador Nunes Freire/MA,25502,897
Governador Valadares/MG,282164,32183
Graccho Cardoso/SE,5831,550
Grajaú/MA,70692,5710
Gramado Xavier/RS,4378,434
Gramado dos Loureiros/RS,2036,239
Gramado/RS,36864,9183
Grandes Rios/PR,5379,647
Granito/PE,7586,446
Granja/CE,55170,3345
Granjeiro/CE,4784,496
Gravatal/SC,11652,2211
Gravataí/RS,285564,24282
Gravatá/PE,85309,5504
Graça Aranha/MA,6261,124
Graça/CE,14415,1401
Groaíras/CE,11219,1815
Grossos/RN,10541,1378
Grupiara/MG,1386,96
Grão Mogol/MG,15943,747
Grão Pará/SC,6621,1472
Guabiju/RS,1478,213
Guabiruba/SC,24922,4024
Guadalupe/PI,10496,1229
Guaimbê/SP,5806,586
Guairaçá/PR,6635,442
Guaiçara/SP,12416,1372
Guaiúba/CE,26508,1631
Guajará-Mirim/RO,46930,5441
Guajará/AM,17193,1693
Guajeru/BA,6371,368
Guamaré/RN,16261,2082
Guamiranga/PR,8881,1227
Guanambi/BA,85353,11177
Guanhães/MG,34818,3459
Guapiara/SP,16896,2307
Guapiaçu/SP,22087,2049
Guapimirim/RJ,62225,5232
Guapirama/PR,3767,633
Guaporema/PR,2239,252
Guaporé/RS,26199,4753
Guapé/MG,14269,1210
Guapó/GO,14206,2149
Guarabira/PB,59389,10095
Guaraci/PR,5557,622
Guaraci/SP,11382,1388
Guaraciaba do Norte/CE,40921,2589
Guaraciaba/MG,10307,594
Guaraciaba/SC,9964,2078
Guaraciama/MG,5005,207
Guaramiranga/CE,5073,875
Guaramirim/SC,46757,7504
Guarani d'Oeste/SP,1996,227
Guarani das Missões/RS,7393,575
Guarani de Goiás/GO,3801,327
Guarani/MG,8926,928
Guaraniaçu/PR,11969,1611
Guarantã do Norte/MT,36439,4482
Guarantã/SP,6685,291
Guaranésia/MG,19014,2131
Guarapari/ES,128504,18103
Guarapuava/PR,183755,22533
Guaraqueçaba/PR,7554,749
Guararapes/SP,33257,4217
Guararema/SP,30465,2319
Guarará/MG,3755,573
Guaratinga/BA,20565,1530
Guaratinguetá/SP,123192,11212
Guaratuba/PR,37974,5210
Guaraçaí/SP,8258,881
Guaraí/TO,26403,3418
Guaraíta/GO,1905,303
Guarda-Mor/MG,6558,700
Guareí/SP,19244,3426
Guariba/SP,40857,4207
Guaribas/PI,4573,108
Guarinos/GO,1681,193
Guarujá do Sul/SC,5196,578
Guarujá/SP,324977,22657
Guarulhos/SP,1404694,63807
Guará/SP,21394,2571
Guatambú/SC,4692,877
Guatapará/SP,7760,496
Guaxupé/MG,52234,6444
Guaçuí/ES,31372,3646
Guaíba/RS,98331,8518
Guaíra/PR,33497,3905
Guaíra/SP,41283,5732
Guia Lopes da Laguna/MS,9754,1068
Guidoval/MG,7026,802
Guimarânia/MG,8168,1014
Guimarães/MA,11966,368
Guiratinga/MT,15740,792
Guiricema/MG,8296,914
Gurinhatã/MG,5516,509
Gurinhém/PB,14125,958
Gurjão/PB,3477,221
Gurupi/TO,88428,15157
Gurupá/PA,34127,2358
Guzolândia/SP,5346,579
Gália/SP,6419,577
Harmonia/RS,4967,756
Heitoraí/GO,3742,294
Heliodora/MG,6623,714
Heliópolis/BA,12946,1033
Herculândia/SP,9649,1159
Herval d'Oeste/SC,22820,4669
Herval/RS,6807,557
Herveiras/RS,3019,287
Hidrolina/GO,3450,250
Hidrolândia/CE,20126,2750
Hidrolândia/GO,22533,3222
Holambra/SP,15605,2080
Honório Serpa/PR,5030,611
Horizonte/CE,69688,7776
Horizontina/RS,19446,2803
Hortolândia/SP,237570,25576
Hugo Napoleão/PI,3880,534
Hulha Negra/RS,6894,479
Humaitá/AM,57195,8077
Humaitá/RS,4712,360
Humberto de Campos/MA,29143,1816
Iacanga/SP,12002,1563
Iaciara/GO,14215,944
Iacri/SP,6269,618
Iapu/MG,11085,1220
Iaras/SP,9786,288
Iati/PE,19284,810
Iaçu/BA,23950,1958
Ibaiti/PR,31854,4017
Ibarama/RS,4393,279
Ibaretama/CE,13385,1218
Ibateguara/AL,15637,628
Ibatiba/ES,26762,4725
Ibaté/SP,35830,3997
Ibema/PR,6387,543
Ibertioga/MG,4999,264
Ibiam/SC,1952,266
Ibiapina/CE,25165,1861
Ibiara/PB,5877,742
Ibiassucê/BA,8849,1086
Ibiaçá/RS,4690,680
Ibiaí/MG,8478,320
Ibicaraí/BA,21083,2265
Ibicaré/SC,3154,540
Ibicoara/BA,19990,1026
Ibicuitinga/CE,12730,1897
Ibicuí/BA,16262,1272
Ibimirim/PE,29585,1118
Ibipeba/BA,18421,1031
Ibipitanga/BA,14989,1301
Ibiporã/PR,55688,7403
Ibiquera/BA,4047,151
Ibiracatu/MG,5340,219
Ibiraci/MG,14128,1166
Ibiraiaras/RS,7267,1254
Ibirajuba/PE,7773,286
Ibirama/SC,19238,1920
Ibirapitanga/BA,23433,1771
Ibirapuitã/RS,3988,396
Ibirapuã/BA,8740,1161
Ibirarema/SP,7926,800
Ibirataia/BA,14476,2377
Ibiraçu/ES,12701,1946
Ibirité/MG,184030,9619
Ibirubá/RS,20474,4883
Ibirá/SP,12639,2053
Ibitiara/BA,16463,815
Ibitinga/SP,61150,9961
Ibitirama/ES,8830,584
Ibititá/BA,17048,1497
Ibitiúra de Minas/MG,3497,581
Ibituruna/MG,3003,324
Ibiá/MG,25511,2618
Ibiúna/SP,80062,5219
Ibotirama/BA,27076,1364
Icapuí/CE,20183,2835
Icaraí de Minas/MG,12200,370
Icaraíma/PR,7671,935
Icatu/MA,27423,343
Ichu/BA,6232,459
Iconha/ES,14083,2941
Icém/SP,8363,1236
Icó/CE,68303,7460
Ielmo Marinho/RN,14033,384
Iepê/SP,8228,953
Igaci/AL,25596,1442
Igaporã/BA,15661,519
Igaracy/PB,6092,458
Igarapava/SP,30791,1380
Igarapé Grande/MA,11453,1939
Igarapé do Meio/MA,14470,950
Igarapé-Açu/PA,39234,2651
Igarapé-Miri/PA,63367,3595
Igarapé/MG,44561,3256
Igarassu/PE,119690,4252
Igaratinga/MG,11146,1053
Igaratá/SP,9631,2147
Igaraçu do Tietê/SP,24821,2980
Igrapiúna/BA,12963,794
Igreja Nova/AL,24670,1578
Igrejinha/RS,37754,4043
Iguaba Grande/RJ,29344,5201
Iguape/SP,31117,2643
Iguaracy/PE,12265,853
Iguaraçu/PR,4475,621
Iguatama/MG,7901,677
Iguatemi/MS,16273,1010
Iguatu/CE,103633,12039
Iguatu/PR,2251,317
Iguaí/BA,27006,1175
Ijaci/MG,6667,479
Ijuí/RS,84041,13267
Ilha Comprida/SP,11552,1395
Ilha Grande/PI,9487,1094
Ilha Solteira/SP,26886,2900
Ilha das Flores/SE,8522,389
Ilha de Itamaracá/PE,27076,1296
Ilhabela/SP,36194,7424
Ilhota/SC,14531,2072
Ilhéus/BA,157639,22204
Ilicínea/MG,12511,773
Ilópolis/RS,4054,342
Imaculada/PB,11877,374
Imaruí/SC,9764,1057
Imbaú/PR,13449,2006
Imbituba/SC,45711,7068
Imbituva/PR,33306,4828
Imbuia/SC,6284,659
Imbé de Minas/MG,6976,372
Imbé/RS,23721,3492
Imigrante/RS,3103,335
Imperatriz/MA,259980,18675
Inaciolândia/GO,6275,1081
Inajá/PE,24034,477
Inajá/PR,3122,392
Inconfidentes/MG,7387,559
Indaiabira/MG,7328,452
Indaial/SC,72346,10969
Indaiatuba/SP,260690,27650
Independência/CE,26196,2208
Independência/RS,6054,601
Indiana/SP,4873,251
Indianópolis/MG,7009,734
Indianópolis/PR,4472,964
Indiaporã/SP,3876,418
Indiara/GO,15962,1216
Indiaroba/SE,18337,515
Indiavaí/MT,2806,260
Ingazeira/PE,4537,490
Ingaí/MG,2785,172
Ingá/PB,18184,3101
Inhacorá/RS,2207,131
Inhambupe/BA,40720,2593
Inhangapi/PA,12009,361
Inhapi/AL,18398,474
Inhapim/MG,24020,2184
Inhaúma/MG,6352,748
Inhuma/PI,15330,1632
Inhumas/GO,53655,8926
Inimutaba/MG,7605,577
Inocência/MS,7566,1100
Inácio Martins/PR,11117,1294
Inúbia Paulista/SP,4045,503
Iomerê/SC,2979,338
Ipaba/MG,18926,1886
Ipameri/GO,27365,2620
Ipanema/MG,20133,2840
Ipanguaçu/RN,15759,1479
Ipaporanga/CE,11597,1440
Ipatinga/MG,267333,33157
Ipaumirim/CE,12507,1277
Ipaussu/SP,15165,2314
Ipecaetá/BA,14229,488
Iperó/SP,38771,3146
Ipeúna/SP,7824,775
Ipiaçu/MG,4229,548
Ipiaú/BA,45969,3356
Ipiguá/SP,5557,1078
Ipira/SC,4367,474
Ipiranga de Goiás/GO,2892,181
Ipiranga do Norte/MT,8182,1355
Ipiranga do Piauí/PI,9863,751
Ipiranga do Sul/RS,1871,178
Ipiranga/PR,15327,1333
Ipirá/BA,59281,2628
Ipixuna do Pará/PA,67170,2497
Ipixuna/AM,31172,5500
Ipojuca/PE,99101,3615
Iporanga/SP,4180,585
Iporá/GO,31471,4855
Iporã do Oeste/SC,9093,862
Iporã/PR,13642,1775
Ipu/CE,42148,5087
Ipuaçu/SC,7643,1096
Ipubi/PE,31515,1285
Ipueira/RN,2264,320
Ipueiras/CE,38064,3696
Ipueiras/TO,2088,168
Ipuiúna/MG,10156,1422
Ipumirim/SC,7647,861
Ipupiara/BA,9954,271
Ipuã/SP,16794,2135
Ipê/RS,6736,984
Iracema do Oeste/PR,2216,238
Iracema/CE,14351,2524
Iracema/RR,12637,1381
Iraceminha/SC,3901,541
Iracemápolis/SP,24982,4683
Irajuba/BA,7295,343
Iramaia/BA,7874,443
Iranduba/AM,49718,8969
Irani/SC,10575,1707
Irapuru/SP,8356,717
Irapuã/SP,8101,946
Iraquara/BA,25728,1770
Irará/BA,29305,2011
Irati/PR,61439,8719
Irati/SC,1887,315
Irauçuba/CE,24450,1178
Iraí de Minas/MG,7067,906
Iraí/RS,7046,691
Irecê/BA,74050,10335
Iretama/PR,10029,1089
Irineópolis/SC,11354,810
Irituia/PA,32639,1393
Irupi/ES,13672,1823
Isaías Coelho/PI,8582,758
Israelândia/GO,2772,158
Itaara/RS,5573,597
Itabaiana/PB,24363,3224
Itabaiana/SE,96839,13210
Itabaianinha/SE,42399,2962
Itabela/BA,30901,1869
Itaberaba/BA,64795,7521
Itaberaí/GO,44329,4756
Itaberá/SP,17405,2398
Itabi/SE,4869,214
Itabira/MG,121717,22876
Itabirinha/MG,11637,1157
Itabirito/MG,52996,13971
Itaboraí/RJ,244416,15619
Itabuna/BA,214123,34236
Itacajá/TO,7471,998
Itacambira/MG,5447,178
Itacarambi/MG,18175,774
Itacaré/BA,29051,1228
Itacoatiara/AM,104046,10642
Itacuruba/PE,5013,345
Itacurubi/RS,3456,71
Itaeté/BA,16164,418
Itagi/BA,12140,951
Itagibá/BA,14331,1248
Itagimirim/BA,6784,679
Itaguajé/PR,4426,341
Itaguara/MG,13510,2266
Itaguari/GO,4684,831
Itaguaru/GO,5184,576
Itaguatins/TO,5801,589
Itaguaçu da Bahia/BA,14650,662
Itaguaçu/ES,13982,1791
Itaguaí/RJ,136547,12827
Itainópolis/PI,11571,911
Itaipava do Grajaú/MA,16158,998
Itaipulândia/PR,11588,1498
Itaipé/MG,12910,382
Itaitinga/CE,38661,4614
Itaituba/PA,101541,11286
Itaiçaba/CE,7904,1508
Itaiópolis/SC,21889,2841
Itajaí/SC,226617,40884
Itajobi/SP,15331,2597
Itaju do Colônia/BA,6515,410
Itaju/SP,3937,552
Itajubá/MG,97782,10142
Itajuípe/BA,20309,2740
Itajá/GO,4412,302
Itajá/RN,7641,705
Italva/RJ,15387,633
Itamaraju/BA,64423,7927
Itamarandiba/MG,35130,2299
Itamarati de Minas/MG,4395,598
Itamarati/AM,7777,965
Itamari/BA,7971,556
Itambacuri/MG,23207,920
Itambaracá/PR,6516,894
Itambé do Mato Dentro/MG,2032,110
Itambé/BA,22474,1863
Itambé/PE,36495,1598
Itambé/PR,6110,777
Itamogi/MG,10122,1325
Itamonte/MG,15844,2210
Itanagra/BA,6433,320
Itanhandu/MG,15511,2605
Itanhangá/MT,7030,1034
Itanhaém/SP,104351,6935
Itanhomi/MG,12259,949
Itanhém/BA,19231,1372
Itaobim/MG,20997,1939
Itaoca/SP,3332,285
Itaocara/RJ,23211,2948
Itapaci/GO,23850,2594
Itapagipe/MG,15511,2527
Itapajé/CE,53448,3209
Itaparica/BA,22440,1423
Itapebi/BA,10173,693
Itapecerica da Serra/SP,179574,8156
Itapecerica/MG,21760,1763
Itapecuru Mirim/MA,69233,3388
Itapejara d'Oeste/PR,12220,2096
Itapema/SC,69323,13066
Itapemirim/ES,34957,4797
Itaperuna/RJ,104354,15565
Itaperuçu/PR,29493,3924
Itapetim/PE,13492,1493
Itapetinga/BA,77408,5676
Itapetininga/SP,167106,17606
Itapeva/MG,9976,1834
Itapeva/SP,95241,10840
Itapevi/SP,244131,12951
Itapicuru/BA,36173,1624
Itapipoca/CE,131687,10737
Itapira/SP,75683,9625
Itapiranga/AM,9312,3097
Itapiranga/SC,17139,2539
Itapirapuã Paulista/SP,4294,562
Itapirapuã/GO,4380,1200
Itapiratins/TO,3814,480
Itapissuma/PE,27144,939
Itapitanga/BA,10284,934
Itapiúna/CE,20653,2226
Itaporanga d'Ajuda/SE,35054,3158
Itaporanga/PB,24960,3088
Itaporanga/SP,15197,1682
Itapororoca/PB,18978,2510
Itaporã do Tocantins/TO,2412,510
Itaporã/MS,25478,1995
Itapoá/SC,21766,3748
Itapuca/RS,2037,216
Itapura/SP,4994,310
Itapuranga/GO,25597,4033
Itapuã do Oeste/RO,10819,1420
Itapuí/SP,14297,1617
Itapé/BA,8300,790
Itaquaquecetuba/SP,379082,20222
Itaquara/BA,8375,696
Itaqui/RS,37363,4061
Itaquiraí/MS,21604,2227
Itaquitinga/PE,17056,651
Itarana/ES,10433,1732
Itarantim/BA,19937,726
Itararé/SP,50778,6258
Itarema/CE,42595,3503
Itariri/SP,17754,1366
Itarumã/GO,7337,770
Itati/RS,2377,240
Itatiaia/RJ,32312,2626
Itatiaiuçu/MG,11354,564
Itatiba do Sul/RS,3143,249
Itatiba/SP,124254,12581
Itatim/BA,14588,857
Itatinga/SP,21139,2871
Itatira/CE,22018,2189
Itatuba/PB,11069,1031
Itaubal/AP,5730,548
Itaueira/PI,11037,185
Itauçu/GO,8968,1462
Itaverava/MG,5321,123
Itaí/SP,27632,3043
Itaíba/PE,26268,1001
Itaú de Minas/MG,16286,2422
Itaú/RN,5916,493
Itaúba/MT,3609,838
Itaúna do Sul/PR,2700,281
Itaúna/MG,94455,11904
Itinga do Maranhão/MA,26134,954
Itinga/MG,15053,534
Itiquira/MT,13727,815
Itirapina/SP,18610,1655
Itirapuã/SP,6587,324
Itiruçu/BA,12482,1006
Itiúba/BA,36140,1677
Itobi/SP,7862,615
Itororó/BA,20394,3217
Itu/SP,177150,23112
Ituaçu/BA,19095,1902
Ituberá/BA,28870,1890
Itueta/MG,6074,1124
Ituiutaba/MG,105818,17010
Itumbiara/GO,106845,14878
Itumirim/MG,5978,279
Itupeva/SP,64330,6699
Itupiranga/PA,53439,1811
Ituporanga/SC,25619,4025
Iturama/MG,40101,6393
Itutinga/MG,3749,165
Ituverava/SP,42259,2678
Itá/SC,6091,1181
Itápolis/SP,43536,5724
Iuiu/BA,11038,941
Ivaiporã/PR,31886,3800
Ivatuba/PR,3299,292
Ivaté/PR,8294,626
Ivaí/PR,14049,1117
Ivinhema/MS,23277,4814
Ivolândia/GO,2295,269
Ivorá/RS,1854,105
Ivoti/RS,25068,3539
Içara/SC,58055,7832
Iúna/ES,29417,3540
Jaboatão dos Guararapes/PE,711330,35944
Jaborandi/BA,8176,751
Jaborandi/SP,6963,578
Jaborá/SC,3899,968
Jaboti/PR,5332,578
Jaboticaba/RS,3738,316
Jaboticabal/SP,78029,7433
Jaboticatubas/MG,20683,1787
Jacaraci/BA,14855,819
Jacaraú/PB,14467,1166
Jacareacanga/PA,6952,2530
Jacarezinho/PR,39268,6183
Jacareí/SP,237119,25358
Jacaré dos Homens/AL,5185,461
Jaci/SP,7322,1356
Jaciara/MT,27696,3507
Jacinto Machado/SC,10337,1488
Jacinto/MG,12320,1083
Jacobina do Piauí/PI,5718,382
Jacobina/BA,80749,7136
Jacuizinho/RS,2718,163
Jacundá/PA,60517,2269
Jacupiranga/SP,17911,1700
Jacutinga/MG,26538,2620
Jacutinga/RS,3532,367
Jacuí/MG,7695,1055
Jacuípe/AL,6992,182
Jaguapitã/PR,13861,2073
Jaguaquara/BA,54913,6163
Jaguarari/BA,33915,2216
Jaguaraçu/MG,3151,432
Jaguaretama/CE,18133,1985
Jaguari/RS,10684,1011
Jaguariaíva/PR,35192,4805
Jaguaribara/CE,11580,1108
Jaguaribe/CE,34592,4576
Jaguaripe/BA,19162,1039
Jaguariúna/SP,59921,6470
Jaguaruana/CE,33960,3816
Jaguaruna/SC,20547,3479
Jaguarão/RS,26327,2816
Jaguaré/ES,31589,4238
Jaicós/PI,19233,2060
Jales/SP,49291,7213
Jambeiro/SP,6828,418
Jampruca/MG,5453,270
Janaúba/MG,72374,5613
Jandaia do Sul/PR,21281,3066
Jandaia/GO,6001,1017
Jandaíra/BA,10742,638
Jandaíra/RN,6907,684
Jandira/SP,127734,8141
Janduís/RN,5228,373
Jangada/MT,8420,618
Janiópolis/PR,4948,514
Januária/MG,67958,3618
Januário Cicco/RN,10367,309
Japaratinga/AL,8444,447
Japaratuba/SE,19067,1495
Japaraíba/MG,4418,411
Japeri/RJ,106296,1249
Japi/RN,4935,423
Japira/PR,4929,634
Japoatã/SE,13422,433
Japonvar/MG,7991,365
Japorã/MS,9372,218
Japurá/AM,1755,1050
Japurá/PR,9573,1224
Jaqueira/PE,11632,352
Jaquirana/RS,3611,587
Jaraguari/MS,7342,305
Jaraguá do Sul/SC,184579,34998
Jaraguá/GO,52160,7822
Jaramataia/AL,5751,117
Jardim Alegre/PR,11067,1040
Jardim Olinda/PR,1309,70
Jardim de Angicos/RN,2600,164
Jardim de Piranhas/RN,15044,2964
Jardim do Mulato/PI,4522,252
Jardim do Seridó/RN,12397,1791
Jardim/CE,27187,1910
Jardim/MS,26375,2266
Jardinópolis/SC,1520,401
Jardinópolis/SP,45544,4233
Jari/RS,3472,171
Jarinu/SP,31173,3084
Jaru/RO,51469,8003
Jataizinho/PR,12687,1849
Jataí/GO,103221,14532
Jataúba/PE,17305,1327
Jateí/MS,4015,491
Jati/CE,8150,806
Jatobá do Piauí/PI,4885,358
Jatobá/MA,10464,92
Jatobá/PE,14904,952
Jaupaci/GO,2843,83
Jauru/MT,8377,808
Jaçanã/RN,9341,783
Jaíba/MG,39850,2890
Jaú do Tocantins/TO,3906,299
Jaú/SP,153463,12879
Jeceaba/MG,4795,400
Jenipapo de Minas/MG,7781,176
Jenipapo dos Vieiras/MA,17123,1153
Jequeri/MG,12246,717
Jequitaí/MG,7407,339
Jequitibá/MG,5203,486
Jequitinhonha/MG,25555,1917
Jequiá da Praia/AL,11495,630
Jequié/BA,156277,18075
Jeremoabo/BA,40832,2254
Jericó/PB,7751,723
Jeriquara/SP,3143,351
Jerumenha/PI,4443,211
Jerônimo Monteiro/ES,12336,1634
Jesuânia/MG,4774,271
Jesuítas/PR,8251,1070
Jesúpolis/GO,2497,229
Ji-Paraná/RO,131026,20404
Jijoca de Jericoacoara/CE,20351,2892
Jiquiriçá/BA,14576,1047
Jitaúna/BA,10470,981
Joanésia/MG,4382,390
Joanópolis/SP,13453,1217
Joaquim Felício/MG,4757,300
Joaquim Gomes/AL,24167,726
Joaquim Nabuco/PE,15999,617
Joaquim Pires/PI,14396,1636
Joaquim Távora/PR,12108,2044
Joaçaba/SC,30684,7070
Joaíma/MG,15476,1228
Joca Claudino/PB,2640,123
Joca Marques/PI,5488,610
Joinville/SC,604708,115769
Jordânia/MG,10872,984
Jordão/AC,8628,706
Joselândia/MA,16228,673
Josenópolis/MG,4911,466
José Boiteux/SC,5019,698
José Bonifácio/SP,37707,6020
José Gonçalves de Minas/MG,4474,137
José Raydan/MG,5104,347
José da Penha/RN,5941,680
José de Freitas/PI,39457,6096
Joviânia/GO,7417,1295
João Alfredo/PE,33570,976
João Costa/PI,3003,186
João Câmara/RN,35360,2982
João Dias/RN,2653,206
João Dourado/BA,25606,1755
João Lisboa/MA,23677,712
João Monlevade/MG,80903,10693
João Neiva/ES,16774,2905
João Pessoa/PB,825796,106509
João Pinheiro/MG,47990,5473
João Ramalho/SP,4577,664
Juara/MT,35275,4991
Juarez Távora/PB,8014,986
Juarina/TO,2174,157
Juatuba/MG,27823,2917
Juazeirinho/PB,18422,1057
Juazeiro do Norte/CE,278264,31110
Juazeiro do Piauí/PI,5491,383
Juazeiro/BA,219544,17596
Jucati/PE,11545,724
Jucurutu/RN,18335,3270
Jucuruçu/BA,8856,918
Jucás/CE,24949,1924
Juiz de Fora/MG,577532,46003
Jumirim/SP,3467,536
Junco do Maranhão/MA,4334,327
Junco do Seridó/PB,7238,829
Jundiaí do Sul/PR,3248,183
Jundiaí/SP,426935,53896
Jundiá/AL,4119,161
Jundiá/RN,3945,555
Junqueiro/AL,24716,1152
Junqueirópolis/SP,20978,2216
Jupi/PE,15007,1217
Jupiá/SC,2083,311
Juquitiba/SP,31844,1782
Juquiá/SP,18627,1896
Juramento/MG,4359,199
Juranda/PR,7244,1058
Jurema/PE,15483,597
Jurema/PI,4790,306
Juripiranga/PB,10830,1461
Juru/PB,9831,813
Juruaia/MG,10795,1374
Juruena/MT,16811,1465
Juruti/PA,59961,4365
Juruá/AM,15495,985
Juscimeira/MT,11124,1555
Jussara/BA,15241,708
Jussara/GO,18266,2891
Jussara/PR,7069,730
Jussari/BA,5706,656
Jussiape/BA,5777,368
Jutaí/AM,13462,3164
Juti/MS,6861,650
