cities,population,cases
Tauá(CE),58859,402
Tejuçuoca(CE),19187,204
Tianguá(CE),75946,815
Trairi(CE),55918,445
Tururu(CE),16271,178
Ubajara(CE),34792,378
Umari(CE),7733,50
Umirim(CE),19825,165
Uruburetama(CE),21850,491
Uruoca(CE),13840,128
Varjota(CE),18420,150
Viçosa do Ceará(CE),60889,460
Várzea Alegre(CE),40721,171
Afonso Cláudio(ES),30586,182
Alegre(ES),30084,62
Alfredo Chaves(ES),14601,113
Alto Rio Novo(ES),7836,10
Anchieta(ES),29263,238
Apiacá(ES),7567,25
Aracruz(ES),101220,430
Atilio Vivacqua(ES),11936,39
Baixo Guandu(ES),30998,147
Barra de São Francisco(ES),44650,157
Boa Esperança(ES),15037,94
Bom Jesus do Norte(ES),9936,40
Brejetuba(ES),12404,45
Cachoeiro de Itapemirim(ES),208972,1141
Cariacica(ES),381285,4055
Castelo(ES),37534,128
Colatina(ES),122499,991
Conceição da Barra(ES),31063,36
Conceição do Castelo(ES),12723,40
Divino de São Lourenço(ES),4304,80
Domingos Martins(ES),33850,216
Dores do Rio Preto(ES),6749,18
Ecoporanga(ES),22923,84
Fundão(ES),21509,235
Governador Lindenberg(ES),12709,13
Guarapari(ES),124859,659
Guaçuí(ES),30867,99
Ibatiba(ES),26082,56
Ibiraçu(ES),12479,74
Ibitirama(ES),8889,33
Iconha(ES),13860,90
Irupi(ES),13377,28
Itaguaçu(ES),14066,19
Itapemirim(ES),34348,386
Itarana(ES),10555,40
Iúna(ES),29161,102
Jaguaré(ES),30477,48
Jerônimo Monteiro(ES),12192,59
João Neiva(ES),16668,135
Laranja da Terra(ES),10947,43
Linhares(ES),173555,934
Mantenópolis(ES),15350,23
Marataízes(ES),38499,518
Marechal Floriano(ES),16694,265
Marilândia(ES),12833,58
Mimoso do Sul(ES),26153,179
Montanha(ES),18833,18
Mucurici(ES),5524,9
Muniz Freire(ES),17465,63
Muqui(ES),15449,73
Nova Venécia(ES),50110,180
Pancas(ES),23184,119
Pedro Canário(ES),26184,101
Pinheiros(ES),27047,79
Piúma(ES),21711,173
Ponto Belo(ES),7863,9
Presidente Kennedy(ES),11574,175
Rio Bananal(ES),19141,62
Rio Novo do Sul(ES),11622,92
Santa Leopoldina(ES),12224,55
Santa Maria de Jetibá(ES),40431,139
Santa Teresa(ES),23590,153
Serra(ES),517510,5647
Sooretama(ES),30070,121
São Domingos do Norte(ES),8638,52
São Gabriel da Palha(ES),37947,236
São José do Calçado(ES),10556,66
São Mateus(ES),130611,452
São Roque do Canaã(ES),12415,53
Vargem Alta(ES),21402,60
Venda Nova do Imigrante(ES),25277,147
Viana(ES),78239,638
Vila Pavão(ES),9208,17
Vila Valério(ES),14080,63
Vila Velha(ES),493838,5597
Vitória(ES),362097,5643
Água Doce do Norte(ES),11019,35
Águia Branca(ES),9642,31
Abadia de Goiás(GO),8773,22
Abadiânia(GO),20042,30
Acreúna(GO),22366,3
Adelândia(GO),2516,5
Alexânia(GO),27653,22
Aloândia(GO),1995,1
Alto Horizonte(GO),6414,0
Alto Paraíso de Goiás(GO),7624,4
Alvorada do Norte(GO),8660,1
Amaralina(GO),3812,3
Americano do Brasil(GO),6111,4
Amorinópolis(GO),3126,2
Anhanguera(GO),1149,1
Anicuns(GO),21850,23
Anápolis(GO),386923,520
Aparecida de Goiânia(GO),578179,1454
Aparecida do Rio Doce(GO),2474,20
Aporé(GO),4198,0
Aragarças(GO),20118,23
Aragoiânia(GO),10308,12
Araguapaz(GO),7770,1
Araçu(GO),3522,1
Arenópolis(GO),2612,0
Aruanã(GO),9875,0
Aurilândia(GO),3120,6
Avelinópolis(GO),2417,1
Baliza(GO),5138,0
Barro Alto(GO),11167,20
Bela Vista de Goiás(GO),29975,43
Bom Jardim de Goiás(GO),8841,2
Bom Jesus de Goiás(GO),25216,23
Bonfinópolis(GO),9706,8
Bonópolis(GO),4405,0
Brazabrantes(GO),3703,2
Britânia(GO),5779,4
Buriti Alegre(GO),9459,10
Buriti de Goiás(GO),2488,0
Buritinópolis(GO),3292,1
Cabeceiras(GO),7993,2
Cachoeira Alta(GO),12484,18
Cachoeira Dourada(GO),8067,5
Cachoeira de Goiás(GO),1351,0
Caiapônia(GO),18913,2
Caldas Novas(GO),91162,51
Caldazinha(GO),3804,1
Campestre de Goiás(GO),3630,1
Campinaçu(GO),3640,0
Campinorte(GO),12626,13
Campo Alegre de Goiás(GO),7589,2
Campo Limpo de Goiás(GO),7789,7
Campos Belos(GO),19887,26
Campos Verdes(GO),2141,0
Carmo do Rio Verde(GO),10082,6
Castelândia(GO),3435,4
Catalão(GO),108823,131
Caturaí(GO),5070,2
Cavalcante(GO),9709,4
Caçu(GO),16009,49
Ceres(GO),22191,11
Cezarina(GO),8606,1
Chapadão do Céu(GO),10167,13
Cidade Ocidental(GO),71376,156
Cocalzinho de Goiás(GO),20240,20
Colinas do Sul(GO),3382,0
Corumbaíba(GO),9723,11
Corumbá de Goiás(GO),11110,1
Cristalina(GO),58997,28
Cristianópolis(GO),2966,0
Crixás(GO),16949,5
Cromínia(GO),3486,2
Cumari(GO),2854,10
Córrego do Ouro(GO),2327,1
Damianópolis(GO),3311,0
Damolândia(GO),2938,4
Davinópolis(GO),2094,0
Diorama(GO),2484,0
Divinópolis de Goiás(GO),4804,0
Doverlândia(GO),7322,0
Edealina(GO),3699,3
Edéia(GO),12372,10
Estrela do Norte(GO),3275,1
Faina(GO),6627,1
Fazenda Nova(GO),5637,0
Firminópolis(GO),13292,3
Flores de Goiás(GO),16557,1
Formosa(GO),121617,173
Formoso(GO),4248,0
Gameleira de Goiás(GO),3818,5
Goiandira(GO),5600,3
Goianira(GO),44289,8
Goianápolis(GO),11231,19
Goianésia(GO),70084,69
Goiatuba(GO),34095,50
Goiás(GO),22645,2
Goiânia(GO),1516113,4679
Gouvelândia(GO),5898,3
Guapó(GO),14209,18
Guarani de Goiás(GO),3893,11
Guaraíta(GO),1996,2
Guarinos(GO),1794,0
Heitoraí(GO),3724,0
Hidrolina(GO),3564,11
Hidrolândia(GO),21706,50
Iaciara(GO),13947,10
Inaciolândia(GO),6194,1
Indiara(GO),15611,24
