#city,population,cases
Linhares(ES),173555,19979
Mantenópolis(ES),15350,720
Marataízes(ES),38499,4913
Marechal Floriano(ES),16694,2507
Marilândia(ES),12833,1736
Mimoso do Sul(ES),26153,2482
Montanha(ES),18833,1153
Mucurici(ES),5524,531
Muniz Freire(ES),17465,2230
Muqui(ES),15449,1628
Nova Venécia(ES),50110,4330
Pancas(ES),23184,2129
Pedro Canário(ES),26184,1458
Pinheiros(ES),27047,2234
Piúma(ES),21711,2187
Ponto Belo(ES),7863,465
Presidente Kennedy(ES),11574,1579
Rio Bananal(ES),19141,1726
Rio Novo do Sul(ES),11622,1215
Santa Leopoldina(ES),12224,801
Santa Maria de Jetibá(ES),40431,4090
Santa Teresa(ES),23590,3626
Serra(ES),517510,49996
Sooretama(ES),30070,2262
São Domingos do Norte(ES),8638,977
São Gabriel da Palha(ES),37947,4920
São José do Calçado(ES),10556,723
São Mateus(ES),130611,8632
São Roque do Canaã(ES),12415,1483
Vargem Alta(ES),21402,1674
Venda Nova do Imigrante(ES),25277,3590
Viana(ES),78239,6142
Vila Pavão(ES),9208,943
Vila Valério(ES),14080,2173
Vila Velha(ES),493838,50001
Vitória(ES),362097,43712
Água Doce do Norte(ES),11019,657
Águia Branca(ES),9642,1740
Abadia de Goiás(GO),8773,1179
Abadiânia(GO),20042,306
Acreúna(GO),22366,1457
Adelândia(GO),2516,108
Alexânia(GO),27653,2348
Aloândia(GO),1995,186
Alto Horizonte(GO),6414,586
Alto Paraíso de Goiás(GO),7624,493
Alvorada do Norte(GO),8660,560
Amaralina(GO),3812,46
Americano do Brasil(GO),6111,341
Amorinópolis(GO),3126,142
Anhanguera(GO),1149,82
Anicuns(GO),21850,2139
Anápolis(GO),386923,27802
Aparecida de Goiânia(GO),578179,55822
Aparecida do Rio Doce(GO),2474,178
Aporé(GO),4198,280
Aragarças(GO),20118,1695
Aragoiânia(GO),10308,807
Araguapaz(GO),7770,383
Araçu(GO),3522,356
Arenópolis(GO),2612,154
Aruanã(GO),9875,351
Aurilândia(GO),3120,165
Avelinópolis(GO),2417,238
Baliza(GO),5138,164
Barro Alto(GO),11167,1154
Bela Vista de Goiás(GO),29975,1937
Bom Jardim de Goiás(GO),8841,540
Bom Jesus de Goiás(GO),25216,2233
Bonfinópolis(GO),9706,423
Bonópolis(GO),4405,114
Brazabrantes(GO),3703,335
Britânia(GO),5779,401
Buriti Alegre(GO),9459,726
