"GCT-PEPANNCHG-Geography-United States: Estimates of Resident Population Change and Rankings: July 1, 2013 to July 1, 2014 - United States -- Metropolitan Statistical Area; and for Puerto Rico",,,,,,,,,,,,
2014 Population Estimates ,,,,,,,,,,,,
Geography,,,Population Estimate (as of July 1),,,,"Change, 2013 to 2014",,Rankings,,,
,,,2013,,,2014,Number,Percent [1],Population Estimate (as of July 1),,"Change, 2013 to 2014",
,,,,,,,,,2013,2014,Number,Percent
"      Baltimore-Columbia-Towson, MD Metro Area",,,"2,774,050",,,"2,785,874","11,824",0.4,20,20,41,214
"      Bangor, ME Metro Area",,,"153,479",,,"153,414",-65,0.0,263,266,304,303
"      Barnstable Town, MA Metro Area",,,"214,836",,,"214,914",78,0.0,203,203,289,289
"      Baton Rouge, LA Metro Area",,,"820,409",,,"825,478","5,069",0.6,69,70,83,174
"      Battle Creek, MI Metro Area",,,"134,830",,,"134,878",48,0.0,298,298,291,290
"      Bay City, MI Metro Area",,,"106,936",,,"106,179",-757,-0.7,343,343,345,369
"      Beaumont-Port Arthur, TX Metro Area",,,"405,424",,,"405,427",3,0.0,129,130,298,298
"      Beckley, WV Metro Area",,,"124,196",,,"123,373",-823,-0.7,315,317,351,366
"      Bellingham, WA Metro Area",,,"206,248",,,"208,351","2,103",1.0,211,210,157,106
"      Bend-Redmond, OR Metro Area",,,"165,955",,,"170,388","4,433",2.7,245,239,101,7
"      Billings, MT Metro Area",,,"165,222",,,"166,885","1,663",1.0,246,246,169,110
"      Binghamton, NY Metro Area",,,"248,362",,,"247,219","-1,143",-0.5,186,188,361,351
"      Birmingham-Hoover, AL Metro Area",,,"1,139,556",,,"1,143,772","4,216",0.4,49,49,105,225
"      Bismarck, ND Metro Area",,,"123,993",,,"126,597","2,604",2.1,316,312,137,22
"      Blacksburg-Christiansburg-Radford, VA Metro Area",,,"180,952",,,"181,605",653,0.4,228,228,233,227
"      Bloomington, IL Metro Area",,,"191,294",,,"190,345",-949,-0.5,223,225,356,356
"      Bloomington, IN Metro Area",,,"163,190",,,"164,308","1,118",0.7,250,251,201,163
"      Bloomsburg-Berwick, PA Metro Area",,,"85,674",,,"85,763",89,0.1,368,368,288,276
"      Boise City, ID Metro Area",,,"650,457",,,"664,422","13,965",2.1,83,81,36,20
"      Boston-Cambridge-Newton, MA-NH Metro Area",,,"4,698,049",,,"4,732,161","34,112",0.7,10,10,20,150
"      Boulder, CO Metro Area",,,"310,396",,,"313,333","2,937",0.9,160,160,127,125
"      Bowling Green, KY Metro Area",,,"163,841",,,"165,732","1,891",1.2,249,248,163,86
"      Bremerton-Silverdale, WA Metro Area",,,"253,205",,,"254,183",978,0.4,185,185,212,221
"      Bridgeport-Stamford-Norwalk, CT Metro Area",,,"942,119",,,"945,438","3,319",0.4,57,57,117,228
