cities,population,cases
Guaraciaba do Norte(CE),40642,642
Guaramiranga(CE),5193,121
Hidrolândia(CE),19978,229
Horizonte(CE),67337,1680
Ibaretama(CE),13353,130
Ibiapina(CE),24997,663
Ibicuitinga(CE),12525,448
Icapuí(CE),19934,425
Icó(CE),68018,932
Iguatu(CE),102498,2696
Independência(CE),26178,212
Ipaporanga(CE),11593,177
Ipaumirim(CE),12463,150
Ipu(CE),41964,1292
Ipueiras(CE),38166,464
Iracema(CE),14297,324
Irauçuba(CE),24156,355
Itaitinga(CE),37980,671
Itaiçaba(CE),7827,257
Itapajé(CE),52675,1079
Itapipoca(CE),129358,2582
Itapiúna(CE),20382,334
Itarema(CE),41826,1911
Itatira(CE),21647,855
Jaguaretama(CE),18162,727
Jaguaribara(CE),11401,260
Jaguaribe(CE),34682,1253
Jaguaruana(CE),33705,831
Jardim(CE),27174,160
Jati(CE),8111,52
Jijoca de Jericoacoara(CE),19816,750
Juazeiro do Norte(CE),274207,14578
Jucás(CE),24833,419
Lavras da Mangabeira(CE),31508,404
Limoeiro do Norte(CE),59540,1465
Madalena(CE),19691,447
Maracanaú(CE),227886,6527
Maranguape(CE),128978,4661
Marco(CE),27361,442
Martinópole(CE),11233,187
Massapê(CE),38737,908
Mauriti(CE),47962,823
Meruoca(CE),15057,631
Milagres(CE),27512,300
Milhã(CE),13155,258
Miraíma(CE),13818,398
Missão Velha(CE),35393,768
Mombaça(CE),43797,942
Monsenhor Tabosa(CE),17234,258
Morada Nova(CE),61890,1664
Moraújo(CE),8724,484
Morrinhos(CE),22534,488
Mucambo(CE),14537,492
Mulungu(CE),10823,142
Nova Olinda(CE),15565,76
Nova Russas(CE),32328,619
Novo Oriente(CE),28607,370
Ocara(CE),25703,440
Orós(CE),21427,1071
Pacajus(CE),72203,1253
Pacatuba(CE),83432,1663
Pacoti(CE),12261,270
Pacujá(CE),6533,221
Palhano(CE),9386,95
Palmácia(CE),13322,230
Paracuru(CE),35076,832
Paraipaba(CE),32744,1043
Parambu(CE),31521,249
Paramoti(CE),12226,175
Pedra Branca(CE),43258,306
Penaforte(CE),9077,37
Pentecoste(CE),37751,727
Pereiro(CE),16307,259
Pindoretama(CE),20567,414
Piquet Carneiro(CE),16959,264
Pires Ferreira(CE),10951,215
Poranga(CE),12336,147
Porteiras(CE),14996,310
Potengi(CE),11045,121
Potiretama(CE),6419,100
Quiterianópolis(CE),21084,333
Quixadá(CE),87728,3500
Quixelô(CE),16178,832
Quixeramobim(CE),81082,2085
Quixeré(CE),22149,645
Redenção(CE),29053,1403
Reriutaba(CE),18491,499
Russas(CE),78194,2785
Saboeiro(CE),15819,51
Salitre(CE),16554,272
Santa Quitéria(CE),43703,1238
Santana do Acaraú(CE),32452,875
Santana do Cariri(CE),17700,185
Senador Pompeu(CE),25496,453
Senador Sá(CE),7623,403
Sobral(CE),208935,11461
Solonópole(CE),18324,520
São Benedito(CE),47903,890
São Gonçalo do Amarante(CE),48422,2282
São João do Jaguaribe(CE),7645,169
São Luís do Curu(CE),13000,141
Tabuleiro do Norte(CE),30697,916
Tamboril(CE),26251,234
Tarrafas(CE),8592,36
