"METRO_ID","Metropolitan areas","VAR","Variables","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AT002","Graz","POP_SHARE","Population of the metropolitan area as % of national value","2009","2009","PC","Percentage","0","units",,,7.21,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as % of national value","2010","2010","PC","Percentage","0","units",,,7.26,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as % of national value","2011","2011","PC","Percentage","0","units",,,7.31,,
"AT002","Graz","POP_SHARE","Population of the metropolitan area as % of national value","2012","2012","PC","Percentage","0","units",,,7.35,,
"AT003","Linz","POP","Total population metro area","2000","2000","PER","Persons","0","units",,,582430,,
"AT003","Linz","POP","Total population metro area","2001","2001","PER","Persons","0","units",,,584733,,
"AT003","Linz","POP","Total population metro area","2002","2002","PER","Persons","0","units",,,587056,,
"AT003","Linz","POP","Total population metro area","2003","2003","PER","Persons","0","units",,,589409,,
"AT003","Linz","POP","Total population metro area","2004","2004","PER","Persons","0","units",,,591786,,
"AT003","Linz","POP","Total population metro area","2005","2005","PER","Persons","0","units",,,594181,,
"AT003","Linz","POP","Total population metro area","2006","2006","PER","Persons","0","units",,,596596,,
"AT003","Linz","POP","Total population metro area","2007","2007","PER","Persons","0","units",,,599043,,
"AT003","Linz","POP","Total population metro area","2008","2008","PER","Persons","0","units",,,601505,,
"AT003","Linz","POP","Total population metro area","2009","2009","PER","Persons","0","units",,,604006,,
"AT003","Linz","POP","Total population metro area","2010","2010","PER","Persons","0","units",,,606514,,
"AT003","Linz","POP","Total population metro area","2011","2011","PER","Persons","0","units",,,609054,,
"AT003","Linz","POP","Total population metro area","2012","2012","PER","Persons","0","units",,,611622,,
"AT003","Linz","POP_CORE","Population of the core area","2000","2000","PER","Persons","0","units",,,182761,,
"AT003","Linz","POP_CORE","Population of the core area","2001","2001","PER","Persons","0","units",,,183504,,
"AT003","Linz","POP_CORE","Population of the core area","2002","2002","PER","Persons","0","units",,,184250,,
"AT003","Linz","POP_CORE","Population of the core area","2003","2003","PER","Persons","0","units",,,185000,,
"AT003","Linz","POP_CORE","Population of the core area","2004","2004","PER","Persons","0","units",,,185753,,
