SA2_MAINCODE_2016,SA2_5DIGITCODE_2016,SA2_NAME_2016,SUA_CODE_2016,SUA_NAME_2016,AREA_ALBERS_SQKM
501011002,51002,Busselton,5004,Busselton,196.2398
501011003,51003,Busselton Region,5004,Busselton,1227.0638
501011004,51004,Margaret River,5000,Not in any Significant Urban Area (WA),134.4277
501021005,51005,Australind - Leschenault,5003,Bunbury,67.3083
501021007,51007,Capel,5000,Not in any Significant Urban Area (WA),507.0606
501021008,51008,College Grove - Carey Park,5003,Bunbury,9.7141
501021009,51009,Collie,5000,Not in any Significant Urban Area (WA),1709.8149
501021010,51010,Dardanup,5000,Not in any Significant Urban Area (WA),517.0762
501021011,51011,Davenport,5003,Bunbury,11.7042
501021012,51012,Eaton - Pelican Point,5003,Bunbury,9.9522
501021014,51014,Harvey,5000,Not in any Significant Urban Area (WA),1660.633
501021015,51015,East Bunbury - Glen Iris,5003,Bunbury,22.9687
501021016,51016,Waroona,5000,Not in any Significant Urban Area (WA),832.2286
501021251,51251,Dalyellup,5003,Bunbury,16.3306
501021252,51252,Gelorup - Stratham,5003,Bunbury,65.254
501021253,51253,South Bunbury - Bunbury,5003,Bunbury,11.2504
501021254,51254,Withers - Usher,5003,Bunbury,8.2177
501031017,51017,Bridgetown - Boyup Brook,5000,Not in any Significant Urban Area (WA),4163.8196
501031018,51018,Donnybrook - Balingup,5000,Not in any Significant Urban Area (WA),1559.8561
501031019,51019,Manjimup,5000,Not in any Significant Urban Area (WA),323.8187
501031020,51020,Pemberton,5000,Not in any Significant Urban Area (WA),9641.0808
502011021,51021,Dawesville - Bouvard,5009,Perth,97.9248
502011022,51022,Falcon - Wannanup,5009,Perth,9.5893
502011023,51023,Greenfields,5009,Perth,9.9609
502011024,51024,Halls Head - Erskine,5009,Perth,14.2469
502011025,51025,Mandurah,5009,Perth,8.3954
502011026,51026,Mandurah - East,5009,Perth,40.2182
502011027,51027,Mandurah - North,5009,Perth,31.8412
502011028,51028,Mandurah - South,5009,Perth,11.8268
502011029,51029,Pinjarra,5009,Perth,808.8593
503011030,51030,City Beach,5009,Perth,9.8073
503011031,51031,Claremont (WA),5009,Perth,3.8719
503011032,51032,Cottesloe,5009,Perth,3.7511
503011033,51033,Floreat,5009,Perth,4.4196
503011034,51034,Mosman Park - Peppermint Grove,5009,Perth,5.4149
503011035,51035,Nedlands - Dalkeith - Crawley,5009,Perth,9.7499
503011036,51036,Swanbourne - Mount Claremont,5009,Perth,11.7008
503021037,51037,Kings Park (WA),5009,Perth,4.1819
503021038,51038,Mount Hawthorn - Leederville,5009,Perth,3.8983
503021039,51039,Mount Lawley - Inglewood,5009,Perth,7.0812
503021040,51040,North Perth,5009,Perth,3.0904
503021041,51041,Perth City,5009,Perth,10.9161
503021042,51042,Subiaco - Shenton Park,5009,Perth,7.7961
503021043,51043,Wembley - West Leederville - Glendalough,5009,Perth,6.5603
504011044,51044,Bassendean - Eden Hill - Ashfield,5009,Perth,10.3449
504011045,51045,Bayswater - Embleton - Bedford,5009,Perth,13.8115
504011046,51046,Maylands,5009,Perth,5.0165
504011047,51047,Morley,5009,Perth,10.5547
504011048,51048,Noranda,5009,Perth,4.9416
504021049,51049,Chidlow,5000,Not in any Significant Urban Area (WA),167.7411
504021050,51050,Glen Forrest - Darlington,5009,Perth,56.6584
504021051,51051,Helena Valley - Koongamia,5009,Perth,8.8361
504021052,51052,Malmalling - Reservoir,5000,Not in any Significant Urban Area (WA),318.3852
504021053,51053,Mundaring,5009,Perth,118.6696
504021054,51054,Swan View - Greenmount - Midvale,5009,Perth,15.1408
504031055,51055,Avon Valley National Park,5000,Not in any Significant Urban Area (WA),74.9605
504031056,51056,Ballajura,5009,Perth,23.8166
