City,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bayreuth,"24,500","25,000","25,000","24,400","24,600","24,900","25,900","27,000","27,700","28,400","29,300","30,900","32,100","32,600","33,900","35,100","36,600","38,300","38,600","39,200","38,700",:
Aschaffenburg,"26,100","28,000","28,300","29,000","28,800","30,000","32,100","33,700","32,900","31,600","33,000","36,400","36,400","36,500","37,300","37,700","39,800","40,600","41,500","42,600","40,900",:
Neubrandenburg,"17,100","17,600","17,800","18,700","19,300","19,000","20,200","21,100","21,200","21,400","21,900","22,700","23,400","24,300","25,100","25,200","25,600","27,500","27,400","29,100","29,600",:
Rosenheim,"22,700","23,100","23,500","23,300","24,200","24,600","25,800","26,800","27,900","27,400","28,300","30,300","31,100","31,900","33,200","33,800","34,700","35,500","36,700","38,400","37,600",:
Offenburg,"27,500","28,100","28,500","28,600","29,600","30,000","31,700","33,200","33,800","31,600","33,200","35,700","34,700","35,600","36,800","37,500","38,900","39,800","41,300","42,500","41,100",:
Gîrlitz,"12,500","12,900","13,900","14,200","14,900","15,300","16,300","18,400","18,700","19,100","20,100","21,100","22,000","22,700","23,600","24,300","24,900","26,000","27,400","28,900","28,600",:
Schweinfurt,"25,400","26,200","27,300","26,800","28,100","29,600","30,100","31,700","32,400","30,500","33,200","36,200","36,800","37,600","38,900","38,900","39,800","41,900","42,600","42,400","41,300",:
Wetzlar,"23,200","23,100","23,300","24,000","25,600","25,900","27,100","28,700","29,900","26,900","28,000","30,200","29,900","30,000","31,200","32,100","32,600","33,300","34,400","35,500","34,400",:
Braunschweig-Salzgitter-Wolfsburg,"31,900","32,900","31,700","32,200","32,600","34,500","35,800","38,600","40,100","37,100","41,800","45,600","46,000","46,500","49,100","45,900","55,800","55,100","58,600","62,000","57,300",:
Mannheim-Ludwigshafen,"31,800","32,300","33,600","34,100","35,200","35,100","36,000","37,600","38,500","36,300","38,900","40,000","40,400","41,200","41,700","43,600","44,100","45,300","46,000","46,400","44,900",:
MÅnster,"33,800","34,600","34,700","35,700","36,700","37,200","39,100","40,900","41,900","38,100","38,500","39,200","39,500","38,900","40,200","40,900","41,700","43,600","44,600","46,100","46,300",:
Aachen,"25,800","25,300","27,000","26,000","26,900","26,600","27,000","28,800","29,200","28,600","29,800","30,600","31,900","31,400","34,000","34,800","35,700","37,000","38,200","39,200","38,400",:
LÅbeck,"24,100","24,800","25,000","25,300","24,900","25,400","25,500","26,500","26,900","26,300","27,600","28,600","29,800","30,600","30,400","31,500","31,300","34,600","35,400","37,000","36,700",:
Oldenburg (Oldenburg),"23,700","24,500","24,500","23,800","24,600","24,600","25,900","27,000","27,400","27,200","28,100","29,500","29,900","30,700","31,900","32,200","33,000","34,300","35,400","36,900","37,100",:
Siegen,"23,200","23,500","23,000","23,600","24,200","24,900","26,700","28,300","29,700","27,600","28,700","30,900","31,100","31,500","32,600","33,500","34,200","35,500","36,500","36,900","35,300",:
