City,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Regensburg,5.5,14.83,29.28,33,23.55,46.06,31.88,40.76,41.16,62.09,45.42,54.56,69.11,86.07,66.53,87.41,97.83,76.46,86.35,142.93,187.27,218.28,220.91,266.22,240.89,236.2,251.47,285.86,269.05,270.34,303.24,310.9,315.58,391.62,327.11,308.94
Schwerin,:,:,:,:,:,:,:,:,:,:,4,:,:,:,:,:,:,5,:,:,7.66,5.73,12.2,7.95,20.97,7.79,16.6,22.93,5.33,13.74,8.82,12.23,9.68,15.87,9.1,6.96
Erfurt,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,9.91,:,13.42,22.11,27.86,22.93,27.32,48.66,43.62,55.11,52.02,65.27,73.29,57.37,51.35,67.22,69.53,62.96,54.52,61.4
Augsburg,:,27.6,61.33,64,45.45,68.98,86.63,76.73,89.03,92.96,98.74,113.85,115.24,138.37,138.51,155.2,139.83,136.28,117.3,132.25,174.57,176.31,192.8,201.09,199.93,211.92,190.12,246.91,248.47,224.28,289.89,213.06,190.26,225.75,212.01,165.01
Bonn,4.1,31.38,39.5,81.82,57.74,70.57,79.39,80.73,91.92,85.21,100.7,112.79,102.5,112.55,102.65,96.68,104.79,122.15,114.22,133.19,172.55,203.39,223.6,207.34,202.92,203.99,199.95,177.73,188.39,210.83,227.34,210.09,240.96,234.22,236.67,157.59
Karlsruhe,7.67,26.25,54.23,73.74,59.28,64.47,85.89,76.3,108.18,108.26,124.11,150.79,159.56,122.18,131.84,138.01,150.25,145.07,158.03,147.51,178.84,232.69,218.69,306.89,287.12,340.14,376.27,356.45,356.02,359.34,360.77,298.38,347.7,344.92,350.9,263.02
Mönchengladbach,1,3.83,13.25,12.78,13.87,8.48,11.25,18.57,6.62,28.15,36.22,43.43,43.37,31.95,41.91,36.12,34.13,32.27,32.15,43.3,54.11,58.78,56.08,54.48,45.36,68.57,46.83,38.19,34.14,28.18,33.71,38.47,41.3,44.64,27.25,41.7
Mainz,5.33,24.47,26.09,33.54,30.42,37.7,41.79,58.51,65.53,65.64,63.24,70.93,87.95,94.91,91.53,96.89,119.84,112.82,104.25,119.26,111.91,141.21,179.14,219.66,175.12,214.88,182.4,202.08,212.66,169.7,245.73,249.15,213.31,221.59,202.03,144.25
Ruhrgebiet,:,115.15,258.87,288.23,343.96,360,396.1,410.93,464.47,469.85,505.67,517.13,542.11,502.8,508.3,504.58,501.82,511.9,512.03,648.24,630.53,711.4,784.36,820.31,797.47,831.6,807.2,898.48,828.13,897.7,812.17,887.28,961.26,917.75,941.85,809.3
Kiel,:,4.17,16.8,14.49,39.33,29.75,29.17,39.89,28.58,30.96,35.83,46.21,32.83,43.91,29.42,30.37,33.82,37.4,44.76,37.35,52.73,70.73,60.76,94.58,79.84,71.4,102.82,99.61,68.69,84.74,108.22,116.93,116.57,114.29,119.91,91.12
Saarbrücken,:,24.49,22.51,16.95,22.9,13.17,20.33,31.86,44.11,40.49,40.37,41,56.74,37.76,46,58.56,61.09,70.23,65.07,69.52,91.12,91.17,111.34,104.32,104.01,126.48,123.62,122.15,131.7,132.84,127.44,112.21,146.24,126.83,109.45,103.69
Koblenz,:,:,3.95,10.5,8,10.16,:,18.33,14.9,19.87,18.55,23.75,33.53,20.76,13.7,17.05,21.81,31.86,24.69,26.93,33.86,36.44,53.6,30.82,54.2,46.54,43.55,34.07,50.45,41.16,44.45,36.34,55.1,52.3,49.51,35.06
Rostock,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5.14,:,5.25,2.95,5.01,6.18,6.52,15.13,18.13,:,17.86,15.76,19.21,19.11,25.44,23.49,40.51,35.93,37.96,34.04,34.64,32.83
Kaiserslautern,:,:,:,6.25,:,6.34,9.23,9.5,10.35,13.28,15.05,21.65,30.48,18.99,16.04,13.55,12.36,11.15,20.9,17.72,38.11,29.79,54.01,61.53,48.56,58.6,58.7,38.87,57.23,47.96,57.49,44.77,47.46,50.4,50.86,33.03
Iserlohn,1.67,7.83,17.08,33.25,36.43,46.83,49.28,48.43,59.68,63.19,59.52,60.38,62.19,83.52,74.05,85.79,79.82,68.03,63.39,103.5,100.77,101.59,114.76,101.57,113.42,85.29,92.38,114.53,99.92,117.8,114.98,98.27,151.48,121.07,111.02,95.52
Flensburg,:,:,:,:,:,4.5,6.25,:,4.2,4.33,:,:,:,3.5,6.5,5.83,6.17,4.9,4.33,8.67,12.5,15.42,13.17,9.58,7.24,14.95,18.17,14.67,6.33,12.78,18.25,16.93,24.59,17.73,29.96,6.17
