City,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Gîttingen,"9,364.58","9,533.14","9,656.14","9,895.51","10,459.45","10,593.92","11,074.13","11,843.42","11,653.99","11,022.21","11,498","12,268.52","12,250.74","12,481.48","12,956.95","13,022.01","13,587.74","13,975.97","14,285","14,259","14,074",:
Darmstadt,"11,040.23","11,808.49","12,177.83","12,239.17","12,926.50","12,936.48","13,268.21","13,760.54","14,167.19","13,569.86","14,423.68","15,493.77","15,608.80","15,793.12","16,389.62","16,808.41","18,200.93","19,073.09","19,417","19,843","19,809",:
Freiburg im Breisgau,"13,089.06","13,635.70","14,278.19","14,372.18","14,819.43","15,040.29","15,699.63","16,470.16","16,968.07","16,252.46","17,441.52","18,550.05","18,821.42","19,416.88","20,516.99","20,981.67","21,527.60","22,374.25","23,262","24,091","24,050",:
Regensburg,"10,631.29","10,762.26","11,030.63","11,708.79","12,546.49","12,723.66","13,309.37","14,506.16","15,069","13,810.59","15,811.18","16,799.77","16,770.65","17,096.40","18,169.86","18,573.93","19,079.08","20,440.52","20,369","20,566","20,265",:
Schwerin,"5,136.45","5,509.78","5,538.05","5,688.30","5,809.53","5,922.98","5,997.87","6,322.43","6,403.46","6,261.84","6,439.62","6,829.90","6,948.40","6,992.27","7,366.95","7,445.91","7,718.20","8,199.63","8,272","8,645","8,737",:
Erfurt,"9,621.58","9,958.76","10,084.06","10,497.96","11,046.58","11,066.26","11,616.50","12,047.13","12,163.85","11,767.45","12,387.31","13,251.86","13,270.79","13,997.03","14,717.55","14,864.25","15,236.82","15,621.04","15,943","16,328","16,095",:
Augsburg,"14,250.11","15,122.43","15,678.17","15,875.14","16,663.03","16,958.23","17,591.49","18,142.04","18,315.33","17,309.50","18,425.95","19,661.32","20,092.32","19,985.21","20,789.89","21,761.10","22,284.67","22,931.16","23,911","24,395","23,764",:
Bonn,"24,294.40","24,927.91","28,424.34","26,569.70","27,574.97","28,008.55","29,997.59","31,557.86","32,843.81","32,608.44","33,012.58","34,117.59","33,232.48","34,912.80","34,244.40","34,824.75","35,310.51","37,087.53","40,007","38,271","38,327",:
Karlsruhe,"20,212.41","21,150.59","21,471.21","21,764.64","23,060.03","23,609.35","25,333.30","26,685.22","27,598.79","25,934.11","27,374.13","28,431.56","28,715.44","28,666.74","30,466.27","31,566","32,119.01","33,437.21","34,865","35,138","34,057",:
Mînchengladbach,"5,346.34","5,828.58","5,739.51","5,667.29","5,805.38","5,894.61","6,043.27","6,631.68","6,622.04","6,290.48","6,544.75","6,861.37","7,057.56","7,024.92","7,294.95","7,550.56","7,805.21","8,181.85","8,235","8,219","8,074",:
Mainz,"11,194.44","11,485.59","11,454.79","11,440.18","11,785.14","12,368.02","12,706.55","13,420.56","13,862.38","14,021.31","14,724.60","15,296.28","15,956.98","16,096.68","16,532.35","16,805.50","17,454.98","17,718.30","18,279","18,505","18,640",:
Ruhrgebiet,"100,834.16","103,765.37","106,277.25","110,030.03","115,686.19","118,053.68","120,806.85","128,232.53","134,977.87","127,715.77","132,813.89","138,612.07","136,860.75","136,637.51","141,194.33","142,310.99","144,738.37","149,873.24","156,312","156,691","153,348",:
Kiel,"13,466.53","14,132.62","13,988.09","14,656.19","14,683.63","14,855.23","15,350.57","15,633.10","16,482.69","15,950.25","16,163.26","17,272.85","17,793.47","17,969.64","18,458.27","18,420.06","18,968.19","20,049.96","20,610","21,306","21,224",:
SaarbrÅcken,"18,941.42","19,600.67","19,708.95","20,356.18","21,784.13","22,984.06","24,031.75","25,346.67","25,643.45","22,579.17","24,038.66","25,825.41","25,692.84","25,276.16","26,587.81","27,047.95","27,102.74","27,617.83","27,982","27,423","26,337",:
Koblenz,"8,721.78","8,807.75","9,194.27","9,695.24","10,134.49","10,144.33","10,410.06","10,634.06","10,747.34","10,284.76","10,654.27","11,322.77","11,511.87","11,891.95","12,223.04","12,512.30","12,709.18","13,176.62","13,321","13,585","13,455",:
Rostock,"7,342.24","7,270.35","7,408.03","7,441.95","7,693.79","7,764.53","7,923.17","8,414.44","8,838.74","8,669.02","9,342.64","9,766.13","9,712.64","10,154.10","10,814.96","10,855.35","11,093.76","12,098.49","11,973","12,840","12,388",:
Kaiserslautern,"5,152.16","5,164.97","5,278.33","5,575.72","5,787.09","5,599.21","5,770.26","5,957.36","6,175.77","5,866.46","6,159.53","6,440.99","6,406.23","6,465.78","6,933.55","7,137.20","7,413.59","7,400.40","7,611","7,702","7,576",:
Iserlohn,"9,910.43","9,993.18","10,000.23","10,089.14","10,462.13","10,715.35","11,279.94","11,651.27","11,965.59","10,802.15","11,546.28","12,223.93","12,339.64","12,675.03","12,880.36","13,413.27","13,489.45","13,974.35","14,082","13,837","13,241",:
Flensburg,"5,326.40","5,421.84","5,486.11","5,704.44","5,981.13","5,976.28","6,184.53","6,382.85","6,584.14","6,390.11","6,515.83","6,731.47","6,891.35","6,988.74","7,281.83","7,405.69","7,590","8,117.60","8,305","8,628","8,581",:
Konstanz,"5,346.41","5,737.38","5,590.29","5,923.90","5,950.53","6,234.59","6,664.84","7,123.47","7,312.36","6,907.44","7,161.78","7,453.83","7,673.99","8,095.05","8,293.17","8,362.06","8,700.36","8,936.33","9,225","9,416","9,660",:
Gie·en,"6,008.92","6,329.67","6,442.21","6,643.28","6,838.37","6,835.49","7,082.75","7,453.80","7,614.91","6,891.48","7,189.10","7,465.50","7,464.83","7,472.81","7,927.69","8,068.58","8,488.31","8,707.08","9,017","9,122","9,026",:
Bayreuth,"5,629.49","5,808.40","5,841.72","5,831.27","5,973.96","6,051.14","6,243.88","6,508.61","6,659.10","6,662.09","6,919.83","7,300.09","7,512.91","7,580.21","7,864.14","8,070.88","8,408.27","8,799.92","8,889","8,884","8,734",:
Aschaffenburg,"8,544.79","9,294.95","9,510.10","9,964.25","10,086.53","10,553.52","11,231.89","11,844.39","11,562.33","10,902.98","11,469.73","12,656.96","12,558.08","12,531.76","12,814.26","12,893.53","13,649.72","13,933.29","14,259","14,432","13,829",:
Neubrandenburg,"4,640.03","4,782.45","4,794.97","5,094.06","5,268.92","5,150.14","5,398.56","5,589.74","5,548.79","5,446.54","5,545.76","5,739.15","5,837.20","5,948.39","6,121.63","6,097.21","6,188.37","6,625.55","6,555","6,828","6,893",:
Rosenheim,"5,788.41","6,016.98","6,257.76","6,355.39","6,759.19","6,924.62","7,290.58","7,606.85","7,970.85","7,691.60","8,059.71","8,695.60","8,937.37","9,168.72","9,634.99","9,852.34","10,221.80","10,523.05","10,942","11,284","11,054",:
Offenburg,"9,771.86","10,133.03","10,417.33","10,711.16","11,324.33","11,543.18","12,197.14","12,888.01","13,135.77","12,081.26","12,812.15","13,824.59","13,380.78","13,651.04","14,185.15","14,477.53","15,147.01","15,576.68","16,301","16,546","16,025",:
Gîrlitz,"3,549.59","3,645.55","3,880.06","3,969.58","4,180.54","4,259.46","4,434.19","4,949.27","4,977.07","4,938.62","5,174.52","5,372.67","5,496.84","5,558.11","5,742.04","5,834.29","5,957.99","6,165.17","6,451","6,640","6,512",:
Schweinfurt,"6,255.14","6,523.82","6,857.56","6,882.03","7,317.27","7,719.05","7,812.50","8,215.06","8,384.30","7,709.57","8,431.47","9,209.01","9,267.93","9,374.55","9,715.79","9,665.94","9,917.16","10,474.92","10,691","10,470","10,162",:
Wetzlar,"5,370.34","5,402.80","5,495.53","5,769.19","6,252.18","6,359.63","6,613.30","7,012.06","7,283.75","6,420.87","6,693.63","7,220.68","7,087.15","7,022.95","7,298.51","7,487.15","7,638.59","7,802.62","8,061","8,160","7,876",:
Braunschweig-Salzgitter-Wolfsburg,"28,143.58","29,361","28,466.52","29,587.58","30,473.60","32,303.59","33,340.79","35,942.17","37,276.49","33,807.47","38,414.10","42,051.64","42,171.66","42,338.24","44,937.15","41,955.97","51,258.78","50,704.40","53,867","56,179","51,753",:
Mannheim-Ludwigshafen,"32,129.03","32,985.93","34,586.99","35,841.35","37,694.42","37,699.92","38,638.91","40,512.16","41,552.50","38,404.64","41,485.12","42,906.81","43,269.58","43,990.39","44,833.49","46,945.04","47,844.52","49,387.24","50,304","50,112","48,450",:
MÅnster,"14,218.84","14,798.51","15,106.29","15,921.39","16,753.78","17,108.19","18,008.97","18,994.12","19,534.15","17,491.20","17,925.12","18,612.32","18,909.97","18,584.40","19,333.94","19,776.02","20,388.94","21,379.15","21,930","22,372","22,438",:
Aachen,"12,230.66","12,147.62","13,074.85","12,974.64","13,802.85","13,698.84","13,870.86","14,867.44","15,105.68","14,480.53","15,156.76","15,626.72","16,239.36","15,907","17,322.71","17,716.04","18,232.95","18,864.61","19,518","19,763","19,334",:
