City,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Vigo,:,18,19.7,19.9,17.8,19,19.7,20.8,20.7,20.9,23,22.2,20.5,20.9
Santa Cruz de Tenerife,:,23.1,23.8,23,22.1,22.3,23.8,25,26.8,25.7,25.2,26.6,27.5,27.6
A Coruña,:,19.3,20.2,20,19.3,19.6,20.6,21,20.6,22.7,22.6,21.9,22.3,22
Granada,:,18,18.9,21.1,20.2,20,19.5,19.6,20.5,21.2,20.2,21.5,20.2,20.7
Guipúzcoa,:,21,22.4,21.8,21.1,19.9,22.6,23.2,21.8,21.8,21.4,20,20,20.8
Cádiz,:,17.9,19.3,18.6,17.1,17.9,20.5,20.6,20.5,22.9,21.9,22.6,21,21.2
Paris,:,33.6,33.5,33.3,33.2,33.1,32.9,32.7,32.3,:,:,:,28.5,28.4
Lyon,:,:,:,:,:,36.6,36.4,36.2,35.9,:,:,:,35,32.6
Toulouse,:,:,:,:,:,38.1,37.8,37.4,37.1,:,:,:,35.7,36.9
Strasbourg,:,:,:,:,:,46.1,45.9,45.7,45.5,:,:,:,45.5,42.5
Bordeaux,:,:,:,:,:,44.1,44,43.7,43.3,:,:,:,41.3,39.7
Nantes,:,:,:,:,:,46.6,46.1,45.8,45.3,:,:,:,41.7,41.1
Lille - Dunkerque - Valenciennes,:,:,:,:,:,42.7,43,43.2,43.4,:,:,:,42.9,43.8
Montpellier,:,:,:,:,:,41.5,41.5,41.6,41.5,:,:,:,37.1,34.5
Saint-Etienne,:,:,:,:,:,48,48.3,48.5,48.8,:,:,:,46.3,47.2
Rennes,:,:,:,:,:,45.4,45.3,45.3,44.9,:,:,:,41.8,41.2
Amiens,:,:,:,:,:,44.3,44.9,45.5,46.1,:,:,:,35.6,41.7
Rouen,:,:,:,:,:,46.6,47.1,47.4,47.7,:,:,:,48.7,46.7
Nancy,:,:,:,:,:,46.5,46.7,46.9,47,:,:,:,44.2,45.3
Reims,:,:,:,:,:,45.2,45.6,46.2,46.4,:,:,:,45.7,49.9
Orléans,:,:,:,:,:,45.8,45.9,46.1,46,:,:,:,51,49.9
Dijon,:,:,:,:,:,46,46.2,46.2,46.1,:,:,:,42,46.3
Poitiers,:,:,:,:,:,47.7,48.1,48.4,48.7,:,:,:,43.3,43.9
Clermont-Ferrand,:,:,:,:,:,46.6,46.8,46.8,47,:,:,:,52.2,49.5
Caen,:,:,:,:,:,45.8,46.2,46.5,47.1,:,:,:,40,44.2
Limoges,:,:,:,:,:,47.3,47.6,47.8,48,:,:,:,42.9,43.7
Besançon,:,:,:,:,:,45.6,45.8,45.9,46.3,:,:,:,49.2,47.5
Grenoble,:,:,:,:,:,41.7,41.8,41.9,41.9,:,:,:,39,41.3
Fort-de-France,:,:,:,:,:,40.3,41.3,42.3,43.1,:,:,:,41.4,41.7
Tours,:,:,:,:,:,46.4,46.5,46.6,46.7,:,:,:,46.3,50.5
Angers,:,:,:,:,:,47.7,47.9,48,48.2,:,:,:,44.8,45
Brest,:,:,:,:,:,50.9,50.9,50.7,50.7,:,:,:,48.6,46.3
Le Mans,:,:,:,:,:,50.1,50.5,50.8,51.2,:,:,:,54.1,49.9
Mulhouse,:,:,:,:,:,48.9,49.1,49.2,49.3,:,:,:,47.2,46
Perpignan,:,:,:,:,:,47.5,47.7,48.1,48.5,:,:,:,51.8,50.6
Nimes,:,:,:,:,:,45.4,45.7,46.1,46.4,:,:,:,43.2,50.4
Pau,:,:,:,:,:,49.2,49.1,48.9,48.6,:,:,:,52.4,49.8
Annecy (FR) / Genève (CH),:,:,:,:,:,44.8,44.9,44.7,44.5,:,:,:,40.7,40.9
Marseille,:,:,:,:,:,42.4,42.5,42.6,42.6,:,:,:,39.8,40.8
Nice,:,:,:,:,:,41,41,41,41,:,:,:,37.9,37.7
Les Abymes,:,:,:,:,:,:,:,42.1,42.8,:,:,:,39.4,41.4
Zagreb,:,:,:,:,:,:,:,:,:,:,:,:,56.9,56.4
Split,:,:,:,:,:,:,:,:,:,:,:,:,66.8,66.3
Roma,:,47.4,48,48.5,48.1,46.9,46.5,46.4,44.7,44.3,43.6,43,44.4,44.9
Milano,:,43.6,45.3,46.1,45.3,45.4,44.8,44.5,43.9,43.8,42.8,43,42.8,43.3
Napoli,:,28.6,30.4,31.6,33.7,34.1,33.8,34.1,33.8,34.3,34.6,34.9,33.2,33.3
Torino,:,44.2,45.5,43.4,43.5,44.6,45.5,44.5,43.8,44.7,45.6,44.1,44.5,44.9
Palermo,:,31.1,31.3,32.3,31.8,33,33.6,34.2,33.4,35.3,35.4,36.8,35.9,35.1
Genova,:,45,46.3,44.9,43.1,44.5,45,43.4,45.3,46.5,47.9,47.8,47.7,48
Firenze,:,41.8,38.5,37.8,40.1,44,44.3,42,43.7,44,44.2,43.7,44.9,44.5
Bari,:,34.8,36.8,36.2,36.2,37.3,37.9,36.6,36.3,36.7,38,40.1,37.7,36.8
Bologna,:,45.3,43.5,44.9,45.2,44.2,43.5,43.8,47.2,45.3,45,45.7,44.8,45
Catania,:,34.4,34.5,34.7,34.3,36.3,37.2,36.6,34.5,36.4,38.3,37.2,36.9,36
Venezia,:,41.5,40.7,46.5,45.1,44,45.9,48.7,43.7,43,44.6,44.3,44.9,45.4
Verona,:,48.5,47.1,47.8,49.7,51.5,49.6,51.8,50.8,50.3,49.8,49.3,49.6,48.8
Perugia,:,:,:,:,:,:,:,47.8,47,47.5,48.6,49.3,49.4,49.1
Taranto,:,34.7,35.4,32.7,35.1,33.8,32.8,34.5,38.5,36,33,35.2,36,37.4
Cagliari,:,35.2,35.1,33.1,33.3,34.2,35.9,35.6,35.1,32.4,33.2,37.3,36.4,36.4
Padova,:,40.9,43.7,43.3,41.3,43.3,44.1,43.5,44.7,45.3,44.3,45.2,45.1,44.4
Brescia,:,36.3,36.6,38.3,40.6,42.3,41,40.1,41,42.4,41.6,44.4,46.6,47
Messina,:,38.4,39.4,41.1,39.7,38.8,41,42.2,42.6,41.2,39.6,39.8,40.6,40.5
Prato,:,38.4,36.6,32.8,33.9,36.8,36,37.4,38.6,35.9,35.4,37.7,38.9,40
Parma,:,42.2,42.7,42.1,45.5,47.4,43.3,43.9,45.3,46,46.5,45.2,43.9,45.9
Reggio nell Emilia,:,44,43,45.3,46.2,44.9,45.7,48.1,46.4,46.6,46.7,47.1,46.5,45.4
Bergamo,:,38.5,38.8,38.5,40.4,40.5,40.3,40.7,41.1,39.4,39,37.9,41.8,40.1
Lefkosia,38.2,38.4,37.4,38.2,39.3,37.3,37.5,37.6,38.6,38.1,37.7,38.3,37.6,37
Riga,57.2,58.2,56.8,55.8,53.9,55.5,53.8,52.2,51.2,52.7,50.8,47.5,47,46.9
Vilnius,51.4,50,50.2,50.4,50.4,48.3,45.9,45.1,44.5,42.6,41,39,37,35.7
Kaunas,57.1,54.8,54.9,54.9,54.9,54.6,53.9,53.2,53.2,51,48.2,49,47.6,44.3
Luxembourg,42.5,42.2,40.2,39.2,39.8,36,34.9,35.8,36.4,34.5,32.3,31.4,29.8,29.4
Budapest,:,:,:,:,55.8,54.2,52.8,54.4,54.3,52.2,52.1,50.1,47,47.6
Miskolc,:,61.2,60.8,61,59.6,60.9,59.7,59.1,60,60.2,61.6,61,57.9,58.9
Pécs,:,62.3,62.6,59.9,58.5,61.1,60.7,57.1,59.7,62.2,59.7,58.8,60.4,59.1
Debrecen,:,60.8,59.7,57.1,58.9,58.1,60.2,57.8,58.4,61,59.2,59.7,57.7,59.1
Székesfehérvár,:,62.2,60.7,61.3,61.6,62.5,60.2,59.4,59.6,60.6,60.8,62.2,61.1,60.8
Valletta,:,:,19.3,20.4,22,23.2,24.8,26.6,27.2,27.2,26.8,27.3,31.5,34.2
s' Gravenhage,:,:,35.9,35.5,36,38.1,35.1,36.6,35.9,36.4,34.9,31.5,30.4,30.8
Amsterdam,:,:,:,:,:,:,:,:,:,38.1,35.3,35,33.9,33.1
Rotterdam,:,:,:,:,:,:,:,:,:,40.8,39.8,39.4,37.5,37.5
Utrecht,:,:,34.7,35,37.2,35.9,34,34.9,35.3,33.5,31.9,30.7,33,29.9
Eindhoven,:,:,39.9,39.4,42.1,40.2,40.6,39.4,40.9,40,38.4,35.9,38.4,33.1
Tilburg,:,:,41.1,40.2,43.2,41.5,41.9,37.9,40,42.2,42.7,41.8,46.4,40.7
Groningen,:,:,39.3,39.1,40.7,41.4,40.2,38.8,40.4,41.6,40.9,39.1,36.7,37.6
Enschede,:,:,43.9,43.7,44,43.8,44.9,46.1,46,44.6,43.3,42.9,39,38.5
Arnhem - Nijmegen,:,:,39.2,37.9,39,38.1,40.2,39.2,38.4,37.5,36.6,36.4,34.8,34.8
Breda,:,:,42.2,41.4,40.5,41,42.9,43,43.9,43.5,42.8,41.2,40.6,39.1
Leeuwarden,:,:,:,:,:,:,:,:,:,44.3,44.5,45.8,44.9,47.8
Leiden,:,:,36.8,36.6,36.3,37.6,38,37.2,37.9,38.8,35.4,35,29.6,32.7
Zwolle,:,:,43.5,44.7,42.1,46,47.5,44,44.4,46.6,46.3,41.3,42,41
Wien,:,:,:,:,:,:,:,:,:,:,:,:,42.3,41.9
Graz,:,:,:,:,:,:,:,:,:,:,:,:,50.8,48.4
Linz,:,:,:,:,:,:,:,:,:,:,:,:,53.5,51.8
Salzburg,:,:,:,:,:,:,:,:,:,:,:,:,51.9,51.4
Innsbruck,:,:,:,:,:,:,:,:,:,:,:,:,46.2,46.2
Warszawa,:,:,:,:,:,:,:,:,42.4,40.9,40.4,40.2,39.1,40
Lódz,:,:,:,:,:,:,:,:,58.2,57.3,56.2,54.9,53.1,53.2
Kraków,:,:,:,61,59.3,57.9,56.1,53.2,49.6,48.1,48,48.4,43.2,45.5
Wroclaw,:,:,:,55.1,52.4,50,48.1,47.2,45.9,44,42,40.1,36,37.6
Poznan,:,:,:,61,60.4,58.6,57.2,56,54.9,53.1,51.5,50.9,52.1,48.6
Gdansk,:,:,:,60.5,58.9,57.8,57,55.8,54.4,53.4,52.4,51.2,49.8,47.7
Szczecin,:,:,:,58.5,57.2,55.2,54.3,54.6,54.8,53.6,51.6,50.6,52.3,49.3
Bydgoszcz - Torún,:,:,:,64.8,63.8,63.6,63.4,62.5,60.6,58.9,57.3,55.7,52.3,54.9
Lublin,:,:,:,:,:,:,:,:,57.1,56.8,55.4,53.2,49.9,55.1
Katowice,:,:,:,69.9,69,68.6,68.1,66.9,65.6,64.3,63.5,63.2,61.3,61
Bialystok,:,:,:,:,:,:,:,:,55.2,53.4,52.2,52.7,53.2,50.3
Kielce,:,:,:,:,:,:,:,:,59.8,59.1,59.3,59,59.8,58.8
Olsztyn,:,:,:,60.9,60.9,60.9,60.2,59,57.8,57,56.7,56.7,57.6,56.7
Rzeszów,:,:,:,:,:,:,:,:,61,60.2,59.2,59.1,55.9,55.5
Opole,:,:,:,69.3,68.7,67.1,65.7,65.2,64.8,65,65,64.8,64.4,63.6
Czestochowa,:,:,:,66.2,66.8,66.5,65.7,65.6,66,65.9,65,64.4,63.8,63.2
Radom,:,:,:,:,:,:,:,:,66,66.9,66.3,65.5,60.8,61.4
Bielsko-Biala,:,:,:,71,70.5,70,69.7,69.1,69.3,68.7,67.4,65.4,65.2,60.5
Tarnów,:,:,:,69.9,69.7,71,71.6,72.1,72.1,71.9,68.5,66.4,65.9,67
Lisboa,:,:,:,:,:,25.7,26.3,27.3,27.6,28.7,29.3,30.4,30.9,30.2
Porto,:,:,:,:,:,20.5,21,20.9,21.6,22.9,24.1,25.5,26.9,26.1
Coimbra,:,:,:,:,:,21.2,21.1,19.7,19.8,21.1,22.7,20.8,25.2,28.7
Bucuresti,:,:,:,:,:,52.6,51.6,52.3,52.2,51.2,50.4,49.9,51.2,51.6
Cluj-Napoca,:,:,:,:,:,61.2,59.9,59.2,60.7,62.3,63.2,63.1,67.4,70
Timisoara,:,:,:,:,:,66.6,68.9,72.1,75.3,76.4,76.9,76.6,72.8,67
Craiova,:,:,:,:,:,53.6,55.6,58.5,60.2,60.2,59.6,59.7,60.1,61.7
