"Gross domestic product (GDP) by metropolitan area (millions of current dollars)"
"Levels" 
"Bureau of Economic Analysis" 
"All industry total"
"33340","Milwaukee-Waukesha-West Allis, WI (Metropolitan Statistical Area)",87251
"33460","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",200702
"33540","Missoula, MT (Metropolitan Statistical Area)",4447
"33660","Mobile, AL (Metropolitan Statistical Area)",16849
"33700","Modesto, CA (Metropolitan Statistical Area)",15758
"33740","Monroe, LA (Metropolitan Statistical Area)",6476
"33780","Monroe, MI (Metropolitan Statistical Area)",3936
"33860","Montgomery, AL (Metropolitan Statistical Area)",15455
"34060","Morgantown, WV (Metropolitan Statistical Area)",6423
"34100","Morristown, TN (Metropolitan Statistical Area)",3298
"34580","Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",5320
"34620","Muncie, IN (Metropolitan Statistical Area)",3361
"34740","Muskegon, MI (Metropolitan Statistical Area)",4815
"34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",13484
"34900","Napa, CA (Metropolitan Statistical Area)",7013
"34940","Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)",12374
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",85201
"35100","New Bern, NC (Metropolitan Statistical Area)",4677
"35300","New Haven-Milford, CT (Metropolitan Statistical Area)",41283
"35380","New Orleans-Metairie, LA (Metropolitan Statistical Area)",78393
"35620","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",1338889
"35660","Niles-Benton Harbor, MI (Metropolitan Statistical Area)",5954
"35840","North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",23355
"35980","Norwich-New London, CT (Metropolitan Statistical Area)",15979
"36100","Ocala, FL (Metropolitan Statistical Area)",6935
"36140","Ocean City, NJ (Metropolitan Statistical Area)",4266
"36220","Odessa, TX (Metropolitan Statistical Area)",5975
"36260","Ogden-Clearfield, UT (Metropolitan Statistical Area)",20788
"36420","Oklahoma City, OK (Metropolitan Statistical Area)",60343
"36500","Olympia-Tumwater, WA (Metropolitan Statistical Area)",9182
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",47672
"36740","Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",101196
"36780","Oshkosh-Neenah, WI (Metropolitan Statistical Area)",8290
"36980","Owensboro, KY (Metropolitan Statistical Area)",4558
"37100","Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",39806
"37340","Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",18459
"37460","Panama City, FL (Metropolitan Statistical Area)",7144
"37620","Parkersburg-Vienna, WV (Metropolitan Statistical Area)",3252
"37860","Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",14196
"37900","Peoria, IL (Metropolitan Statistical Area)",17937
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",354528
"38060","Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)",183248
"38220","Pine Bluff, AR (Metropolitan Statistical Area)",3177
"38300","Pittsburgh, PA (Metropolitan Statistical Area)",116565
"38340","Pittsfield, MA (Metropolitan Statistical Area)",5225
"38540","Pocatello, ID (Metropolitan Statistical Area)",2396
"38860","Portland-South Portland, ME (Metropolitan Statistical Area)",25858
"38900","Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",140787
"38940","Port St. Lucie, FL (Metropolitan Statistical Area)",11136
"39140","Prescott, AZ (Metropolitan Statistical Area)",4445
"39300","Providence-Warwick, RI-MA (Metropolitan Statistical Area)",67508
"39340","Provo-Orem, UT (Metropolitan Statistical Area)",15432
"39380","Pueblo, CO (Metropolitan Statistical Area)",4180
"39460","Punta Gorda, FL (Metropolitan Statistical Area)",3136
"39540","Racine, WI (Metropolitan Statistical Area)",7123
"39580","Raleigh, NC (Metropolitan Statistical Area)",59377
"39660","Rapid City, SD (Metropolitan Statistical Area)",5435
"39740","Reading, PA (Metropolitan Statistical Area)",15005
"39820","Redding, CA (Metropolitan Statistical Area)",5024
"39900","Reno, NV (Metropolitan Statistical Area)",19144
"40060","Richmond, VA (Metropolitan Statistical Area)",62157
"40140","Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",113648
"40220","Roanoke, VA (Metropolitan Statistical Area)",12905
"40340","Rochester, MN (Metropolitan Statistical Area)",9795
"40380","Rochester, NY (Metropolitan Statistical Area)",48739
"40420","Rockford, IL (Metropolitan Statistical Area)",12502
"40580","Rocky Mount, NC (Metropolitan Statistical Area)",6277
"40660","Rome, GA (Metropolitan Statistical Area)",3236
"40900","Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)",95816
"40980","Saginaw, MI (Metropolitan Statistical Area)",6973
"41060","St. Cloud, MN (Metropolitan Statistical Area)",7580
"41100","St. George, UT (Metropolitan Statistical Area)",3490
"41140","St. Joseph, MO-KS (Metropolitan Statistical Area)",4848
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)",135138
"41420","Salem, OR (Metropolitan Statistical Area)",12444
"41500","Salinas, CA (Metropolitan Statistical Area)",18132
"41540","Salisbury, MD-DE (Metropolitan Statistical Area)",13337
"41620","Salt Lake City, UT (Metropolitan Statistical Area)",64383
"41660","San Angelo, TX (Metropolitan Statistical Area)",3811
"41700","San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",81529
"41740","San Diego-Carlsbad, CA (Metropolitan Statistical Area)",175201
"41860","San Francisco-Oakland-Hayward, CA (Metropolitan Statistical Area)",334610
"41940","San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",165201
