ClusterID	AllPeople	d_Work	AgricultHF	Manufact	Construct	HotelRest	FinanceInt	RealEstate	Admin	Education	Income	NetIncome	NIncBH	NIncAH	Households	CarsVans	Dwellings	OccuDwell	UnDwell	UnSecDwell	Employed	Managers	Profess	technical	Admin2	SkillTrd	Service	Sales	plant	Basic	Coach	Train	Patents	Morphology
136	6538	16.58	24	279	144	152	122	775	122	299	2095470	1603940	1526330	1371110	2587	3969	2737	2585	152	21	3064	789	475	476	376	257	190	178	89	234	0	0	10	1
137	14699	36.66	58	642	577	311	168	514	302	458	3044280	2522940	2547780	2149770	6672	6429	7044	6669	375	75	5878	762	425	644	726	890	674	495	513	749	2	1	4	2
138	35531	71.03	120	2301	929	535	856	5043	816	1697	12630480	10146630	8734180	7542870	14109	22224	14308	14105	203	21	19416	4893	3526	2933	2737	1287	1048	1189	635	1168	0	1	115	5
139	203782	288.67	598	12891	9710	3477	6137	10762	6009	6663	45085030	37190650	32195500	28637570	81195	94640	83523	81190	2333	93	96601	12486	7944	12098	14746	12235	6876	8064	8988	13164	209	3	84	17
140	3640	14.51	35	211	181	108	51	219	55	184	783500	642470	611130	501440	1567	1838	1618	1567	51	5	1819	269	181	224	169	261	171	137	122	285	0	0	9	1000
141	38438	73.93	72	2075	1239	784	733	1378	1202	1011	6194360	5400900	4898520	4187110	15771	15482	16402	15771	631	19	15795	1796	1016	2083	2363	2049	1410	1557	1383	2138	0	1	13	6
142	60091	102.55	299	3847	2086	1363	1075	7574	1229	1748	17100450	13513920	12116580	10384460	24739	32468	25188	24739	449	54	33143	5858	4059	4611	5131	3383	2153	2470	1836	3642	0	2	97	9
143	6963	15.83	18	410	168	128	452	568	250	310	1784210	1411390	1224980	1091830	2663	4252	2679	2663	16	3	3715	777	468	602	660	252	223	311	163	259	1	0	0	1
144	120816	328.63	567	6521	4064	2600	972	4167	2324	4518	23893800	20338400	19203780	16802990	52662	50395	56595	52673	3922	890	46495	6081	4184	5648	5595	5928	5211	3957	3840	6051	19	6	94	22
145	13789	96.56	84	1563	459	207	203	761	505	501	2887870	2337520	2132000	1838670	5619	7016	5818	5616	202	19	6809	998	633	846	766	899	436	471	923	837	2	0	11	6
146	15209	80.31	63	984	449	241	501	1084	334	538	3454760	2864190	2645690	2358650	6434	8357	6622	6437	185	34	7420	1262	810	1085	1052	794	512	627	520	758	2	0	30	5
147	1316	16.41	5	93	78	21	93	119	65	22	468120	360960	349680	259440	564	780	574	564	10	0	835	134	72	154	141	113	35	57	56	73	0	0	0	1
148	5751	13.13	18	501	221	116	29	224	162	124	978670	859320	811580	668360	2387	2008	2531	2385	146	7	2316	173	113	211	273	325	207	174	343	497	6	0	3	1
149	27828	148.42	150	2819	850	513	467	1707	1261	933	6374470	5056820	4526680	3914390	11363	13705	11678	11363	315	35	13926	2280	1594	1712	1783	1455	821	1221	1439	1621	4	1	86	10
150	3433	11.43	19	210	128	118	91	190	84	119	729500	598190	539830	466880	1459	1766	1489	1459	30	0	1718	217	149	244	233	214	132	116	165	248	0	0	2	1
151	5421	16.62	20	314	125	66	159	825	111	264	2030180	1589900	1418680	1320840	2446	3452	2540	2446	94	16	3012	720	626	517	420	183	133	167	99	147	0	1	3	1000
