City,2015,2016,2017,2018,2019,2021,2022
33100,1304184,1308385,1330809,1320573,,,
33140,32687,34573,34465,35516,35343,34894,34243
33220,21433,18394,18939,19559,18285,17251,17028
33260,33402,34356,35548,31690,31434,24621,35261
33340,318459,327081,337559,331376,,,
33460,601339,604822,615330,606421,618285,606446,608226
33540,23421,22558,20087,19850,22737,21721,20987
33660,102930,103868,111311,110700,119052,120963,114900
33700,117207,116044,123456,127767,128487,119876,130550
33740,42706,50802,47530,48074,51200,52689,52360
33780,42515,40557,44441,40499,38365,40616,44321
33860,83751,85437,86537,86976,84850,96223,93692
34060,36859,39102,34365,35584,31358,35856,36216
34100,36701,36466,33794,36115,41579,41841,46397
34580,26746,26074,26161,27370,27244,27241,29315
34620,31923,30319,28675,28721,31002,28786,31342
34740,46661,47176,45156,45871,46781,53018,50884
34820,112043,115792,127809,125204,129493,127734,135876
34900,22131,20700,21349,22485,23373,20623,21972
34940,80408,81717,85204,78101,,,
34980,400678,393289,404221,407155,390656,415122,419806
35100,29447,27528,25661,28632,33184,27616,29345
35300,205991,210183,215961,219638,213623,195931,201370
35380,283224,281913,283509,287737,280961,270122,253927
35620,4013433,3963933,4022936,3881607,3756584,3707963,3672124
35660,34392,32716,36767,32995,,,
35840,202321,207444,199937,206354,205503,199281,206150
35980,68804,67863,62913,66224,63208,66196,64809
36100,105218,111819,102102,115345,110737,115986,110022
36140,25262,25077,24985,23139,27332,22882,26328
36220,34421,35472,33829,32566,36194,38883,30179
36260,122386,119945,121899,122998,127610,137905,135219
36420,284393,282883,287851,294533,299926,302561,303115
36500,51557,47013,48497,51295,,,
36540,169151,175585,168597,172074,178818,170319,165634
36740,505896,499292,495334,533962,532263,559642,556002
36780,42673,45608,46800,43803,44352,42744,47900
36980,33479,29146,33108,33013,31187,31534,36228
37100,125109,129668,134586,139677,146234,135941,131547
37340,136752,135149,134340,140280,139433,143236,131570
37460,49388,51275,50202,54337,41880,37436,42052
37620,26875,23445,24590,26434,25866,26975,26214
37860,106096,103006,107018,110224,117628,115159,113973
37900,88897,85327,82811,87135,95993,85788,92408
37980,1406561,1409538,1443499,1419870,1383387,1329793,1356704
38060,839710,854251,897604,896865,,,
38220,30479,28016,28935,31734,29859,28659,28705
38300,639994,616229,611407,612276,596501,602096,610155
38340,29841,31980,31876,31376,30654,29285,30902
38540,16465,16796,18210,17036,19517,20118,20498
38660,80574,75421,79313,74273,54382,48780,52758
38860,119324,114939,110258,109905,117229,109752,114181
38900,397114,399817,406574,417046,430307,424847,441075
38940,114403,118362,123641,113752,123308,115326,121340
39140,48500,53054,49409,50619,,,
39300,370296,366600,393008,391163,385704,391680,378537
39340,74579,77016,75216,81531,89423,89856,98001
39380,36866,37345,39201,38683,37960,38160,42302
39460,58711,51670,55866,58301,59965,60445,60150
39540,45551,53997,48276,47659,47970,50034,43611
39580,188053,176641,190495,192909,,,
39660,32807,29920,33958,37092,30958,30923,30357
39740,120037,121007,119354,117591,122732,130489,123320
39820,36611,36922,40726,34866,37624,40752,39004
39900,84858,89791,93094,93680,88544,94536,100975
40060,263030,255948,269499,267701,272501,266282,278271
40140,928565,925726,970471,1010400,954813,1029781,1033640
40220,76913,80175,74339,79190,82473,81984,80709
40340,41113,39003,42248,40550,42454,41651,41844
40380,229531,221552,229828,217159,219268,229900,230714
40420,84956,82943,86912,86020,81287,84904,83374
40580,37901,40580,41344,41678,39887,38808,37825
40660,24276,21510,26819,27868,28076,22171,27321
40900,393875,394533,417728,397703,,,
40980,52179,49887,48544,49865,49759,49282,50776
41060,41142,42115,39200,38828,43456,40571,42240
41100,31755,26480,28678,30580,32096,32607,33041
41140,38358,33990,40206,39318,40476,37600,35384
41180,591221,570874,585817,573542,583132,583882,569770
41420,86728,85004,88636,89543,83607,87670,89213
41500,65534,64997,70290,70614,69188,72951,73003
41540,103126,107046,97090,108666,103330,108363,109051
41620,215688,210857,206155,218145,224071,233368,235558
41660,27568,25699,29249,28873,28407,28940,26191
41700,493288,501140,509542,538865,532249,525662,533293
41740,533256,525264,539084,536829,,,
41860,636497,618172,629660,636486,,,
41900,29748,28774,28951,27211,27797,28777,27130
41940,249186,253413,247845,243172,237322,235086,226369
41980,441412,456348,453967,441677,,,
42020,50218,45529,48756,47718,,,
42100,36676,38549,42585,37979,39000,39314,40636
42140,26303,29475,29358,33133,26653,24717,26795
42200,62875,61476,60921,66841,67406,65036,66534
42220,81602,81014,83462,77685,,,
42340,79951,74874,83624,85761,84813,85554,86271
42540,169165,169026,167711,167360,,,
42660,624086,612780,635173,624971,634537,629360,637280
42680,43022,36687,41164,35609,39635,37261,36716
42700,31276,36479,32022,33648,,,
43100,33796,32040,31594,31187,32397,31423,31657
43300,32483,28446,29396,31410,33398,32974,33375
43340,114013,115710,113506,113952,101902,98580,97735
43420,24362,27285,23094,27110,26834,26594,24925
43580,43526,38190,39407,39775,36067,37046,34119
43620,50377,49325,52499,52514,52428,51616,57898
43780,78317,76524,75185,74148,80812,81216,77424
43900,73095,82590,76674,85118,73237,82508,87506
44060,115818,109377,108516,110661,111398,119806,119005
44100,43839,43651,47524,46816,45393,44043,50168
44140,141631,136573,138014,136260,162073,156123,143514
44180,104859,104218,107948,104566,109552,112189,117022
44220,39973,40288,40901,37684,43597,40004,38694
44300,41720,38931,38204,40716,39613,39908,41349
44420,34954,29092,38746,38413,,,
44700,142677,153552,167720,175825,,,
44940,25892,25915,28044,24484,34406,36208,35739
45060,149431,147025,147287,144394,147327,146872,144946
45220,69803,66867,67399,76720,68014,73472,78164
45300,681200,722614,740786,754347,744378,717050,753745
45460,46038,47116,45645,47401,53654,56407,51195
45500,43900,43991,42831,41203,41596,45085,45919
45540,33540,37500,33801,34897,40309,36844,36048
45780,143931,136916,138764,150435,152570,155791,154603
45820,57696,60017,60349,60561,58938,58679,60010
45940,77045,74602,72024,72190,,,
46060,185699,185476,183429,204963,196647,200049,198458
46140,222275,226209,218854,224835,225162,234256,235940
46220,59788,53324,56348,61559,65195,68438,65943
46340,42258,42334,38276,40486,44096,50712,45318
46520,215111,215403,221619,210233,215043,213488,218633
46540,76050,78096,74729,75448,71341,68107,67987
46660,30970,36590,37431,38377,36590,39162,36321
46700,87002,85920,85251,85010,,,
47020,24468,23221,21627,23596,25164,27161,22295
47220,52618,44983,43742,42214,45826,47209,47114
47260,351176,351904,344855,351878,363549,378626,395558
47300,81277,85710,92075,86879,,,
47380,59061,58239,53927,59178,57268,57543,62142
47460,11239,10592,11212,11194,11164,12711,12179
47580,40451,36260,42521,41633,42773,48386,40357
47900,926096,924533,929689,919476,928079,937802,929585
47940,38708,39234,35680,37603,40849,41989,39578
48060,30815,33290,32887,30099,32693,29535,33136
48140,37807,37179,37216,34676,,,
48260,41979,39636,40742,44036,40892,37405,38483
48300,25698,24730,24927,25535,25343,25763,23724
48540,42321,46587,47407,44882,48823,49719,43473
48620,133930,127589,129534,129603,133343,129816,132318
48660,41049,39136,42807,40093,41468,42790,38333
48700,37845,34538,34769,35090,35989,34969,35385
48900,54196,57222,49699,52771,51765,49704,55930
49020,34775,38514,34596,37949,37477,38001,37341
49180,152227,152862,157435,156280,158448,163050,154249
49340,218823,217376,215845,212509,219766,211964,225631
49420,54716,50389,47826,50274,53323,52719,62148
49620,140930,142630,133879,137790,133436,139962,137513
49660,181669,178640,185188,174845,170710,177028,167006
49700,30362,30329,32610,29547,32202,38393,38548
49740,37853,42864,42229,42638,42990,48302,43622
21420,,18546,16345,15986,15288,18103,16110
31420,,54260,57901,56500,58911,60139,63792
46300,,,,22473,23920,28384,26530
10540,,,,,27438,29823,35549
11500,,,,,29376,30042,32553
12060,,,,,1117371,1135005,1176225
12420,,,,,359763,361837,341080
13460,,,,,32578,34975,35577
13980,,,,,40451,37191,40449
14740,,,,,51983,50138,56230
15380,,,,,259691,241110,247398
19430,,,,,177028,185252,177534
21660,,,,,74267,73232,72540
22220,,,,,117069,136543,124269
24340,,,,,226952,231880,230018
24860,,,,,197877,193434,201866
25060,,,,,97492,87174,100942
25540,,,,,252025,253712,258920
25940,,,,,47138,49791,46746
28700,,,,,88576,90855,93710
31860,,,,,20604,22451,20132
33100,,,,,1303779,1298316,1294865
33340,,,,,330983,326496,323416
34940,,,,,88717,86943,84863
35660,,,,,33190,34723,36527
36500,,,,,55457,52881,52760
38060,,,,,933242,914228,958429
39100,,,,,148402,142680,154069
39150,,,,,52353,50127,55379
39580,,,,,196843,206364,222084
40900,,,,,428490,417197,430834
41740,,,,,527345,523754,530145
41860,,,,,642258,623807,613083
41980,,,,,442410,472343,462861
42020,,,,,47913,49604,41894
42220,,,,,81135,78871,80363
42540,,,,,169647,165234,164128
42700,,,,,33036,31060,31226
44420,,,,,37674,42653,36528
44700,,,,,170046,165331,175433
45940,,,,,67417,73758,76570
46700,,,,,84623,88941,92779
47300,,,,,89940,92063,95302
48140,,,,,46302,43974,45163
49500,,,,,24698,21972,20109
