"Frederick, MD","119,144 ",679 
"Duluth, MN--WI","118,265 ","1,017 "
"Kailua (Honolulu County)--Kaneohe, HI","117,730 ",276 
"Hemet, CA","117,200 ",385 
"Tuscaloosa, AL","116,888 ",837 
"Concord, NC","115,057 ","1,044 "
"Port Arthur, TX","114,656 ", -
"Marysville, WA","114,372 ",765 
"Monroe, LA","113,818 ",832 
"Utica, NY","113,409 ","1,194 "
"Leominster--Fitchburg, MA","112,943 ",930 
"San German--Cabo Rojo--Sabana Grande, PR","112,939 ",571 
"Yakima, WA","112,816 ",733 
"Fairfield, CA","112,446 ",359 
"Bloomington--Normal, IL","112,415 ",741 
"Simi Valley, CA","112,345 ",324 
"Boulder, CO","112,299 ",424 
"Odessa, TX","111,395 ","1,083 "
"Kenosha, WI","110,942 ",576 
"Harlingen, TX","110,770 ",924 
"Merced, CA","110,483 ",527 
"Waterloo, IA","108,298 ",853 
"Yauco, PR","108,024 ",446 
"Abilene, TX","107,041 ",850 
"Ocala, FL","106,542 ","1,390 "
"Athens-Clarke County, GA","106,482 ","1,010 "
"Fort Smith, AR--OK","106,470 ","1,393 "
"South Lyon--Howell--Brighton, MI","106,139 ",794 
"Sioux City, IA--NE--SD","106,119 ",777 
"Burlington, VT","105,365 ",716 
"Redding, CA","105,267 ",658 
"Las Cruces, NM","104,186 ","2,073 "
"Johnson City, TN","102,456 ","1,019 "
"Brooksville, FL","102,193 ","1,267 "
"Tyler, TX","101,494 ",824 
"Billings, MT","100,317 ",747 
"Wichita Falls, TX","99,396 ",679 
"Midland, TX","99,221 ",826 
"Columbia, MO","98,779 ",686 
"Lynchburg, VA","98,714 ",755 
"Yuba City, CA","97,645 ",582 
"Leesburg--Eustis, FL","97,497 ",952 
"Fredericksburg, VA","97,102 ",824 
"Anderson, IN","97,038 ",817 
"Decatur, IL","96,454 ",747 
"Texas City, TX","96,417 ","1,008 "
"Nampa, ID","95,909 ",806 
"Kingsport, TN--VA","95,766 ","1,117 "
"Jacksonville, NC","95,514 ",375 
"Albany, GA","95,450 ",906 
"Yuma, AZ--CA","94,950 ",497 
"Middletown, OH","94,355 ",530 
"Burlington, NC","94,248 ",750 
"Greeley, CO","93,879 ",599 
"Bloomington, IN","92,456 ",492 
"Grand Junction, CO","92,362 ",714 
"Holland, MI","91,795 ",560 
"Eau Claire, WI","91,393 ",851 
"St. Cloud, MN","91,305 ",721 
"Rochester, MN","91,271 ",625 
"Warner Robins, GA","90,838 ","1,097 "
"Muncie, IN","90,673 ",618 
"Vacaville, CA","90,264 ",343 
"La Crosse, WI--MN","89,966 ",613 
"Springfield, OH","89,684 ",538 
"Lawton, OK","89,556 ",507 
"The Woodlands, TX","89,445 ",420 
"Chico, CA","89,221 ",303 
"Vineland, NJ","88,724 ",660 
"Gainesville, GA","88,680 ",554 
"Jackson, MI","88,050 ",597 
"San Angelo, TX","87,969 ",693 
"Wheeling, WV--OH","87,613 ",698 
"Port Huron, MI","86,486 ",549 
"Norman, OK","86,478 ", -
"Parkersburg, WV--OH","85,605 ",506 
"Iowa City, IA","85,247 ",481 
"Alton, IL","84,655 ", -
"Gilroy--Morgan Hill, CA","84,620 ",458 
"Bellingham, WA","84,324 ",579 
"Greenville, NC","84,059 ",588 
"Lodi, CA","83,735 ",289 
"Altoona, PA","82,520 ",500 
"Charlottesville, VA","81,449 ",331 
"Dover--Rochester, NH--ME","80,456 ",492 
"Santa Fe, NM","80,337 ","1,558 "
"Slidell, LA","79,926 ",613 
"Napa, CA","79,867 ",278 
"Mansfield, OH","79,698 ",596 
"Lawrence, KS","79,647 ",503 
"Terre Haute, IN","79,376 ",814 
"Battle Creek, MI","79,135 ",625 
"Fajardo, PR","78,595 ",312 
"Alexandria, LA","78,504 ",671 
"Longview, TX","78,070 ",666 
"Mauldin--Simpsonville, SC","77,831 ",338 
"Guayama, PR","77,755 ",362 
"St. Joseph, MO--KS","77,231 ",596 
"Logan, UT","76,187 ",503 
"Johnstown, PA","76,113 ",510 
"Anniston, AL","75,840 ","1,244 "
"Livermore, CA","75,202 ",545 
"Bismarck, ND","74,991 ",529 
"Coeur d'Alene, ID","74,800 ",555 
"St. Charles, MD","74,765 ", -
"Lima, OH","74,071 ",525 
"Bay City, MI","74,048 ",468 
"Weirton--Steubenville, WV--OH--PA","73,710 ",576 
"Pottstown, PA","73,597 ",520 
"Lake Jackson--Angleton, TX","73,416 ",582 
"Longmont, CO","72,929 ",364 
"Texarkana, TX--Texarkana, AR","72,288 ",879 
"Joplin, MO","72,089 ",697 
"Temple, TX","71,937 ",738 
"State College, PA","71,301 ",312 
"Florence, AL","71,299 ",795 
"Oshkosh, WI","71,070 ",390 
"Anderson, SC","70,436 ",773 
"Rock Hill, SC","70,007 ",453 
"Newark, OH","70,001 ",444 
"Hightstown, NJ","69,977 ", -
"Turlock, CA","69,507 ",161 
"Missoula, MT","69,491 ",558 
"Florida--Barceloneta--Bajadero, PR","68,811 ",175 
"Sheboygan, WI","68,600 ",416 
"West Bend, WI","68,444 ",523 
"Wausau, WI","68,221 ",719 
"Cheyenne, WY","68,202 ",742 
"Avondale, AZ","67,875 ","2,812 "
"Owensboro, KY","67,665 ",422 
"Florence, SC","67,314 ",482 
"Elmira, NY","67,159 ",450 
"Idaho Falls, ID","66,973 ",394 
"Rapid City, SD","66,780 ",736 
"Watsonville, CA","66,500 ",178 
"Michigan City, IN--MI","66,199 ",498 
"Janesville, WI","66,034 ",504 
"Davis, CA","66,022 ",183 
Conway,"65,277 ",640 
"Dubuque, IA--IL","65,251 ",400 
"Jackson, TN","65,086 ",526 
"Kankakee, IL","65,073 ",447 
"Dover, DE","65,044 ",457 
"Westminster, MD","65,034 ",470 
"Radcliff--Elizabethtown, KY","64,504 ",541 
"Great Falls, MT","64,387 ",440 
"Sumter, SC","64,320 ",488 
"Twin River-Hightstown, NJ","64,037 ",297 
"Kokomo, IN","63,739 ",439 
"Lebanon, PA","63,681 ",368 
"Mandeville--Covington, LA","62,866 ",459 
"Camarillo, CA","62,798 ",238 
"St. George, UT","62,630 ",603 
"Pocatello, ID","62,498 ",371 
"Prescott, AZ","61,909 ",898 
