NOME DO MUNICÍPIO,COD. MUNIC,POPULAÇÃO ESTIMADA
Barbacena/MG,3105608,139061.00
Santa Rita/PB,2513703,138093.00
Sabará/MG,3156700,137877.00
Varginha/MG,3170701,137608.00
Apucarana/PR,4101408,137438.00
Simões Filho/BA,2930709,137117.00
Araras/SP,3503307,136739.00
Itaguaí/RJ,3302007,136547.00
Araruama/RJ,3300209,136109.00
Marituba/PA,1504422,135812.00
São Félix do Xingu/PA,1507300,135732.00
Campo Largo/PR,4104204,135678.00
Pinhais/PR,4119152,134788.00
São Mateus/ES,3204906,134629.00
Crato/CE,2304202,133913.00
Resende/RJ,3304201,133244.00
Valinhos/SP,3556206,133169.00
Cubatão/SP,3513504,132521.00
Santa Cruz do Sul/RS,4316808,132271.00
Cachoeirinha/RS,4303103,132144.00
Trindade/GO,5221403,132006.00
Vespasiano/MG,3171204,131849.00
Itapipoca/CE,2306405,131687.00
Maranguape/CE,2307700,131677.00
Ji-Paraná/RO,1100122,131026.00
Conselheiro Lafaiete/MG,3118304,130584.00
Bragança/PA,1501709,130122.00
Barcarena/PA,1501303,129333.00
Guarapari/ES,3202405,128504.00
Sertãozinho/SP,3551702,128432.00
Jandira/SP,3525003,127734.00
Uruguaiana/RS,4322400,126766.00
Arapongas/PR,4101507,126545.00
Birigui/SP,3506508,126094.00
Formosa/GO,5208004,125705.00
Ribeirão Pires/SP,3543303,125238.00
Caraguatatuba/SP,3510500,125194.00
Três Lagoas/MS,5008305,125137.00
Santana/AP,1600600,124808.00
Votorantim/SP,3557006,124468.00
Colatina/ES,3201506,124283.00
Várzea Paulista/SP,3556503,124269.00
Itatiba/SP,3523404,124254.00
Tatuí/SP,3554003,124134.00
Barretos/SP,3505500,123546.00
Codó/MA,2103307,123368.00
Guaratinguetá/SP,3518404,123192.00
Catanduva/SP,3511102,123114.00
Bento Gonçalves/RS,4302105,123090.00
Itabira/MG,3131703,121717.00
Bagé/RS,4301602,121518.00
Senador Canedo/GO,5220454,121447.00
Almirante Tamandaré/PR,4100400,121420.00
Salto/SP,3545209,120779.00
Igarassu/PE,2606804,119690.00
Novo Gama/GO,5215231,119649.00
Poá/SP,3539806,119221.00
Paulo Afonso/BA,2924009,119213.00
Araguari/MG,3103504,118361.00
Ubá/MG,3169901,117995.00
Altamira/PA,1500602,117320.00
Piraquara/PR,4119509,116852.00
Tucuruí/PA,1508100,116605.00
Passos/MG,3147907,115970.00
Paragominas/PA,1505502,115838.00
Eunápolis/BA,2910727,115360.00
Ourinhos/SP,3534708,115139.00
São Lourenço da Mata/PE,2613701,114910.00
Paulínia/SP,3536505,114508.00
Açailândia/MA,2100055,113783.00
Umuarama/PR,4128104,113416.00
Catalão/GO,5205109,113091.00
Corumbá/MS,5003207,112669.00
Santa Cruz do Capibaribe/PE,2612505,111812.00
Tailândia/PA,1507953,111554.00
Ariquemes/RO,1100023,111148.00
Coronel Fabriciano/MG,3119401,110709.00
Muriaé/MG,3143906,109997.00
Patos/PB,2510808,108766.00
Araxá/MG,3104007,108403.00
Nova Serrana/MG,3145208,108241.00
Cambé/PR,4103701,108126.00
Tangará da Serra/MT,5107958,107631.00
São Pedro da Aldeia/RJ,3305208,107556.00
Erechim/RS,4307005,107368.00
Tubarão/SC,4218707,107143.00
Itumbiara/GO,5211503,106845.00
Japeri/RJ,3302270,106296.00
Lagarto/SE,2803500,106015.00
Ituiutaba/MG,3134202,105818.00
Assis/SP,3504008,105768.00
Lavras/MG,3138203,105756.00
Leme/SP,3526704,105273.00
Bacabal/MA,2101202,105094.00
Aracruz/ES,3200607,104942.00
São Gonçalo do Amarante/RN,2412005,104919.00
Vilhena/RO,1100304,104517.00
Itaperuna/RJ,3302205,104354.00
Itanhaém/SP,3522109,104351.00
Breves/PA,1501808,104280.00
Itacoatiara/AM,1301902,104046.00
Caieiras/SP,3509007,104044.00
Fazenda Rio Grande/PR,4107652,103750.00
Mairiporã/SP,3528502,103645.00
Iguatu/CE,2305506,103633.00
Jataí/GO,5211909,103221.00
Santo Antônio de Jesus/BA,2928703,103204.00
Itaituba/PA,1503606,101541.00
Barra do Piraí/RJ,3300308,101139.00
Abreu e Lima/PE,2600054,100698.00
Manacapuru/AM,1302504,99613.00
Ipojuca/PE,2607208,99101.00
Sarandi/PR,4126256,98888.00
Guaíba/RS,4309308,98331.00
Valença/BA,2932903,97873.00
Itajubá/MG,3132404,97782.00
Bayeux/PB,2501807,97519.00
Nova Lima/MG,3144805,97378.00
Balsas/MA,2101400,96951.00
Itabaiana/SE,2802908,96839.00
Votuporanga/SP,3557105,96106.00
Campo Mourão/PR,4104303,96102.00
Caçapava/SP,3508504,95752.00
Pará de Minas/MG,3147105,95616.00
Cáceres/MT,5102504,95339.00
Ponta Porã/MS,5006606,95320.00
Itapeva/SP,3522406,95241.00
Caldas Novas/GO,5204508,95183.00
Sorriso/MT,5107925,94941.00
Paracatu/MG,3147006,94539.00
Itaúna/MG,3133808,94455.00
Mogi Mirim/SP,3530805,94098.00
Francisco Beltrão/PR,4108403,93308.00
Caratinga/MG,3113404,93124.00
São Roque/SP,3550605,93076.00
Ubatuba/SP,3555406,92819.00
Luís Eduardo Magalhães/BA,2919553,92671.00
Arujá/SP,3503901,92453.00
São João da Boa Vista/SP,3549102,92315.00
Patrocínio/MG,3148103,92116.00
São Cristóvão/SE,2806701,92090.00
Manhuaçu/MG,3139409,92074.00
Saquarema/RJ,3305505,91938.00
Avaré/SP,3504503,91792.00
São Sebastião/SP,3550704,91637.00
Planaltina/GO,5217609,91345.00
Timóteo/MG,3168705,91268.00
São João del Rei/MG,3162500,90897.00
Santa Inês/MA,2109908,89927.00
Cruzeiro do Sul/AC,1200203,89760.00
Lorena/SP,3527207,89532.00
Paranavaí/PR,4118402,89454.00
Quixadá/CE,2311306,88899.00
Barra do Corda/MA,2101608,88895.00
Gurupi/TO,1709500,88428.00
Candeias/BA,2906501,87820.00
Serra Talhada/PE,2613909,87467.00
Camboriú/SC,4203204,87179.00
Coari/AM,1301209,86713.00
Cacoal/RO,1100049,86416.00
Campo Limpo Paulista/SP,3509601,86407.00
Redenção/PA,1506138,86326.00
São Bento do Sul/SC,4215802,86317.00
Lajeado/RS,4311403,86005.00
Navegantes/SC,4211306,85734.00
Pacatuba/CE,2309706,85647.00
Unaí/MG,3170404,85461.00
Guanambi/BA,2911709,85353.00
Gravatá/PE,2606408,85309.00
Araripina/PE,2601102,85301.00
Carpina/PE,2604007,85131.00
Cianorte/PR,4105508,84980.00
Pato Branco/PR,4118501,84779.00
Moju/PA,1504703,84251.00
Pinheiro/MA,2108603,84160.00
Matão/SP,3529302,84069.00
Ijuí/RS,4310207,84041.00
Seropédica/RJ,3305554,83841.00
Dias d'Ávila/BA,2910057,83705.00
Esteio/RS,4307708,83352.00
Cruzeiro/SP,3513405,82895.00
Macaíba/RN,2407104,82828.00
